revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
2006.0,536.0,74.0,63.0,63.0,20297.2,20849.248,3724.0,6029.0,1221.0,684.0,151.0,6971.0,2382.0,2641.0,4330.0,6971.0,63.0,219.0,-44.0,32.0,107.0,-44.0,175.0,4330.0,4223.0,0.27,1.61,20650.6,2003-12
1909.0,530.0,62.0,46.0,46.0,20459.432,21180.88,3158.0,5784.0,1254.0,687.0,158.0,6735.0,1980.0,2245.0,4490.0,6735.0,46.0,61.0,-35.0,-224.0,98.0,-35.0,26.0,4490.0,4384.0,0.28,1.5,20879.9,2004-03
2014.0,559.0,80.0,61.0,61.0,21001.288,21986.776,3120.0,6286.0,1252.0,684.0,154.0,7223.0,2155.0,2411.0,4812.0,7223.0,61.0,211.0,-38.0,211.0,121.0,-38.0,173.0,4812.0,4713.0,0.28,1.5,21570.8,2004-06
2350.0,632.0,120.0,96.0,96.0,21478.352,22723.4,2969.0,7055.0,1298.0,707.0,191.0,8050.0,2651.0,2974.0,5076.0,8050.0,96.0,443.0,-59.0,108.0,160.0,-59.0,384.0,5076.0,4979.0,0.27,1.59,21920.8,2004-09
3490.0,996.0,403.0,295.0,295.0,22092.896,23468.872,2475.0,8322.0,1352.0,735.0,209.0,9362.0,3224.0,3572.0,5790.0,9362.0,295.0,775.0,-58.0,254.0,444.0,-58.0,717.0,5790.0,5694.0,0.29,1.62,22654.7,2004-12
3243.0,968.0,402.0,290.0,290.0,22628.816,23996.308,2254.0,9007.0,1370.0,742.0,249.0,10111.0,3352.0,3725.0,6386.0,10111.0,290.0,536.0,-43.0,152.0,443.0,-43.0,493.0,6386.0,6273.0,0.3,1.58,23047.8,2005-03
3520.0,1044.0,426.0,319.0,319.0,22822.576,24102.484,3094.0,9376.0,1409.0,764.0,239.0,10488.0,3123.0,3667.0,6821.0,10488.0,315.0,472.0,-63.0,63.0,472.0,-63.0,409.0,6821.0,6712.0,0.3,1.54,23183.5,2005-06
3678.0,1035.0,417.0,428.0,428.0,23000.936,24298.344,3491.0,10300.0,1481.0,817.0,303.0,11516.0,3487.0,4088.0,7428.0,11516.0,428.0,752.0,-96.0,74.0,468.0,-96.0,656.0,7428.0,7332.0,0.28,1.55,23380.5,2005-09
5749.0,1564.0,750.0,565.0,565.0,23261.868,24477.796,4150.0,12162.0,1547.0,855.0,1071.0,14181.0,5060.0,5801.0,8380.0,14181.0,565.0,283.0,-82.0,283.0,802.0,-82.0,201.0,8380.0,8287.0,0.27,1.69,23677.3,2005-12
4359.0,1297.0,529.0,410.0,410.0,23545.48,24599.036,6346.0,11286.0,1731.0,1005.0,1510.0,13911.0,4456.0,5229.0,8682.0,13911.0,410.0,-125.0,-193.0,-141.0,579.0,-193.0,-318.0,8682.0,8572.0,0.3,1.6,23777.3,2006-03
4370.0,1325.0,566.0,472.0,472.0,23838.5,24538.304,8013.0,12491.0,1954.0,1197.0,1351.0,15114.0,5023.0,5784.0,9330.0,15114.0,472.0,1007.0,-237.0,129.0,623.0,-237.0,770.0,9330.0,9255.0,0.3,1.62,23883.7,2006-06
4837.0,1412.0,608.0,542.0,542.0,23910.74,24617.348,6392.0,14509.0,2075.0,1281.0,1238.0,17205.0,6443.0,7221.0,9984.0,17205.0,542.0,1055.0,-145.0,53.0,674.0,-145.0,910.0,9984.0,9807.0,0.29,1.72,23947.4,2006-09
7115.0,2220.0,1322.0,1004.0,1004.0,24015.348,24732.316,7159.0,16664.0,2200.0,1362.0,1251.0,19461.0,7337.0,8233.0,11228.0,19461.0,1004.0,1813.0,-142.0,188.0,1396.0,-142.0,1671.0,11228.0,11044.0,0.31,1.73,24086.2,2006-12
5264.0,1849.0,986.0,770.0,770.0,24164.084,24826.284,7095.0,16029.0,2304.0,1409.0,995.0,18711.0,5485.0,6450.0,12261.0,18711.0,770.0,734.0,-105.0,180.0,1055.0,-105.0,629.0,12261.0,11983.0,0.35,1.53,24218.5,2007-03
5410.0,1995.0,1041.0,818.0,818.0,24270.568,24938.788,7118.0,18745.0,2562.0,1626.0,1001.0,21647.0,6992.0,8243.0,13404.0,21647.0,818.0,1227.0,-283.0,229.0,1122.0,-283.0,944.0,13404.0,13129.0,0.37,1.61,24349.9,2007-06
6789.0,2088.0,1058.0,903.0,903.0,24384.64,25084.724,9352.0,21956.0,2841.0,1832.0,1222.0,25347.0,9280.0,10815.0,14532.0,25347.0,904.0,1696.0,-205.0,142.0,1151.0,-205.0,1491.0,14532.0,14195.0,0.31,1.74,24425.2,2007-09
9608.0,3332.0,2126.0,1581.0,1581.0,24524.08,25201.512,9162.0,26189.0,2931.0,1870.0,1631.0,30039.0,10535.0,13235.0,16804.0,30039.0,1581.0,2787.0,-224.0,485.0,2232.0,-224.0,2563.0,16804.0,16455.0,0.35,1.79,24601.6,2007-12
7512.0,2474.0,1315.0,1045.0,1045.0,24627.288,25181.212,9070.0,26736.0,3113.0,1962.0,1435.0,30471.0,9634.0,12418.0,18053.0,30471.0,1045.0,1193.0,-160.0,77.0,1431.0,-160.0,1033.0,18053.0,17715.0,0.33,1.69,24680.1,2008-03
7464.0,2600.0,1392.0,1072.0,1072.0,24744.664,25288.676,9373.0,27998.0,3397.0,2177.0,1205.0,31709.0,9218.0,12087.0,19622.0,31709.0,1072.0,1321.0,-304.0,354.0,1509.0,-304.0,1017.0,19622.0,19293.0,0.35,1.62,24800.9,2008-06
12907.0,4791.0,3494.0,2421.0,2421.0,24839.052,25353.216,11875.0,30006.0,3747.0,2455.0,839.0,36171.0,11361.0,13874.0,22297.0,36171.0,2421.0,4295.0,-403.0,200.0,3651.0,-403.0,3892.0,22297.0,21805.0,0.37,1.62,24890.2,2008-09
11880.0,4507.0,3101.0,2255.0,2255.0,24895.976,25241.832,7236.0,35163.0,3997.0,2580.0,2062.0,42787.0,14757.0,19878.0,22909.0,42787.0,2255.0,3938.0,-339.0,62.0,3269.0,-339.0,3599.0,22909.0,22425.0,0.38,1.87,24931.6,2008-12
9084.0,3627.0,2323.0,1620.0,1620.0,24953.04,25283.804,4466.0,33853.0,4097.0,2546.0,2498.0,43237.0,13751.0,18926.0,24311.0,43237.0,1620.0,841.0,-100.0,74.0,2504.0,-100.0,741.0,24311.0,23836.0,0.4,1.78,24979.1,2009-03
9734.0,3983.0,2632.0,1828.0,1828.0,25023.936,25456.48,5605.0,35170.0,4222.0,2653.0,2952.0,48140.0,16661.0,22252.0,25888.0,48140.0,1828.0,2270.0,-246.0,208.0,2814.0,-246.0,2024.0,25888.0,25422.0,0.41,1.86,25080.6,2009-06
12207.0,5105.0,3684.0,2532.0,2532.0,25144.812,25602.444,5263.0,31555.0,4667.0,2954.0,2011.0,47501.0,11506.0,15861.0,31640.0,47501.0,2532.0,3110.0,-459.0,319.0,3887.0,-459.0,2651.0,31640.0,31187.0,0.42,1.5,25194.6,2009-09
15683.0,6411.0,4725.0,3378.0,3378.0,25299.176,25753.924,7609.0,33332.0,4986.0,3115.0,1961.0,53926.0,13097.0,18158.0,35768.0,53926.0,3378.0,5781.0,-376.0,523.0,4934.0,-376.0,5405.0,35768.0,35274.0,0.41,1.51,25375.9,2009-12
13499.0,5625.0,3979.0,3074.0,3074.0,25411.344,25840.584,10018.0,32336.0,5555.0,3504.0,1925.0,57057.0,12229.0,17709.0,39348.0,57057.0,3074.0,2330.0,-274.0,162.0,4195.0,-274.0,2056.0,39348.0,38605.0,0.42,1.45,25469.8,2010-03
15700.0,6136.0,4234.0,3253.0,3253.0,25541.516,25966.108,9705.0,36033.0,6228.0,3990.0,2119.0,64725.0,15612.0,21614.0,43111.0,64725.0,3253.0,4801.0,-595.0,316.0,4507.0,-595.0,4206.0,43111.0,42079.0,0.39,1.5,25577.5,2010-06
20343.0,7512.0,5447.0,4308.0,4308.0,25607.624,26007.1,11261.0,41678.0,7234.0,4768.0,2263.0,75183.0,20722.0,27392.0,47791.0,75183.0,4308.0,5683.0,-760.0,256.0,5776.0,-760.0,4923.0,47791.0,46708.0,0.37,1.57,25647.2,2010-09
26741.0,10298.0,7827.0,6004.0,6004.0,25740.232,26128.312,10734.0,43927.0,8635.0,5868.0,2954.0,86742.0,23795.0,32076.0,54666.0,86742.0,6004.0,9773.0,-1214.0,429.0,8183.0,-1214.0,8559.0,54666.0,53403.0,0.39,1.59,25789.2,2010-12
24667.0,10218.0,7874.0,5987.0,5987.0,25849.488,26206.432,15978.0,46997.0,9416.0,6241.0,3885.0,94904.0,24327.0,33427.0,61477.0,94904.0,5987.0,6219.0,-624.0,547.0,8308.0,-624.0,5595.0,61477.0,60229.0,0.41,1.54,25890.9,2011-03
28571.0,11922.0,9379.0,7308.0,7308.0,25931.024,26258.68,12091.0,46898.0,10348.0,6749.0,3440.0,106758.0,26859.0,37415.0,69343.0,106758.0,7308.0,11108.0,-777.0,37.0,9860.0,-777.0,10331.0,69343.0,67433.0,0.42,1.54,25953.3,2011-06
