revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
1083.559,270.582,39.225,-10.121,-10.121,7770.82,7770.82,495.773,1344.496,471.617,228.279,59.799,1705.933,698.579,2994.997,-1289.064,1705.933,-10.121,-251.782,-6.394,31.982,-6.394,-258.176,-1289.064,-1362.423,0.25,-1.32,7832.18,2003-03
1099.912,273.928,41.823,-43.314,-43.314,7877.52,7877.52,641.728,1251.254,465.012,221.674,51.48,1596.854,769.384,2843.69,-1246.836,1596.854,-43.314,126.024,-7.141,89.644,-7.141,118.883,-1246.836,-1319.282,0.25,-1.28,7934.6,2003-06
1134.456,285.821,51.931,15.563,15.563,7958.24,8456.04,666.418,1410.2,464.797,221.459,48.246,1749.685,826.75,2907.719,-1158.034,1749.685,15.563,36.817,-15.192,-14.664,-15.192,21.625,-1158.034,-1227.814,0.25,-1.51,8008.44,2003-09
1945.772,426.837,137.616,73.154,73.154,8029.7,9939.54,1102.273,1820.809,371.738,224.285,47.818,2162.033,1252.701,3198.14,-1036.107,2162.033,73.154,480.963,-17.236,239.191,-17.236,463.727,-1036.107,-1105.228,0.22,-2.09,8067.08,2003-12
1530.349,360.834,110.435,111.136,111.136,8070.84,8490.38,768.587,1405.574,364.929,217.476,46.39,1738.561,865.911,2643.611,-905.05,1738.561,111.136,-250.688,-9.513,104.049,-9.513,-260.201,-905.05,-974.171,0.24,-1.92,8097.88,2004-03
1387.0,341.0,86.0,76.0,76.0,8100.0,8500.0,701.15,1561.192,363.324,215.871,41.926,1888.11,916.354,2678.968,-790.858,1888.11,76.864,142.688,-14.487,128.386,-14.487,128.201,-790.858,-859.979,0.25,-2.39,8134.22,2004-06
1463.0,356.0,81.0,54.0,54.0,8140.0,8500.0,745.608,1692.784,374.215,226.762,51.538,2108.668,1051.023,2829.745,-721.077,2108.668,54.0,117.0,-28.0,24.0,-28.0,89.0,-721.077,-858.661,0.24,-2.92,8149.28,2004-09
2541.0,545.0,155.0,346.0,346.0,8180.0,8560.0,1303.0,2539.0,423.0,246.0,324.0,3248.0,1620.0,3475.0,-227.0,3248.0,346.0,557.0,-37.0,252.0,-37.0,520.0,-227.0,-366.0,0.21,-14.31,8194.22,2004-12
1902.0,458.0,108.0,78.0,78.0,8200.0,8480.0,533.0,1793.0,421.0,245.0,285.0,2472.0,1073.0,2634.0,-162.0,2472.0,78.0,-294.0,-26.0,136.0,-26.0,-320.0,-162.0,-311.0,0.24,-15.26,8220.0,2005-03
1753.0,450.0,104.0,52.0,52.0,8220.0,8500.0,629.0,1926.0,444.0,267.0,254.0,2601.0,1144.0,2665.0,-64.0,2601.0,52.0,244.0,-47.0,131.0,-47.0,197.0,-64.0,-218.0,0.26,-40.64,8240.0,2005-06
1858.0,463.0,55.0,30.0,30.0,8260.0,8560.0,600.0,2121.0,499.0,322.0,230.0,2832.0,1313.0,2826.0,6.0,2832.0,30.0,153.0,-76.0,-2.0,-76.0,77.0,6.0,-153.0,0.25,472.0,8280.0,2005-09
2977.0,667.0,212.0,199.0,199.0,8300.0,8520.0,1013.0,2929.0,571.0,348.0,249.0,3696.0,1899.0,3450.0,246.0,3696.0,199.0,630.0,-55.0,335.0,-55.0,575.0,246.0,76.0,0.22,15.02,8320.0,2005-12
2279.0,544.0,103.0,51.0,51.0,8340.0,8520.0,507.0,2186.0,584.0,361.0,250.0,2990.0,1407.0,2666.0,324.0,2990.0,51.0,-303.0,-46.0,143.0,-46.0,-349.0,324.0,131.0,0.24,9.23,8340.0,2006-03
2139.0,509.0,47.0,22.0,22.0,8360.0,8520.0,683.0,2231.0,628.0,405.0,336.0,3165.0,1458.0,2782.0,383.0,3165.0,22.0,130.0,-58.0,90.0,-58.0,72.0,383.0,190.0,0.24,8.26,8380.0,2006-06
2307.0,549.0,40.0,19.0,19.0,8340.0,8480.0,693.0,2315.0,672.0,449.0,310.0,3268.0,1768.0,3072.0,196.0,3268.0,20.0,131.0,-62.0,103.0,-62.0,69.0,196.0,2.0,0.24,16.67,8220.0,2006-09
3986.0,850.0,207.0,97.0,97.0,8260.0,8420.0,1022.0,3373.0,824.0,457.0,317.0,4363.0,2532.0,3932.0,431.0,4363.0,97.0,744.0,-50.0,266.0,-50.0,694.0,431.0,215.0,0.21,10.12,8280.0,2006-12
3015.0,719.0,145.0,111.0,111.0,8240.0,8400.0,748.0,2600.0,809.0,442.0,423.0,3661.0,1847.0,3308.0,353.0,3661.0,111.0,-279.0,-34.0,207.0,-34.0,-313.0,353.0,157.0,0.24,10.37,8193.97,2007-03
2886.0,701.0,116.0,78.0,78.0,8240.0,8460.0,1004.0,2859.0,810.0,443.0,468.0,3984.0,1936.0,3434.0,550.0,3984.0,78.0,299.0,-48.0,176.0,-48.0,251.0,550.0,336.0,0.24,7.24,8267.98,2007-06
3262.0,762.0,123.0,80.0,80.0,8280.0,8500.0,1366.0,3424.0,858.0,491.0,485.0,4618.0,2319.0,3857.0,761.0,4618.0,80.0,237.0,-69.0,184.0,-69.0,168.0,761.0,543.0,0.23,6.07,8303.55,2007-09
5672.0,-940.0,271.0,207.0,207.0,8320.0,8540.0,2539.0,5164.0,1023.0,543.0,529.0,6485.0,3714.0,5288.0,1197.0,6485.0,207.0,1148.0,-73.0,334.0,-73.0,1075.0,1197.0,948.0,-0.17,5.42,8320.0,2007-12
4135.0,368.0,198.0,143.0,143.0,8340.0,8520.0,1496.0,3965.0,1074.0,594.0,932.0,5883.0,3551.0,4413.0,1470.0,5883.0,143.0,-645.0,-61.0,263.0,-61.0,-706.0,1470.0,1078.0,0.09,4.0,8340.0,2008-03
4063.0,348.0,217.0,158.0,158.0,8400.0,8600.0,1548.0,4236.0,1131.0,651.0,1035.0,6322.0,3216.0,4092.0,2230.0,6322.0,158.0,347.0,-69.0,287.0,-69.0,278.0,2230.0,1830.0,0.09,2.83,8520.0,2008-06
4264.0,342.0,154.0,118.0,118.0,8540.0,8720.0,1650.0,4430.0,1211.0,731.0,1000.0,6566.0,3144.0,4039.0,2527.0,6566.0,118.0,424.0,-102.0,230.0,-102.0,322.0,2527.0,2122.0,0.08,2.6,8620.0,2008-09
6703.0,521.0,273.0,225.0,225.0,8580.0,8700.0,2769.0,6157.0,1409.0,854.0,865.0,8314.0,4746.0,5642.0,2672.0,8314.0,225.0,1571.0,-102.0,350.0,-102.0,1469.0,2672.0,2234.0,0.08,3.11,8571.66,2008-12
4889.0,451.0,244.0,177.0,177.0,8580.0,8740.0,1701.0,4775.0,889.0,889.0,883.0,6980.0,3410.0,4062.0,2918.0,6980.0,177.0,-585.0,-55.0,331.0,-55.0,-640.0,2918.0,2485.0,0.09,2.39,8592.95,2009-03
4651.0,425.0,159.0,142.0,142.0,8620.0,8800.0,1936.0,5304.0,981.0,981.0,939.0,7675.0,3636.0,4419.0,3256.0,7675.0,142.0,468.0,-78.0,243.0,-78.0,390.0,3256.0,2805.0,0.09,2.36,8640.0,2009-06
5449.0,492.0,251.0,199.0,199.0,8640.0,8820.0,2514.0,6369.0,1086.0,1086.0,1060.0,8972.0,4537.0,5387.0,3585.0,8972.0,199.0,799.0,-103.0,347.0,-103.0,696.0,3585.0,3128.0,0.09,2.5,8660.0,2009-09
9520.0,872.0,476.0,384.0,384.0,8780.0,9020.0,3444.0,9797.0,1915.0,1290.0,925.0,13813.0,7364.0,8556.0,5257.0,13813.0,384.0,2611.0,-137.0,588.0,-137.0,2474.0,5257.0,3456.0,0.09,2.63,8880.0,2009-12
7131.0,718.0,394.0,299.0,299.0,8900.0,9080.0,1844.0,7964.0,1436.0,1436.0,1408.0,12042.0,5193.0,6424.0,5618.0,12042.0,299.0,-1098.0,-140.0,513.0,-140.0,-1238.0,5618.0,4384.0,0.1,2.14,8920.0,2010-03
6566.0,619.0,270.0,207.0,207.0,8940.0,9100.0,1629.0,8118.0,1704.0,1704.0,1346.0,12397.0,5250.0,6540.0,5857.0,12397.0,207.0,250.0,-196.0,399.0,-196.0,54.0,5857.0,4628.0,0.09,2.12,8960.0,2010-06
7560.0,652.0,268.0,231.0,231.0,8960.0,9120.0,1539.0,9559.0,2099.0,2099.0,1227.0,14162.0,6375.0,7765.0,6397.0,14162.0,231.0,855.0,-315.0,418.0,-315.0,540.0,6397.0,5120.0,0.09,2.21,8980.0,2010-09
12947.0,1022.0,474.0,416.0,416.0,8940.0,9180.0,3777.0,13747.0,3256.0,2414.0,724.0,18797.0,10372.0,11933.0,6864.0,18797.0,416.0,3488.0,-328.0,643.0,-328.0,3160.0,6864.0,4952.0,0.08,2.74,9020.0,2010-12
9857.0,815.0,322.0,201.0,201.0,9020.0,9180.0,2641.0,11288.0,2902.0,2902.0,1179.0,16882.0,7730.0,9535.0,7347.0,16882.0,201.0,-1586.0,-298.0,524.0,-298.0,-1884.0,7347.0,5834.0,0.08,2.3,9040.0,2011-03
9913.0,749.0,201.0,191.0,191.0,9060.0,9200.0,2047.0,11279.0,3470.0,3470.0,1283.0,17941.0,8045.0,10176.0,7765.0,17941.0,191.0,423.0,-433.0,445.0,-433.0,-10.0,7765.0,5856.0,0.08,2.31,9080.0,2011-06
10876.0,661.0,79.0,63.0,63.0,9080.0,9220.0,2823.0,11904.0,3999.0,3999.0,1217.0,19054.0,8978.0,11288.0,7766.0,19054.0,63.0,797.0,-529.0,357.0,-529.0,268.0,7766.0,5832.0,0.06,2.45,9100.0,2011-09
17431.0,1079.0,260.0,177.0,177.0,9060.0,9280.0,5269.0,17490.0,5786.0,4417.0,769.0,25278.0,14896.0,17521.0,7757.0,25278.0,177.0,4269.0,-550.0,619.0,-550.0,3719.0,7757.0,5155.0,0.06,3.26,9100.0,2011-12
13185.0,918.0,192.0,130.0,130.0,9060.0,9200.0,2288.0,12154.0,4653.0,4653.0,1562.0,20339.0,10488.0,13068.0,7271.0,20339.0,130.0,-2438.0,-386.0,649.0,-386.0,-2824.0,7271.0,5301.0,0.07,2.8,9000.0,2012-03
12834.0,908.0,107.0,7.0,7.0,9020.0,9160.0,2335.0,11793.0,5097.0,5097.0,1611.0,21022.0,10964.0,13517.0,7505.0,21022.0,7.0,594.0,-657.0,592.0,-657.0,-63.0,7505.0,4984.0,0.07,2.8,9040.0,2012-06
13806.0,785.0,-28.0,-274.0,-274.0,9040.0,9040.0,2980.0,13118.0,5662.0,5662.0,1514.0,22834.0,12605.0,15281.0,7553.0,22834.0,-274.0,943.0,-716.0,526.0,-716.0,227.0,7553.0,5013.0,0.06,3.02,9060.0,2012-09
21268.0,1528.0,405.0,98.0,98.0,9120.0,9120.0,8084.0,21296.0,9582.0,7060.0,922.0,32555.0,19002.0,24363.0,8192.0,32555.0,98.0,5081.0,-2026.0,1067.0,-2026.0,3055.0,8192.0,4915.0,0.07,3.97,9080.0,2012-12
16070.0,1090.0,181.0,82.0,82.0,9100.0,9260.0,4481.0,16313.0,7674.0,7674.0,1855.0,28377.0,14332.0,19945.0,8432.0,28377.0,82.0,-2372.0,-670.0,881.0,-670.0,-3042.0,8432.0,5897.0,0.07,3.37,9100.0,2013-03
15704.0,1072.0,79.0,-7.0,-7.0,9120.0,9120.0,3704.0,16285.0,8789.0,8789.0,1935.0,29623.0,14735.0,20890.0,8733.0,29623.0,-7.0,880.0,-855.0,835.0,-855.0,25.0,8733.0,6119.0,0.07,3.39,9140.0,2013-06
17092.0,958.0,-25.0,-41.0,-41.0,9140.0,9140.0,3872.0,17334.0,9991.0,9991.0,1901.0,31861.0,16135.0,22774.0,9087.0,31861.0,-41.0,1388.0,-1038.0,809.0,-1038.0,350.0,9087.0,6452.0,0.06,3.51,9160.0,2013-09
25587.0,2001.0,510.0,240.0,240.0,9200.0,9360.0,8658.0,24625.0,14809.0,10949.0,1285.0,40159.0,22980.0,30413.0,9746.0,40159.0,240.0,5578.0,-879.0,1472.0,-879.0,4699.0,9746.0,6446.0,0.08,4.12,9180.0,2013-12
19741.0,1378.0,146.0,108.0,108.0,9200.0,9360.0,5074.0,19327.0,12267.0,12267.0,2117.0,36364.0,18357.0,26036.0,10328.0,36364.0,108.0,-2502.0,-1080.0,1156.0,-1080.0,-3582.0,10328.0,7675.0,0.07,3.52,9200.0,2014-03
19340.0,1333.0,-15.0,-126.0,-126.0,9220.0,9220.0,5057.0,18755.0,14089.0,14089.0,2377.0,37898.0,18751.0,27296.0,10602.0,37898.0,-126.0,862.0,-1290.0,1094.0,-1290.0,-428.0,10602.0,7925.0,0.07,3.57,9240.0,2014-06
20579.0,886.0,-544.0,-437.0,-437.0,9260.0,9260.0,5258.0,18572.0,15702.0,15702.0,2813.0,40419.0,20842.0,30083.0,10336.0,40419.0,-437.0,1766.0,-1378.0,703.0,-1378.0,388.0,10336.0,7004.0,0.04,3.91,9260.0,2014-09
29329.0,2597.0,590.0,214.0,214.0,9300.0,9300.0,14557.0,31327.0,22730.0,16967.0,2128.0,54505.0,28089.0,43764.0,10741.0,54505.0,214.0,6715.0,-1145.0,1970.0,-1145.0,5570.0,10741.0,6658.0,0.09,5.07,9300.0,2014-12
22717.0,1809.0,255.0,-57.0,-57.0,9300.0,9300.0,10237.0,25922.0,17736.0,17736.0,2926.0,50075.0,23177.0,39202.0,10873.0,50075.0,-57.0,-1499.0,-871.0,1681.0,-871.0,-2370.0,10873.0,7382.0,0.08,4.61,9320.0,2015-03
23185.0,2129.0,464.0,92.0,92.0,9340.0,9520.0,10269.0,26391.0,19479.0,19479.0,3047.0,52440.0,23912.0,40672.0,11768.0,52440.0,92.0,1997.0,-1213.0,1968.0,-1213.0,784.0,11768.0,8245.0,0.09,4.46,9360.0,2015-06
25358.0,2176.0,406.0,79.0,79.0,9360.0,9560.0,10709.0,28849.0,20636.0,20636.0,3216.0,56230.0,26657.0,43800.0,12430.0,56230.0,79.0,2610.0,-1195.0,2005.0,-1195.0,1415.0,12430.0,8901.0,0.09,4.52,9380.0,2015-09
