revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
10521.478,1301.356,254.818,160.175,160.175,457.632,480.348,1801.52,6617.83,9299.707,7159.27,549.19,14326.29,5949.786,7461.111,6865.179,14326.29,160.175,703.281,-221.637,352.157,-221.637,481.644,6865.179,6865.179,0.12,2.09,457.793,2003-11
11548.974,1446.997,355.176,226.792,226.792,458.228,481.537,2175.937,6499.595,9434.673,7202.888,574.985,14277.468,5587.47,7104.26,7173.208,14277.468,226.792,569.403,-108.205,457.65,-108.205,461.198,7173.208,7173.208,0.13,1.99,458.776,2004-02
10897.239,1356.927,310.147,198.658,198.658,459.074,482.485,2492.928,6925.409,9442.569,7148.721,541.152,14615.282,5844.395,7341.26,7274.022,14615.282,198.658,345.965,-85.024,413.908,-85.024,260.941,7274.022,7274.022,0.12,2.01,459.39,2004-05
15142.216,1912.611,465.507,296.768,296.768,461.959,485.651,2823.135,7269.099,9541.376,7219.829,603.62,15092.548,6170.55,7408.472,7684.076,15092.548,296.768,477.616,-235.354,602.654,-235.354,242.262,7684.076,7684.076,0.13,1.96,462.637,2004-08
11578.003,1445.516,300.645,193.153,193.153,465.869,489.284,2884.999,8387.021,9927.861,7454.743,568.554,16410.318,7036.385,8140.587,8269.731,16410.318,193.153,44.534,-206.48,408.705,-206.48,-161.946,8269.731,8269.731,0.12,1.98,471.873,2004-11
12658.077,1602.013,389.895,305.452,305.452,474.221,493.7,3043.335,8363.116,10070.508,7516.21,569.741,16449.067,6774.381,7773.605,8675.462,16449.067,305.452,719.74,-197.105,500.009,-197.105,522.635,8675.462,8675.462,0.13,1.9,477.4,2005-02
11996.9,1493.239,316.139,209.788,209.788,478.248,493.282,2725.116,8569.366,10277.597,7629.579,583.474,16782.419,6871.345,7862.059,8920.36,16782.419,209.788,493.627,-217.836,427.55,-217.836,275.791,8920.36,8920.36,0.12,1.88,479.287,2005-05
16719.246,2064.497,484.017,354.699,354.699,477.485,491.399,2062.585,8238.001,10487.03,7790.192,637.012,16665.205,6760.537,7725.482,8939.723,16665.205,354.699,518.06,-354.578,636.27,-354.578,163.482,8939.723,8939.723,0.12,1.86,472.48,2005-08
12933.346,1603.175,325.495,215.818,215.818,472.717,486.367,2008.88,8842.185,10704.204,7915.639,624.396,17382.22,7454.831,8255.657,9126.563,17382.22,215.818,133.573,-262.91,439.634,-262.91,-129.337,9126.563,9126.563,0.12,1.9,475.828,2005-11
14059.012,1755.162,432.744,296.203,296.203,471.889,482.127,2239.786,8452.13,10974.062,8066.278,657.158,17175.566,7250.021,8048.368,9127.198,17175.566,296.203,810.205,-232.226,543.002,-232.226,577.979,9127.198,9127.198,0.12,1.88,469.635,2006-02
13283.648,1648.596,355.889,235.595,235.595,470.516,480.533,2010.448,8347.133,11307.37,8274.019,663.175,17284.327,7492.306,7983.484,9300.843,17284.327,235.595,284.851,-253.737,483.915,-253.737,31.114,9300.843,9300.843,0.12,1.86,469.802,2006-05
19875.221,2398.797,515.746,355.599,355.599,463.775,472.565,1510.939,8232.082,11642.436,8564.295,698.693,17495.07,7819.191,8288.273,9206.797,17495.07,355.599,598.661,-447.954,678.608,-447.954,150.707,9206.797,9206.797,0.12,1.9,462.279,2006-08
14151.624,1762.666,357.472,236.886,236.886,458.873,467.836,1843.101,8864.259,12018.097,8831.818,719.097,18415.174,8946.859,9378.733,9036.441,18415.174,236.886,407.49,-385.392,484.448,-385.392,22.098,9036.441,9036.441,0.12,2.04,455.392,2006-11
15112.016,1860.264,364.787,249.478,249.478,450.901,461.575,1571.905,8275.765,12206.633,8916.771,732.685,17925.221,8664.5,9070.673,8854.548,17925.221,249.478,318.425,-271.303,496.406,-271.303,47.122,8854.548,8854.548,0.12,2.02,449.327,2007-02
14659.255,1781.668,339.996,223.986,223.986,445.471,455.889,3160.936,9690.443,12526.084,9098.325,749.717,19538.485,8586.754,10989.523,8548.962,19538.485,223.986,827.699,-219.306,469.826,-219.306,608.393,8548.962,8548.962,0.12,2.29,440.23,2007-05
20477.26,2545.855,546.331,372.422,372.422,435.404,445.458,2779.733,9324.153,13068.516,9519.78,762.653,19606.586,8581.753,10913.928,8692.658,19606.586,372.422,522.79,-495.644,724.291,-495.644,27.146,8692.658,8692.658,0.12,2.26,437.013,2007-08
15810.0,1986.0,395.0,262.0,262.0,435.09,445.717,2742.354,10301.909,13633.514,9919.546,782.614,21004.069,9693.755,12171.181,8832.888,21004.069,262.0,271.0,-432.0,536.0,-432.0,-161.0,8832.888,8832.888,0.13,2.38,434.962,2007-11
16959.886,2126.697,504.332,327.85,327.85,434.779,444.925,2267.381,9669.405,13870.54,10047.942,951.53,20668.877,9169.089,11648.916,9019.961,20668.877,327.831,582.388,-336.284,649.874,-336.284,246.104,9019.961,9019.961,0.13,2.29,434.23,2008-02
16614.0,2066.0,475.0,295.0,295.0,433.678,443.281,2848.658,10078.466,14200.181,10249.026,875.858,21203.35,9525.513,12010.723,9192.627,21203.35,295.169,909.612,-365.716,624.458,-365.716,543.896,9192.627,9192.627,0.12,2.31,435.056,2008-05
23100.0,2802.0,598.0,398.0,398.0,434.223,443.823,2619.429,9462.045,14329.222,10354.996,865.307,20682.348,8874.165,11408.43,9273.918,20682.348,410.0,443.0,-417.0,815.0,-417.0,26.0,9273.918,9273.918,0.12,2.23,432.513,2008-08
16395.0,2119.0,422.0,263.0,263.0,432.451,440.533,2215.0,10100.0,14181.0,10192.0,705.0,20997.0,9538.0,12061.0,8936.0,20997.0,266.0,-15.0,-375.0,577.0,-375.0,-390.0,8936.0,8936.0,0.13,2.35,433.17,2008-11
16843.0,2072.0,398.0,239.0,239.0,433.476,439.688,2705.0,9691.0,14485.0,10354.0,692.0,20737.0,8998.0,11528.0,9209.0,20737.0,243.0,865.0,-292.0,559.0,-292.0,573.0,9209.0,9209.0,0.12,2.25,434.027,2009-02
15806.0,2030.0,359.0,210.0,210.0,434.354,439.997,3083.0,10087.0,14800.0,10498.0,719.0,21304.0,9259.0,11740.0,9564.0,21304.0,212.0,693.0,-225.0,530.0,-225.0,468.0,9564.0,9564.0,0.13,2.23,434.88,2009-05
22378.0,2866.0,598.0,374.0,374.0,435.674,441.831,3157.0,10337.0,15323.0,10900.0,349.0,21979.0,9281.0,11875.0,10104.0,21979.0,378.0,549.0,-351.0,839.0,-351.0,198.0,10104.0,10033.0,0.13,2.18,435.974,2009-08
17299.0,2218.0,428.0,266.0,266.0,437.173,444.849,3617.0,11627.0,15708.0,11115.0,736.0,23478.0,10285.0,13047.0,10431.0,23478.0,270.0,751.0,-312.0,612.0,-312.0,439.0,10431.0,10431.0,0.13,2.25,439.325,2009-11
18742.0,2346.0,470.0,299.0,299.0,439.786,446.918,4134.0,11501.0,15857.0,11105.0,760.0,23366.0,9865.0,12623.0,10743.0,23366.0,305.0,609.0,-192.0,655.0,-192.0,417.0,10743.0,10743.0,0.13,2.17,440.507,2010-02
24125.0,3101.0,688.0,432.0,432.0,436.526,443.753,3214.0,11708.0,16360.0,11314.0,365.0,23815.0,10063.0,12885.0,10930.0,23815.0,437.0,611.0,-410.0,934.0,-410.0,201.0,10930.0,10859.0,0.13,2.18,433.51,2010-08
19239.0,2482.0,525.0,312.0,312.0,434.099,441.36,3739.0,13558.0,17449.0,12019.0,466.0,26043.0,11502.0,14336.0,11707.0,26043.0,332.0,720.0,-299.0,716.0,-299.0,421.0,11707.0,11707.0,0.13,2.22,436.312,2010-11
28178.0,3498.0,762.0,478.0,478.0,436.737,444.195,4009.0,13706.0,18368.0,12432.0,623.0,26761.0,12050.0,14188.0,12573.0,26761.0,500.0,941.0,-465.0,1035.0,-465.0,476.0,12573.0,12573.0,0.12,2.13,434.266,2011-08
21628.0,2697.0,543.0,320.0,320.0,434.222,440.615,4319.0,14993.0,18439.0,12381.0,630.0,28004.0,13311.0,15557.0,12447.0,28004.0,328.0,664.0,-336.0,748.0,-336.0,328.0,12447.0,12447.0,0.12,2.25,435.204,2011-11
22967.0,2828.0,644.0,394.0,394.0,434.535,439.468,4389.0,14360.0,18787.0,12519.0,632.0,27511.0,12409.0,14692.0,12819.0,27511.0,412.0,580.0,-289.0,853.0,-289.0,291.0,12819.0,12819.0,0.12,2.15,433.973,2012-02
22324.0,2781.0,623.0,386.0,386.0,433.791,439.166,4791.0,14591.0,19039.0,12596.0,649.0,27836.0,12366.0,14653.0,13183.0,27836.0,405.0,1083.0,-268.0,825.0,-268.0,815.0,13183.0,13183.0,0.12,2.11,432.345,2012-05
32218.0,4008.0,949.0,609.0,609.0,431.94,438.248,3528.0,13526.0,19546.0,12961.0,587.0,27140.0,12260.0,14622.0,12518.0,27140.0,622.0,730.0,-580.0,1241.0,-580.0,150.0,12518.0,12452.0,0.12,2.17,432.35,2012-08
23715.0,2989.0,639.0,416.0,416.0,433.423,438.643,3897.0,15405.0,20023.0,13251.0,667.0,29323.0,14135.0,16491.0,12832.0,29323.0,421.0,1102.0,-488.0,852.0,-488.0,614.0,12832.0,12832.0,0.13,2.29,434.824,2012-11
24871.0,3105.0,738.0,547.0,547.0,435.975,439.812,4413.0,15110.0,20319.0,13386.0,593.0,29089.0,13045.0,18806.0,10283.0,29089.0,554.0,423.0,-455.0,955.0,-455.0,-32.0,10283.0,10283.0,0.12,2.83,436.336,2013-02
24083.0,3045.0,722.0,459.0,459.0,436.488,440.78,5448.0,15863.0,20637.0,13546.0,597.0,30006.0,13509.0,19359.0,10647.0,30006.0,1439.0,2874.0,-1379.0,1373.0,-1379.0,1495.0,10647.0,10647.0,0.13,2.82,436.684,2013-05
32487.0,4069.0,954.0,617.0,617.0,437.085,442.834,4644.0,15840.0,21022.0,13881.0,562.0,30283.0,13257.0,19271.0,11012.0,30283.0,622.0,563.0,-704.0,1249.0,-704.0,-141.0,11012.0,11012.0,0.13,2.75,436.839,2013-08
25017.0,3193.0,668.0,425.0,425.0,437.97,442.42,4699.0,17473.0,21587.0,14254.0,592.0,32319.0,14933.0,20910.0,11409.0,32319.0,431.0,939.0,-574.0,899.0,-574.0,365.0,11409.0,11409.0,0.13,2.83,439.722,2013-11
26306.0,3263.0,724.0,463.0,463.0,439.776,442.829,5130.0,16634.0,21834.0,14348.0,584.0,31566.0,13884.0,19857.0,11709.0,31566.0,473.0,713.0,-447.0,964.0,-447.0,266.0,11709.0,11709.0,0.12,2.7,439.878,2014-02
25794.0,3240.0,737.0,473.0,473.0,439.446,442.72,5736.0,17533.0,22267.0,14583.0,585.0,32701.0,14687.0,20680.0,12021.0,32701.0,1383.0,3142.0,-1426.0,1445.0,-1426.0,1716.0,12021.0,12021.0,0.13,2.72,438.296,2014-05
35523.0,4486.0,1091.0,697.0,697.0,437.598,441.987,5738.0,17588.0,22675.0,14830.0,606.0,33024.0,14412.0,20509.0,12515.0,33024.0,-199.0,-810.0,454.0,941.0,454.0,-356.0,12515.0,12515.0,0.13,2.64,437.683,2014-08
26866.0,3481.0,770.0,496.0,496.0,438.76,442.21,5969.0,19156.0,22759.0,14798.0,659.0,34613.0,16019.0,22043.0,12570.0,34613.0,505.0,1128.0,-555.0,1024.0,-555.0,573.0,12570.0,12570.0,0.13,2.75,440.499,2014-11
27454.0,3557.0,877.0,598.0,598.0,440.384,442.896,5866.0,18058.0,22884.0,14872.0,670.0,33600.0,18249.0,23175.0,10425.0,33600.0,607.0,900.0,-612.0,1137.0,-612.0,288.0,10425.0,10425.0,0.13,3.22,439.974,2015-02
26101.0,3414.0,821.0,516.0,516.0,440.07,443.132,5063.0,17634.0,23315.0,15083.0,774.0,33491.0,16736.0,22677.0,10814.0,33491.0,1631.0,3257.0,-1588.0,1597.0,-1588.0,1669.0,10814.0,10814.0,0.13,3.1,439.488,2015-05
35778.0,4682.0,1156.0,767.0,767.0,438.621,442.701,4801.0,16779.0,23664.0,15401.0,837.0,33017.0,16539.0,22174.0,10843.0,33017.0,778.0,1028.0,-805.0,1507.0,-805.0,223.0,10843.0,10843.0,0.13,3.05,437.952,2015-08
27220.0,3599.0,767.0,480.0,480.0,438.342,441.386,5054.0,18858.0,24356.0,15867.0,726.0,35451.0,18293.0,24371.0,11080.0,35451.0,487.0,811.0,-715.0,1038.0,-715.0,96.0,11080.0,11080.0,0.13,3.2,439.777,2015-11
28170.0,3701.0,856.0,546.0,546.0,439.648,441.559,3633.0,15529.0,24702.0,16065.0,794.0,32388.0,15433.0,21154.0,11234.0,32388.0,555.0,791.0,-624.0,1141.0,-624.0,167.0,11234.0,11234.0,0.13,2.88,439.035,2016-02
26769.0,3607.0,858.0,545.0,545.0,438.815,441.066,4884.0,16542.0,25452.0,16491.0,840.0,33873.0,16999.0,22125.0,11748.0,33873.0,549.0,1859.0,-461.0,1149.0,-461.0,1398.0,11748.0,11748.0,0.13,2.88,438.066,2016-05
36560.0,4911.0,1191.0,779.0,779.0,437.55,441.089,3379.0,15218.0,26167.0,17043.0,902.0,33163.0,15575.0,20831.0,12332.0,33163.0,785.0,-169.0,-849.0,1599.0,-849.0,-1018.0,12332.0,12332.0,0.13,2.69,437.524,2016-08
28099.0,3811.0,849.0,545.0,545.0,438.007,440.525,4805.0,18570.0,26438.0,17156.0,806.0,36532.0,19161.0,24301.0,12231.0,36532.0,555.0,2793.0,-667.0,1146.0,-667.0,2126.0,12231.0,12231.0,0.14,2.99,439.24,2016-11
29766.0,3839.0,844.0,515.0,515.0,439.127,440.657,4744.0,17460.0,26891.0,17342.0,828.0,35630.0,18860.0,22918.0,12712.0,35630.0,521.0,493.0,-516.0,1156.0,-516.0,-23.0,12712.0,12712.0,0.13,2.8,438.941,2017-02
28860.0,3890.0,968.0,700.0,700.0,438.817,441.056,4538.0,17256.0,27324.0,17535.0,840.0,35631.0,21394.0,25446.0,10185.0,35631.0,706.0,1606.0,-540.0,1288.0,-540.0,1066.0,10185.0,10185.0,0.13,3.5,438.593,2017-05
42300.0,5603.0,1450.0,919.0,919.0,437.798,441.513,4546.0,17317.0,28341.0,18161.0,869.0,36347.0,17495.0,25268.0,11079.0,36347.0,932.0,1834.0,-779.0,1891.0,-779.0,1055.0,11079.0,11079.0,0.13,3.28,437.204,2017-08
31809.0,4192.0,951.0,640.0,640.0,437.965,440.851,5689.0,19897.0,29109.0,18682.0,799.0,39378.0,20360.0,28022.0,11356.0,39378.0,651.0,2006.0,-820.0,1286.0,-820.0,1186.0,11356.0,11356.0,0.13,3.47,439.185,2017-11
32995.0,4262.0,1016.0,701.0,701.0,439.022,441.568,4781.0,18899.0,29803.0,19049.0,755.0,38703.0,18913.0,26650.0,12053.0,38703.0,713.0,109.0,-508.0,1360.0,-508.0,-399.0,12053.0,12053.0,0.13,3.21,438.82,2018-02
32361.0,4230.0,1067.0,750.0,750.0,438.74,441.715,5877.0,19693.0,30110.0,19178.0,734.0,39605.0,19411.0,27158.0,12447.0,39605.0,762.0,2105.0,-585.0,1394.0,-585.0,1520.0,12447.0,12447.0,0.13,3.18,438.602,2018-05
44411.0,5740.0,1446.0,1043.0,1043.0,438.332,443.187,6055.0,20289.0,30714.0,19681.0,860.0,40830.0,19926.0,27727.0,13103.0,40830.0,1053.0,1554.0,-1056.0,1877.0,-1056.0,498.0,13103.0,13103.0,0.13,3.12,438.189,2018-08
35069.0,4446.0,949.0,767.0,767.0,439.157,442.749,6778.0,22954.0,31144.0,19879.0,981.0,43814.0,22473.0,30335.0,13479.0,43814.0,777.0,2177.0,-730.0,1280.0,-730.0,1447.0,13479.0,13479.0,0.13,3.25,440.546,2018-11
35396.0,4676.0,1203.0,889.0,889.0,440.284,442.337,6080.0,21648.0,31702.0,20145.0,1006.0,42799.0,22450.0,28616.0,14183.0,42799.0,901.0,-219.0,-587.0,1555.0,-587.0,-806.0,14183.0,14183.0,0.13,3.02,439.88,2019-02
34740.0,4507.0,1122.0,906.0,906.0,439.859,442.642,7013.0,22285.0,32224.0,20475.0,992.0,43752.0,22832.0,28932.0,14820.0,43752.0,916.0,2105.0,-672.0,1458.0,-672.0,1433.0,14820.0,14820.0,0.13,2.95,439.789,2019-05
47498.0,6188.0,1463.0,1097.0,1097.0,439.719,443.997,8384.0,23485.0,32626.0,20890.0,1025.0,45400.0,23237.0,29816.0,15584.0,45400.0,1110.0,2293.0,-1009.0,1936.0,-1009.0,1284.0,15584.0,15584.0,0.13,2.91,439.625,2019-08
37040.0,4807.0,1061.0,844.0,844.0,441.818,443.68,9027.0,26643.0,35908.0,23834.0,954.0,51431.0,26265.0,35207.0,16224.0,51431.0,856.0,2102.0,-715.0,1430.0,-715.0,1387.0,16224.0,16224.0,0.13,3.17,441.778,2019-11
39072.0,5016.0,1266.0,931.0,931.0,442.021,443.727,7786.0,23703.0,36457.0,24077.0,1002.0,48782.0,22695.0,31783.0,16999.0,48782.0,947.0,619.0,-545.0,1655.0,-545.0,74.0,16999.0,16999.0,0.13,2.87,441.58,2020-02
37266.0,5017.0,1179.0,838.0,838.0,442.322,443.855,10826.0,25254.0,36855.0,24276.0,2202.0,51732.0,22779.0,34529.0,17203.0,51732.0,852.0,1898.0,-698.0,1561.0,-698.0,1200.0,17203.0,17203.0,0.13,3.01,441.524,2020-05
53383.0,6982.0,1929.0,1389.0,1389.0,443.026,444.342,12277.0,28120.0,37491.0,24595.0,2841.0,55556.0,24844.0,36851.0,18705.0,55556.0,1404.0,4242.0,-852.0,2434.0,-852.0,3390.0,18705.0,18705.0,0.13,2.97,441.255,2020-08
43208.0,5750.0,1430.0,1166.0,1166.0,442.952,444.386,13590.0,32096.0,25073.0,25073.0,3048.0,60217.0,32667.0,44908.0,15309.0,60217.0,1181.0,2647.0,-893.0,1834.0,-893.0,1754.0,15309.0,15309.0,0.13,3.93,442.955,2020-11
44769.0,5691.0,1340.0,951.0,951.0,443.134,444.494,8637.0,26308.0,25418.0,25418.0,3192.0,54918.0,26564.0,38789.0,16129.0,54918.0,971.0,38.0,-573.0,1756.0,-573.0,-535.0,16129.0,16129.0,0.13,3.4,442.534,2021-02
45277.0,5862.0,1663.0,1220.0,1220.0,443.043,444.127,10226.0,27916.0,26052.0,26052.0,3306.0,57274.0,27982.0,40300.0,16974.0,57274.0,1233.0,3333.0,-1028.0,2065.0,-1028.0,2305.0,16974.0,16974.0,0.13,3.37,442.069,2021-05
62675.0,7942.0,2275.0,1670.0,1670.0,443.227,444.376,11258.0,29505.0,40548.0,26382.0,3381.0,59268.0,29441.0,41190.0,18078.0,59268.0,1694.0,2940.0,-1094.0,2834.0,-1094.0,1846.0,18078.0,18078.0,0.13,3.28,441.825,2021-08
50363.0,6411.0,1693.0,1324.0,1324.0,443.377,444.604,12751.0,33850.0,26790.0,26790.0,3509.0,64149.0,33342.0,45149.0,19000.0,64149.0,1345.0,3258.0,-1055.0,2125.0,-1055.0,2203.0,19000.0,19000.0,0.13,3.38,443.434,2021-11
51904.0,6387.0,1812.0,1299.0,1299.0,443.623,444.916,11819.0,32565.0,26892.0,26892.0,3621.0,63078.0,31545.0,43102.0,19976.0,63078.0,1320.0,401.0,-723.0,2248.0,-723.0,-322.0,19976.0,19976.0,0.12,3.16,443.224,2022-02
52596.0,6241.0,1791.0,1353.0,1353.0,443.7,444.886,11193.0,33008.0,26874.0,26874.0,3970.0,63852.0,31845.0,43339.0,20513.0,63852.0,1372.0,1227.0,-854.0,2229.0,-854.0,373.0,20513.0,20513.0,0.12,3.11,442.963,2022-05
72091.0,8533.0,2497.0,1868.0,1868.0,443.903,444.622,10203.0,32696.0,42706.0,27420.0,4050.0,64166.0,31998.0,43519.0,20647.0,64166.0,1878.0,2506.0,-1259.0,3091.0,-1259.0,1247.0,20647.0,20647.0,0.12,3.11,442.664,2022-08
