revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
8549.0,1165.0,1165.0,688.0,688.0,2045.0,2099.0,1462.0,10076.0,21572.0,12570.0,9130.0,51520.0,9555.0,27042.0,24478.0,51520.0,688.0,-2.0,-208.0,1438.0,-208.0,-210.0,24478.0,4734.0,0.14,2.1,2013.3,2003-12
7189.0,1036.0,1036.0,537.0,537.0,2048.0,2110.0,3148.0,10748.0,27794.0,16278.0,8329.0,55096.0,12776.0,29603.0,25493.0,55096.0,537.0,2506.0,-260.0,1315.0,-260.0,2246.0,25493.0,5752.0,0.14,2.16,2013.3,2004-03
7471.0,1096.0,1096.0,604.0,604.0,2053.0,2111.0,3023.0,10167.0,27647.0,16248.0,8378.0,54561.0,12158.0,28403.0,26158.0,54561.0,604.0,899.0,-426.0,1416.0,-426.0,473.0,26158.0,6390.0,0.15,2.09,2013.3,2004-06
7543.0,751.0,751.0,516.0,516.0,2538.185,2538.185,2042.0,9369.0,28147.0,16482.0,8270.0,53902.0,11059.0,27023.0,26879.0,53902.0,516.0,1241.0,-533.0,1089.0,-533.0,708.0,26879.0,7098.0,0.1,2.01,2054.58,2004-09
8666.0,1116.0,1116.0,686.0,686.0,2042.0,2107.0,2166.0,10378.0,28975.0,16827.0,8473.0,55449.0,11264.0,28204.0,27245.0,55449.0,686.0,156.0,-347.0,1442.0,-347.0,-191.0,27245.0,7474.0,0.13,2.04,2043.28,2004-12
7829.0,1109.0,1109.0,657.0,657.0,2044.0,2114.0,1941.0,10182.0,29110.0,16796.0,8296.0,55047.0,8596.0,27003.0,28044.0,55047.0,657.0,972.0,-426.0,1439.0,-426.0,546.0,28044.0,8271.0,0.14,1.96,2082.9,2005-03
7715.0,1282.0,1282.0,811.0,811.0,2031.0,2096.0,2034.0,9508.0,29090.0,16690.0,7926.0,53892.0,8036.0,25685.0,28207.0,53892.0,811.0,1800.0,-414.0,1632.0,-414.0,1386.0,28207.0,8439.0,0.17,1.91,2049.6,2005-06
7164.0,424.0,424.0,379.0,379.0,2256.554,2256.554,1723.0,8845.0,29573.0,16968.0,2213.0,53158.0,9168.0,25700.0,27458.0,53158.0,379.0,1341.0,-639.0,759.0,-639.0,702.0,27458.0,2326.0,0.06,1.94,2007.2,2005-09
8854.0,1161.0,1161.0,734.0,734.0,1940.0,1999.0,1819.0,9810.0,29509.0,16721.0,7451.0,53667.0,10236.0,27028.0,26639.0,53667.0,734.0,579.0,-203.0,1530.0,-203.0,376.0,26639.0,6954.0,0.13,2.01,1958.6,2005-12
8027.0,1186.0,1186.0,733.0,733.0,1924.0,1990.0,2031.0,9663.0,29805.0,16719.0,7545.0,53624.0,9467.0,26500.0,27124.0,53624.0,733.0,1602.0,-259.0,1543.0,-259.0,1343.0,27124.0,7427.0,0.15,1.98,1940.1,2006-03
