revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
36882.0,3712.0,280.0,1406.0,510.0,1500.137,1500.137,21061.0,53053.0,22512.0,19235.0,14421.0,138898.0,47157.0,101739.0,37159.0,138898.0,1472.0,-1539.0,3110.0,280.0,3110.0,1571.0,26768.0,-16892.0,0.1,3.74,1500.14,2010-12
36194.0,4344.0,1344.0,3366.0,3151.0,1504.0,1817.0,20975.0,62949.0,19944.0,19944.0,14511.0,145846.0,51682.0,106760.0,39086.0,145846.0,3411.0,-377.0,-1626.0,1344.0,-1626.0,-2003.0,28695.0,-12810.0,0.12,3.73,1560.76,2011-03
39373.0,5394.0,2451.0,2992.0,2524.0,1505.0,1654.0,20471.0,65984.0,20989.0,20989.0,15153.0,150415.0,53848.0,108383.0,42032.0,150415.0,3037.0,5064.0,-1255.0,2451.0,-1255.0,3809.0,31641.0,-9488.0,0.14,3.58,1561.45,2011-06
36719.0,4773.0,1806.0,2107.0,1726.0,1562.0,1682.0,20297.0,64010.0,21556.0,21556.0,15016.0,148497.0,51748.0,102881.0,45616.0,148497.0,2092.0,2037.0,-1729.0,1806.0,-1729.0,308.0,35225.0,-5156.0,0.13,3.26,1564.37,2011-09
37990.0,4594.0,1341.0,725.0,1218.0,1572.0,1668.0,16071.0,64923.0,28476.0,23790.0,10067.0,144603.0,53226.0,105612.0,38991.0,144603.0,747.0,1442.0,3820.0,1341.0,3820.0,5262.0,28600.0,-10433.0,0.12,3.71,1564.73,2011-12
37759.0,4601.0,1613.0,1315.0,1004.0,1572.0,1692.0,17378.0,69216.0,24275.0,24275.0,11790.0,150194.0,56577.0,110054.0,40140.0,150194.0,1350.0,2499.0,-296.0,1613.0,-296.0,2203.0,29749.0,-8371.0,0.12,3.74,1565.84,2012-03
37614.0,4668.0,1821.0,1846.0,1632.0,1569.0,1671.0,22184.0,70233.0,25026.0,25026.0,12073.0,151987.0,56651.0,110377.0,41610.0,151987.0,1901.0,3942.0,-294.0,1821.0,-294.0,3648.0,31219.0,-6378.0,0.12,3.65,1565.94,2012-06
37576.0,4530.0,1681.0,1833.0,1618.0,1570.0,1663.0,23320.0,72107.0,26578.0,26578.0,11940.0,155456.0,57623.0,112827.0,42629.0,155456.0,1854.0,3383.0,-211.0,1681.0,-211.0,3172.0,32238.0,-5074.0,0.12,3.65,1565.98,2012-09
39307.0,-2986.0,-8333.0,1194.0,979.0,1554.0,1675.0,18422.0,69996.0,31662.0,25845.0,37916.0,149422.0,53992.0,112422.0,37000.0,149422.0,1031.0,781.0,-190.0,-8333.0,-190.0,591.0,26609.0,17827.0,-0.08,4.04,1366.37,2012-12
36884.0,3911.0,959.0,1175.0,960.0,1372.0,1507.0,20643.0,72570.0,26932.0,26932.0,37838.0,153775.0,56539.0,115440.0,38335.0,153775.0,1185.0,819.0,-441.0,959.0,-441.0,378.0,27944.0,18979.0,0.11,4.01,1400.0,2013-03
