revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
1256.516,709.735,442.77,369.193,369.193,5322.118,5732.238,482.572,3158.474,678.981,474.829,45.645,3865.199,393.328,438.337,3426.862,3865.199,369.193,529.622,-142.391,3.505,498.963,-142.391,387.231,3426.862,3240.611,0.56,1.13,11083.2,2005-03
1384.495,787.4,475.698,342.814,342.814,5414.578,5744.758,753.472,3649.21,780.749,576.597,55.307,4497.718,448.37,543.861,3953.857,4497.718,342.814,624.619,-157.463,7.956,542.627,-157.463,467.156,3953.857,3737.253,0.57,1.14,11159.0,2005-06
1578.456,923.302,529.171,381.182,381.182,5502.598,5793.458,5518.569,8382.685,1173.116,803.078,36.63500000000199,9451.001,559.848,657.933,8793.068,9451.001,381.182,646.747,-292.532,4308.293,605.136,-292.532,354.215,8793.068,8564.465,0.58,1.07,11810.5,2005-09
1919.092,1142.057,659.639,372.208,372.208,5828.218,6079.458,3877.174,9001.071,1417.425,961.749,31.310000000001,10271.813,745.384,852.856,9418.957,10271.813,372.208,658.434,-245.831,51.076,754.364,-245.831,412.603,9418.957,9141.274,0.6,1.09,11878.0,2005-12
2253.755,1349.636,742.699,592.291,592.291,5877.918,6082.458,2935.179,9555.957,1749.568,1209.681,49.853000000001,11294.87,980.024,1051.602,10243.268,11294.87,592.291,824.804,-344.938,119.896,853.857,-344.938,479.866,10243.268,9763.889,0.6,1.1,12111.7,2006-03
2455.991,1466.959,815.372,721.077,721.077,6028.198,6200.758,4015.922,11058.107,2452.055,1799.766,1072.935,14396.006,977.43,1038.998,13357.008,14396.006,721.077,840.586,-699.0,2299.056,941.593,-699.0,141.586,13357.008,12891.81,0.6,1.08,12162.6,2006-06
2689.673,1640.945,931.331,733.361,733.361,6067.998,6211.478,3038.341,11858.243,2957.58,2174.314,117.533,15693.232,1216.047,1296.145,14397.087,15693.232,733.361,1004.324,-492.222,129.418,1076.641,-492.222,512.102,14397.087,13882.536,0.61,1.09,12234.4,2006-09
3205.498,1922.35,1060.594,1030.717,1030.717,6138.098,6269.137,3544.671,13039.847,3289.594,2395.239,114.455,18473.351,1304.587,1433.511,17039.84,18473.351,1030.717,910.794,-366.638,418.028,1249.844,-366.638,544.156,17039.84,15147.88,0.6,1.08,12426.2,2006-12
3663.971,2193.545,1221.209,1002.162,1002.162,6186.298,6297.397,4081.34,14080.774,3876.274,2826.717,129.903,20015.438,1254.353,1638.228,18377.21,20015.438,1002.162,1219.593,-596.893,88.51,1426.201,-596.893,622.7,18377.21,16430.118,0.6,1.09,12449.8,2007-03
3871.985,2311.73,1104.615,925.12,925.12,6208.718,6309.377,4493.652,14857.523,4401.193,3219.28,245.575,21423.885,1319.195,1764.277,19659.608,21423.885,925.12,1229.926,-575.098,120.129,1327.97,-575.098,654.828,19659.608,17596.905,0.6,1.09,12473.3,2007-06
4231.351,2568.772,1317.842,1069.989,1069.989,6224.418,6331.517,5106.404,15733.761,4914.422,3588.814,207.288,23340.65,1782.667,2303.879,21036.771,23340.65,1069.989,1632.643,-552.64,49.011,1567.217,-552.64,1080.003,21036.771,18274.122,0.61,1.11,12501.5,2007-09
4826.679,2870.855,1440.734,1206.449,1206.449,6245.038,6358.517,6081.593,17289.138,5519.912,4039.261,201.749,25335.806,2035.602,2646.127,22689.679,25335.806,1206.449,1693.248,-678.209,145.417,1730.67,-678.209,1015.039,22689.679,19943.715,0.59,1.12,12523.0,2007-12
5186.043,3075.507,1546.235,1307.086,1307.086,6262.577,6347.837,6519.749,15464.931,6430.853,4741.724,345.99,27604.982,2460.475,3267.447,24337.535,27604.982,1307.086,1779.446,-841.597,28.656,1882.759,-841.597,937.849,24337.535,18342.164,0.59,1.13,12551.6,2008-03
5367.212,3219.637,1577.965,1247.391,1247.391,6276.337,6360.457,7363.536,16316.837,7013.003,5137.71,664.923,29179.786,2345.515,3266.771,25913.015,29179.786,1247.391,1766.154,-697.517,43.577,1969.572,-697.517,1068.637,25913.015,19920.219,0.6,1.13,12565.7,2008-06
5541.391,3368.001,1647.565,1289.938,1289.938,6284.817,6355.517,8370.469,17962.851,7325.792,5213.167,660.697,30806.974,2224.277,3332.112,27474.862,30806.974,1289.939,2184.958,-451.503,4.285,2033.811,-451.503,1733.455,27474.862,21605.499,0.61,1.12,12578.0,2008-09
5700.904,3510.899,1860.205,382.442,382.442,6292.977,6337.317,8656.672,20178.182,7576.341,5233.843,433.846,31767.575,2302.09,3528.713,28238.862,31767.575,382.442,2122.299,-367.844,11.049,2245.715,-367.844,1754.455,28238.862,22402.318,0.62,1.12,12599.5,2008-12
5509.0,3407.0,1884.0,1423.0,1423.0,6305.037,6344.417,10426.291,22080.802,7697.487,5122.105,468.464,33513.029,2183.854,3664.934,29848.095,33513.029,1423.0,2250.0,-263.0,-5.0,2287.0,-263.0,1987.0,29848.095,24107.436,0.62,1.12,12625.3,2009-03
5523.0,3415.0,1874.0,1485.0,1485.0,6318.017,6370.717,11911.351,23834.853,7905.528,5005.9,530.783,35158.76,2000.962,3563.904,31594.856,35158.76,1484.0,1609.0,-139.0,51.0,2251.0,-139.0,1470.0,31594.856,25901.557,0.62,1.11,12644.7,2009-06
5945.0,3719.0,2074.0,1639.0,1639.0,6329.937,6394.917,12087.115,26353.544,8043.9,4917.491,648.97300000001,37702.845,2321.774,3981.092,33721.753,37702.845,1639.0,2726.0,-187.0,29.0,2453.0,-187.0,2539.0,33721.753,28049.288,0.63,1.12,12665.1,2009-09
6674.0,4266.0,2481.0,1974.0,1974.0,6344.697,6443.217,10198.0,29167.0,8130.0,4845.0,678.0,40497.0,2747.0,4493.0,36004.0,40497.0,1974.0,2731.0,-221.0,158.0,2846.0,-221.0,2510.0,36004.0,30326.0,0.64,1.12,12698.6,2009-12
6775.0,4323.0,2488.0,1955.0,1955.0,6357.897,6452.157,9192.0,31132.0,8219.0,4773.0,900.0,42871.0,2922.0,4588.0,38283.0,42871.0,1955.0,2584.0,-239.0,-123.0,2819.0,-239.0,2345.0,38283.0,32371.0,0.64,1.12,12718.6,2010-03
6820.0,4353.0,2365.0,1840.0,1840.0,6366.997,6449.717,10713.0,35161.0,8525.0,4920.0,895.0,48045.0,5747.0,7432.0,40613.0,48045.0,1840.0,2085.0,-476.0,-646.0,2707.0,-476.0,1609.0,40613.0,33921.0,0.64,1.18,12732.2,2010-06
7286.0,4734.0,2547.0,2167.0,2167.0,6372.337,6447.537,11257.0,39447.0,9383.0,5506.0,812.0,53342.0,8530.0,10052.0,43290.0,53342.0,2167.0,2886.0,-758.0,2067.0,2889.0,-758.0,2128.0,43290.0,36198.0,0.65,1.23,12757.0,2010-09
8440.0,5494.0,2982.0,2543.0,2543.0,6398.937,6510.677,13630.0,41562.0,11771.0,7759.0,707.0,57851.0,9996.0,11610.0,46241.0,57851.0,2543.0,3526.0,-2545.0,1752.0,3363.0,-2545.0,981.0,46241.0,38941.0,0.65,1.25,12839.6,2010-12
8575.0,5639.0,2296.0,1798.0,1798.0,6430.537,6527.657,12415.0,43310.0,12509.0,8249.0,411.0,59960.0,9332.0,11109.0,48851.0,59960.0,1798.0,3172.0,-890.0,-111.0,2697.0,-890.0,2282.0,48851.0,41527.0,0.66,1.23,12872.6,2011-03
9026.0,5854.0,2881.0,2505.0,2505.0,6444.557,6520.717,10320.0,46442.0,13495.0,9003.0,465.0,64861.0,7798.0,12870.0,51991.0,64861.0,2506.0,3519.0,-917.0,958.0,3336.0,-917.0,2602.0,51991.0,43933.0,0.65,1.25,12894.2,2011-06
9720.0,6342.0,3058.0,2729.0,2729.0,6463.097,6548.777,10630.0,50042.0,13815.0,9204.0,488.0,69088.0,8888.0,14258.0,54830.0,69088.0,2729.0,3950.0,-680.0,-80.0,3550.0,-680.0,3270.0,54830.0,46367.0,0.65,1.26,12937.7,2011-09
10583.0,6880.0,4007.0,2704.0,2704.0,6483.997,6579.977,9983.0,52758.0,14400.0,9603.0,499.0,72574.0,8913.0,14429.0,58145.0,72574.0,2704.0,3924.0,-951.0,40.0,4510.0,-951.0,2973.0,58145.0,49221.0,0.65,1.25,12983.2,2011-12
10645.0,6856.0,3389.0,2890.0,2890.0,6505.977,6602.717,23108.0,56859.0,14963.0,9875.0,664.0,77144.0,9742.0,15432.0,61712.0,77144.0,2890.0,3694.0,-607.0,1230.0,3900.0,-607.0,3087.0,61712.0,52846.0,0.64,1.25,13023.6,2012-03
11807.0,7130.0,3237.0,2785.0,2785.0,6525.437,6615.857,15437.0,53857.0,16137.0,10909.0,2263.0,86051.0,14028.0,21330.0,64721.0,86051.0,2785.0,4252.0,-774.0,639.0,3907.0,-774.0,3478.0,64721.0,46739.0,0.6,1.33,13065.1,2012-06
13304.0,7349.0,2740.0,2176.0,2176.0,6555.697,6666.277,16260.0,56821.0,17038.0,11401.0,2206.0,89730.0,14434.0,21702.0,68028.0,89730.0,2176.0,4004.0,-872.0,52.0,3568.0,-872.0,3132.0,68028.0,49789.0,0.55,1.32,13129.4,2012-09
10283.0,7528.0,4468.0,2886.0,2886.0,13186.383,13186.383,14778.0,60454.0,17697.0,11854.0,2011.0,93798.0,14337.0,22083.0,71715.0,93798.0,2886.0,4669.0,-1020.0,-692.0,5421.0,-1020.0,3649.0,71715.0,53705.0,0.73,1.31,13186.4,2012-12
12951.0,7815.0,3748.0,3346.0,3346.0,6609.077,6733.257,15375.0,62808.0,18260.0,12300.0,2195.0,96692.0,13252.0,21219.0,75473.0,96692.0,3346.0,3633.0,-1203.0,-517.0,4647.0,-1203.0,2430.0,75473.0,57554.0,0.6,1.28,13227.5,2013-03
13107.0,7912.0,3465.0,3228.0,3228.0,13299.195,13533.475,16164.0,66861.0,19255.0,12912.0,1891.0,101182.0,15329.0,22330.0,78852.0,101182.0,3228.0,4705.0,-1611.0,-105.0,4495.0,-1611.0,3094.0,78852.0,60898.0,0.6,1.28,13312.5,2013-06
13754.0,8345.0,3761.0,2970.0,2970.0,13344.635,13569.395,15242.0,68858.0,21722.0,14867.0,1784.0,105068.0,14475.0,22079.0,82989.0,105068.0,2970.0,5083.0,-2289.0,-267.0,4735.0,-2289.0,2794.0,82989.0,65273.0,0.61,1.27,13353.3,2013-09
15707.0,9454.0,4429.0,3189.0,3189.0,13393.395,13640.075,18898.0,72886.0,23837.0,16524.0,1976.0,110920.0,15908.0,23611.0,87309.0,110920.0,3189.0,5238.0,-2255.0,32.0,5465.0,-2255.0,2983.0,87309.0,69751.0,0.6,1.27,13420.3,2013-12
15420.0,9459.0,4115.0,3452.0,3452.0,13451.735,13704.235,16639.0,75314.0,25719.0,17877.0,1718.0,116526.0,16270.0,24815.0,91711.0,116526.0,3452.0,4391.0,-2345.0,822.0,5201.0,-2345.0,2046.0,91711.0,72217.0,0.61,1.27,13502.3,2014-03
15955.0,9841.0,4258.0,3351.0,3351.0,13502.295,13727.255,19620.0,77905.0,27574.0,19486.0,1982.0,121608.0,17097.0,25859.0,95749.0,121608.0,3270.0,5627.0,-2646.0,-1462.0,5337.0,-2646.0,2981.0,95749.0,75929.0,0.62,1.27,13536.7,2014-06
16523.0,9828.0,3724.0,2739.0,2739.0,13541.935,13764.294,15605.0,80115.0,29292.0,20981.0,2010.0,125781.0,17920.0,26966.0,98815.0,125781.0,2739.0,5994.0,-2417.0,-455.0,5271.0,-2417.0,3577.0,98815.0,78610.0,0.59,1.27,13584.2,2014-09
