revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
6751.0,3512.0,1391.0,915.0,915.0,6556.0,6610.0,7134.0,19076.0,37405.0,17589.0,2813.0,43806.0,6279.0,8405.0,35401.0,43806.0,915.0,1710.0,-954.0,-1053.0,2655.0,-954.0,756.0,35401.0,31073.0,0.52,1.24,6534.0,2003-03
6816.0,3468.0,1276.0,896.0,896.0,6525.0,6580.0,8382.0,20102.0,37926.0,17292.0,2757.0,44465.0,6699.0,8975.0,35490.0,44465.0,896.0,2649.0,-923.0,-1049.0,2551.0,-923.0,1726.0,35490.0,31176.0,0.51,1.25,6510.0,2003-06
7833.0,4558.0,2309.0,1657.0,1657.0,6517.0,6625.0,9406.0,22338.0,38732.0,17220.0,3128.0,47003.0,7269.0,9642.0,37361.0,47003.0,1657.0,3188.0,-1072.0,205.0,3570.0,-1072.0,2116.0,37361.0,33044.0,0.58,1.26,6532.0,2003-09
8741.0,5556.0,2562.0,2173.0,2173.0,6512.0,6669.0,7971.0,22882.0,38692.0,16661.0,3895.0,47143.0,6879.0,9297.0,37846.0,47143.0,2173.0,3968.0,-707.0,-1961.0,3832.0,-707.0,3261.0,37846.0,34141.0,0.64,1.25,6487.0,2003-12
8091.0,4870.0,2476.0,1730.0,1730.0,6480.0,6624.0,7539.0,23091.0,39095.0,16192.0,4100.0,47088.0,6416.0,8978.0,38110.0,47088.0,1730.0,1769.0,-680.0,-1272.0,3709.0,-680.0,1089.0,38110.0,34405.0,0.6,1.24,6468.0,2004-03
8049.0,4780.0,2381.0,1757.0,1757.0,6449.0,6558.0,7153.0,24758.0,39567.0,16007.0,4177.0,48672.0,7538.0,10079.0,38593.0,48672.0,1757.0,4065.0,-1026.0,-1684.0,3606.0,-1026.0,3039.0,38593.0,34863.0,0.59,1.26,6415.0,2004-06
8471.0,4719.0,2373.0,1906.0,1906.0,6375.0,6442.0,6533.0,23990.0,40138.0,15924.0,4152.0,47800.0,7810.0,9605.0,38195.0,47800.0,1906.0,3170.0,-1106.0,-2514.0,3593.0,-1106.0,2064.0,38195.0,34461.0,0.56,1.25,6323.0,2004-09
9598.0,5377.0,2900.0,2123.0,2123.0,6295.0,6353.0,8407.0,24058.0,39833.0,15768.0,4598.0,48143.0,8006.0,9564.0,38579.0,48143.0,2123.0,4115.0,-1031.0,-2181.0,4111.0,-1031.0,3084.0,38579.0,34860.0,0.56,1.25,6253.0,2004-12
9434.0,5598.0,3032.0,2178.0,2178.0,6211.0,6273.0,9279.0,23478.0,40386.0,16321.0,4051.0,47566.0,8573.0,9855.0,37711.0,47566.0,2178.0,3756.0,-1788.0,-2553.0,4288.0,-1788.0,1968.0,37711.0,33995.0,0.59,1.26,6173.0,2005-03
9231.0,5203.0,2649.0,2038.0,2038.0,6144.0,6215.0,8975.0,22190.0,42329.0,16624.0,3894.0,46513.0,7780.0,8899.0,37614.0,46513.0,2038.0,2972.0,-1389.0,-2606.0,3766.0,-1389.0,1583.0,37614.0,33809.0,0.56,1.24,6093.0,2005-06
9960.0,5948.0,3100.0,1995.0,1995.0,6062.0,6144.0,8857.0,21724.0,43128.0,16825.0,4997.0,47360.0,9499.0,10684.0,36676.0,47360.0,1995.0,4366.0,-1282.0,-2695.0,4214.0,-1282.0,3084.0,36676.0,32862.0,0.6,1.29,6028.0,2005-09
10201.0,6300.0,3309.0,2453.0,2453.0,6007.0,6079.0,7324.0,21194.0,44132.0,17111.0,6136.0,48314.0,9234.0,12132.0,36182.0,48314.0,2453.0,3729.0,-1359.0,-1690.0,4417.0,-1359.0,2370.0,36182.0,32309.0,0.62,1.34,5919.0,2005-12
8940.0,4943.0,1718.0,1357.0,1357.0,5854.0,5954.0,3948.0,18027.0,45404.0,17618.0,7676.0,47194.0,9843.0,12836.0,34358.0,47194.0,1357.0,2096.0,-1758.0,-3175.0,2932.0,-1758.0,338.0,34358.0,30485.0,0.55,1.37,5808.0,2006-03
8009.0,4171.0,1072.0,885.0,885.0,5801.0,5868.0,3436.0,16755.0,46463.0,18098.0,7364.0,46088.0,8422.0,11292.0,34796.0,46088.0,885.0,1542.0,-1766.0,-1628.0,2287.0,-1766.0,-224.0,34796.0,30925.0,0.52,1.32,5767.0,2006-06
8739.0,4294.0,1472.0,1301.0,1301.0,5769.0,5832.0,4469.0,17604.0,46975.0,18038.0,7352.0,46855.0,9057.0,11838.0,35017.0,46855.0,1301.0,2811.0,-1188.0,-1178.0,2728.0,-1188.0,1623.0,35017.0,31156.0,0.49,1.34,5758.0,2006-09
9694.0,4810.0,1945.0,1501.0,1501.0,5764.0,5865.0,6598.0,18280.0,47084.0,17602.0,8625.0,48368.0,8514.0,11616.0,36752.0,48368.0,1501.0,4171.0,-1067.0,-458.0,3172.0,-1067.0,3104.0,36752.0,32891.0,0.5,1.32,5767.0,2006-12
8852.0,4432.0,1750.0,1636.0,1636.0,5777.0,5874.0,4472.0,17694.0,47910.0,17617.0,9584.0,48756.0,6626.0,11230.0,37526.0,48756.0,1636.0,1552.0,-1361.0,-462.0,3001.0,-1361.0,191.0,37526.0,33665.0,0.5,1.3,5810.0,2007-03
8680.0,4075.0,1432.0,1278.0,1278.0,5809.0,5917.0,4709.0,19648.0,46805.0,17143.0,9642.0,50294.0,6464.0,10596.0,39698.0,50294.0,1278.0,2417.0,-1278.0,200.0,2645.0,-1278.0,1139.0,39698.0,35837.0,0.47,1.27,5840.0,2007-06
10090.0,5171.0,2269.0,1791.0,1791.0,5837.0,5967.0,5844.0,21426.0,46967.0,16985.0,10711.0,53039.0,7763.0,12137.0,40902.0,53039.0,1791.0,3922.0,-1088.0,-619.0,3432.0,-1088.0,2834.0,40902.0,36985.0,0.51,1.3,5837.0,2007-09
