revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
9821.0,7099.0,2910.0,2070.0,2070.0,2968.4,3018.5,3061.0,20471.0,14899.0,8799.0,3299.0,41994.0,11457.0,17958.0,24036.0,41994.0,2070.0,2036.0,-405.0,-1009.0,3356.0,-405.0,1631.0,24036.0,14611.0,0.72,1.75,2968.89,2003-03
10332.0,7366.0,2888.0,1210.0,1210.0,2967.7,3015.9,2968.0,21375.0,15565.0,9064.0,3504.0,45653.0,12836.0,21216.0,24437.0,45653.0,1211.0,1657.0,-176.0,1012.0,3310.0,-176.0,1481.0,24437.0,12727.0,0.71,1.87,2968.89,2003-06
10455.0,7475.0,2870.0,2072.0,2072.0,2968.0,3008.3,3850.0,22146.0,16054.0,9245.0,3589.0,46659.0,12782.0,20921.0,25738.0,46659.0,2071.0,3350.0,-557.0,-1820.0,3349.0,-557.0,2793.0,25738.0,14059.0,0.71,1.81,2967.98,2003-09
11254.0,7746.0,2203.0,1845.0,1845.0,2968.0,3535.179,5377.0,22995.0,17052.0,9846.0,3883.0,48263.0,13448.0,21394.0,26869.0,48263.0,1845.0,3552.0,-789.0,-2046.0,2725.0,-789.0,2763.0,26869.0,15330.0,0.69,1.8,2967.97,2003-12
11559.0,8192.0,3457.0,2493.0,2493.0,2967.8,3004.6,5637.0,24364.0,17104.0,9669.0,3393.0,48868.0,12449.0,20374.0,28494.0,48868.0,2493.0,2655.0,-243.0,-1503.0,3959.0,-243.0,2412.0,28494.0,17052.0,0.71,1.72,2967.56,2004-03
11484.0,8322.0,3429.0,2458.0,2458.0,2968.2,3005.3,5681.0,24657.0,17257.0,9557.0,4152.0,50171.0,12062.0,20119.0,30052.0,50171.0,2458.0,2126.0,-238.0,-1069.0,3954.0,-238.0,1888.0,30052.0,18247.0,0.72,1.67,2967.77,2004-06
11553.0,8366.0,3314.0,2341.0,2341.0,2968.1,3009.0,7348.0,26816.0,17632.0,9595.0,3950.0,52089.0,12329.0,20576.0,31513.0,52089.0,2341.0,3889.0,-426.0,-1169.0,3793.0,-426.0,3463.0,31513.0,19785.0,0.72,1.65,2968.42,2004-09
12752.0,8994.0,2157.0,888.0,888.0,2968.1,2968.1,9203.0,27320.0,18664.0,10436.0,3719.0,53317.0,13927.0,21504.0,31813.0,53317.0,888.0,2419.0,-1304.0,-1365.0,2775.0,-1304.0,1115.0,31813.0,19971.0,0.71,1.68,2971.02,2004-12
12832.0,9336.0,3825.0,2839.0,2839.0,2972.1,3023.7,8539.0,28766.0,18666.0,10237.0,3625.0,54446.0,12981.0,20792.0,33654.0,54446.0,2839.0,2635.0,-320.0,-1200.0,4340.0,-320.0,2315.0,33654.0,21836.0,0.73,1.62,2972.39,2005-03
12762.0,9240.0,3437.0,2588.0,2588.0,2973.7,3024.7,12156.0,28720.0,18672.0,10091.0,3547.0,54553.0,11640.0,19384.0,35169.0,54553.0,2588.0,2014.0,-477.0,-1141.0,3985.0,-477.0,1537.0,35169.0,22974.0,0.72,1.55,2974.2,2005-06
12310.0,8956.0,3256.0,2538.0,2538.0,2974.6,3006.2,14825.0,30576.0,19086.0,10227.0,3685.0,56574.0,12047.0,19727.0,36847.0,56574.0,2538.0,3987.0,-836.0,-1298.0,3779.0,-836.0,3151.0,36847.0,24761.0,0.73,1.54,2975.01,2005-09
12610.0,8972.0,2313.0,2095.0,2095.0,2984.825,2986.74,16055.0,31480.0,19716.0,10830.0,4379.0,58864.0,12635.0,20154.0,38710.0,58864.0,2095.0,3163.0,-1186.0,-804.0,2820.0,-1186.0,1977.0,38710.0,26535.0,0.71,1.52,2974.48,2005-12
12992.0,9380.0,3753.0,3305.0,3305.0,2974.5,2992.7,16822.0,33752.0,20151.0,10951.0,4532.0,62133.0,13192.0,21010.0,41123.0,62133.0,3305.0,3474.0,-445.0,-1164.0,4274.0,-445.0,3029.0,41123.0,28225.0,0.72,1.51,2972.49,2006-03
13363.0,9575.0,3396.0,2820.0,2820.0,2954.0,2974.4,14647.0,31514.0,20965.0,11287.0,4915.0,60990.0,12189.0,20248.0,40742.0,60990.0,2820.0,2356.0,-588.0,-3794.0,3942.0,-588.0,1768.0,40742.0,27468.0,0.72,1.5,2933.99,2006-06
13287.0,9637.0,3627.0,2760.0,2760.0,2920.0,2948.1,14491.0,31286.0,21490.0,11462.0,5159.0,61238.0,12063.0,20665.0,40573.0,61238.0,2760.0,4135.0,-696.0,-3454.0,4166.0,-696.0,3439.0,40573.0,27242.0,0.73,1.51,2904.32,2006-09
13682.0,9675.0,2933.0,2168.0,2168.0,2912.411,2939.183,4083.0,22975.0,24028.0,13044.0,5849.0,70556.0,19161.0,31238.0,39318.0,70556.0,2168.0,4283.0,-498.0,2303.0,3504.0,-498.0,3785.0,39318.0,10630.0,0.71,1.79,2893.23,2006-12
15037.0,10652.0,4198.0,2573.0,2573.0,2894.2,2924.3,5175.0,24673.0,24239.0,13180.0,5982.0,73066.0,19663.0,32138.0,40928.0,73066.0,2573.0,3837.0,-272.0,-1085.0,4820.0,-272.0,3565.0,40928.0,11697.0,0.71,1.79,2894.02,2007-03
15131.0,10773.0,3878.0,3081.0,3081.0,2895.1,2922.5,5571.0,25804.0,24930.0,13385.0,6328.0,74683.0,18983.0,31561.0,43122.0,74683.0,3081.0,2897.0,-608.0,-1535.0,4561.0,-608.0,2289.0,43122.0,13956.0,0.71,1.73,2893.82,2007-06
14970.0,10696.0,3963.0,2548.0,2548.0,2887.7,2912.9,6640.0,28941.0,25699.0,13613.0,6603.0,78665.0,19328.0,35092.0,43573.0,78665.0,2548.0,4191.0,-711.0,-1230.0,4560.0,-711.0,3480.0,43573.0,14065.0,0.71,1.81,2861.75,2007-09
15957.0,11223.0,3174.0,2374.0,2374.0,2855.6,2884.9,7770.0,29945.0,26466.0,14185.0,8059.0,80954.0,19837.0,37635.0,43319.0,80954.0,2374.0,4097.0,-1137.0,-1848.0,4049.0,-1137.0,2960.0,43319.0,14556.0,0.7,1.87,2840.22,2007-12
16194.0,11580.0,4745.0,3598.0,3598.0,2832.3,2866.3,10539.0,33818.0,27415.0,14486.0,8258.0,85995.0,22071.0,40370.0,45625.0,85995.0,3598.0,3236.0,-479.0,-1110.0,5411.0,-479.0,2757.0,45625.0,16192.0,0.72,1.88,2817.53,2008-03
16450.0,11699.0,4256.0,3327.0,3327.0,2809.8,2844.8,12646.0,35817.0,27989.0,14627.0,8468.0,88113.0,21780.0,41678.0,46435.0,88113.0,3327.0,2842.0,-687.0,-188.0,4939.0,-687.0,2155.0,46435.0,17234.0,0.71,1.9,2796.42,2008-06
15921.0,11147.0,4091.0,3310.0,3310.0,2790.9,2831.3,14018.0,36590.0,27601.0,14355.0,8208.0,87724.0,22730.0,41990.0,45734.0,87724.0,3310.0,4893.0,-772.0,-1696.0,4859.0,-772.0,4121.0,45734.0,17163.0,0.7,1.92,2774.57,2008-09
15182.0,10810.0,3077.0,2714.0,2714.0,2774.3,2799.0,10768.0,34377.0,27392.0,14365.0,8475.0,84912.0,20852.0,42401.0,42511.0,84912.0,2714.0,4001.0,-1128.0,-4470.0,3792.0,-1128.0,2873.0,42511.0,14816.0,0.71,2.0,2765.8,2008-12
15026.0,10775.0,4649.0,3507.0,3507.0,2765.9,2789.8,12589.0,34839.0,27521.0,14253.0,8068.0,86100.0,21325.0,42309.0,43791.0,86100.0,3507.0,2827.0,-435.0,132.0,5325.0,-435.0,2392.0,43791.0,14868.0,0.72,1.97,2755.57,2009-03
15239.0,10789.0,4354.0,3208.0,3208.0,2756.2,2782.0,11686.0,35494.0,28411.0,14502.0,8552.0,87438.0,19886.0,41191.0,46247.0,87438.0,3208.0,3363.0,-567.0,-2060.0,5033.0,-567.0,2796.0,46247.0,17375.0,0.71,1.89,2754.34,2009-06
15081.0,10647.0,4263.0,3345.0,3345.0,2756.3,2793.0,11856.0,35602.0,29452.0,14815.0,9469.0,91558.0,19245.0,41174.0,50384.0,91558.0,3345.0,5094.0,-519.0,-3242.0,4938.0,-519.0,4575.0,50384.0,18731.0,0.71,1.82,2758.02,2009-09
16551.0,11239.0,3397.0,2206.0,2206.0,2758.0,2792.7,15810.0,39541.0,29251.0,14759.0,9197.0,94682.0,21731.0,44094.0,50588.0,94682.0,2206.0,5287.0,-844.0,1078.0,4141.0,-844.0,4443.0,50588.0,19403.0,0.68,1.87,2754.32,2009-12
15631.0,11103.0,4767.0,4526.0,4526.0,2755.4,2797.3,13743.0,38861.0,28963.0,14277.0,8527.0,93441.0,18499.0,40527.0,52914.0,93441.0,4526.0,3690.0,-295.0,-3822.0,5501.0,-295.0,3395.0,52914.0,21138.0,0.71,1.77,2757.83,2010-03
15330.0,10700.0,4296.0,3449.0,3449.0,2756.6,2796.0,12713.0,39023.0,28499.0,13881.0,8309.0,92300.0,17164.0,39449.0,52851.0,92300.0,3449.0,3837.0,-493.0,-2065.0,5007.0,-493.0,3344.0,52851.0,21764.0,0.7,1.75,2754.14,2010-06
14982.0,10388.0,4022.0,3417.0,3417.0,2751.6,2786.4,14338.0,42717.0,29927.0,14360.0,8727.0,98247.0,17414.0,40956.0,57291.0,98247.0,3417.0,5034.0,-528.0,-1699.0,4747.0,-528.0,4506.0,57291.0,24848.0,0.69,1.71,2747.71,2010-09
15644.0,10604.0,3442.0,1942.0,1942.0,2743.0,2779.2,19355.0,47307.0,30426.0,14553.0,9038.0,102908.0,23072.0,46329.0,56579.0,102908.0,1942.0,3824.0,-959.0,2606.0,4211.0,-959.0,2865.0,56579.0,24569.0,0.68,1.82,2738.1,2010-12
16173.0,11395.0,4601.0,3476.0,3476.0,2738.4,2772.7,22356.0,49221.0,31805.0,15084.0,9032.0,108150.0,24011.0,48287.0,59863.0,108150.0,3476.0,2316.0,-315.0,-825.0,5356.0,-315.0,2001.0,59863.0,25050.0,0.7,1.81,2738.45,2011-03
16597.0,11425.0,4328.0,2776.0,2776.0,2740.5,2781.3,14974.0,52673.0,32435.0,14974.0,9846.0,112114.0,20985.0,49982.0,62132.0,112114.0,2776.0,3909.0,-596.0,-639.0,5105.0,-596.0,3313.0,62132.0,27511.0,0.69,1.8,2740.58,2011-06
16005.0,10933.0,3920.0,3202.0,3202.0,2737.0,2778.2,15617.0,53443.0,31736.0,14635.0,9469.0,111821.0,21686.0,50294.0,61527.0,111821.0,3202.0,4622.0,-711.0,-2232.0,4703.0,-711.0,3911.0,61527.0,27253.0,0.68,1.82,2732.25,2011-09
16255.0,10917.0,3304.0,218.0,218.0,2728.5,2768.4,24542.0,54316.0,31829.0,14739.0,10313.0,113644.0,22811.0,56564.0,57080.0,113644.0,218.0,3451.0,-1128.0,-756.0,4147.0,-1128.0,2323.0,57080.0,22804.0,0.67,1.99,2724.36,2011-12
16139.0,11224.0,4564.0,3910.0,3910.0,2736.9,2774.9,30267.0,57007.0,32550.0,14824.0,9867.0,116194.0,21198.0,54828.0,61366.0,116194.0,3910.0,2795.0,-502.0,-1183.0,5337.0,-502.0,2293.0,61366.0,26870.0,0.7,1.89,2745.72,2012-03
16475.0,11332.0,4601.0,1408.0,1408.0,2747.4,2798.2,14042.0,41615.0,33297.0,15622.0,7902.0,115750.0,23848.0,55316.0,60434.0,115750.0,1408.0,4245.0,-598.0,-16255.0,5453.0,-598.0,3647.0,60434.0,9823.0,0.69,1.92,2750.56,2012-06
17052.0,11455.0,4304.0,2968.0,2968.0,2757.4,2818.1,15486.0,44791.0,34082.0,15845.0,7748.0,118951.0,23935.0,55190.0,63761.0,118951.0,2629.0,4980.0,-682.0,-1653.0,5309.0,-682.0,4298.0,63761.0,13194.0,0.67,1.87,2762.56,2012-09
17558.0,11555.0,3563.0,2567.0,2567.0,2771.9,2835.4,14911.0,46116.0,34654.0,16097.0,7958.0,121347.0,24262.0,56521.0,64826.0,121347.0,2567.0,3376.0,-1152.0,-1471.0,4599.0,-1152.0,2224.0,64826.0,13650.0,0.66,1.87,2778.49,2012-12
17505.0,11951.0,4944.0,3497.0,3497.0,2790.2,2858.8,14855.0,47228.0,34695.0,15721.0,8229.0,121536.0,22524.0,54681.0,66855.0,121536.0,3497.0,2277.0,-586.0,-777.0,5980.0,-586.0,1691.0,66855.0,16497.0,0.68,1.82,2803.16,2013-03
17877.0,12388.0,5066.0,3833.0,3833.0,2809.7,2893.0,17307.0,51273.0,35401.0,15794.0,7217.0,124325.0,23767.0,54660.0,69665.0,124325.0,3833.0,5051.0,-771.0,-1977.0,6056.0,-771.0,4280.0,69665.0,19624.0,0.69,1.78,2814.19,2013-06
17575.0,12231.0,4875.0,2982.0,2982.0,2818.4,2881.2,17204.0,52176.0,36432.0,16127.0,7311.0,126933.0,25835.0,57129.0,69804.0,126933.0,2982.0,5947.0,-809.0,-4519.0,5851.0,-809.0,5138.0,69804.0,18485.0,0.7,1.82,2820.66,2013-09
18355.0,12400.0,4072.0,3519.0,3519.0,2820.0,2871.0,20927.0,56407.0,37133.0,16710.0,8821.0,132683.0,25675.0,58630.0,74053.0,132683.0,3519.0,4139.0,-1429.0,1182.0,5174.0,-1429.0,2710.0,74053.0,23308.0,0.68,1.79,2820.63,2013-12
18115.0,12660.0,5646.0,4727.0,4727.0,2826.8,2874.7,19722.0,57369.0,36248.0,15996.0,10144.0,133330.0,23840.0,56748.0,76582.0,133330.0,4727.0,3923.0,-630.0,-3057.0,6659.0,-630.0,3293.0,76582.0,26761.0,0.7,1.74,2827.64,2014-03
