revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
1184.0,817.0,-743.0,-157.0,-157.0,1879.0,1879.0,2098.0,11967.0,2734.0,2105.0,47.0,14928.0,1034.0,1619.0,13309.0,14928.0,-157.0,240.0,-413.0,-604.0,-413.0,-173.0,13309.0,12500.0,0.69,1.12,2142.0,2012-06
1262.0,940.0,377.0,-59.0,-59.0,2420.0,2420.0,2478.0,12285.0,3023.0,2289.0,41.0,16038.0,1080.0,1864.0,14174.0,16038.0,-59.0,250.0,-171.0,553.0,-171.0,79.0,14174.0,12751.0,0.74,1.13,2166.0,2012-09
1585.0,1188.0,523.0,64.0,64.0,2372.0,3012.0,2384.0,11267.0,3273.0,2391.0,57.0,15103.0,1052.0,3348.0,11755.0,15103.0,64.0,681.0,-198.0,747.0,-198.0,483.0,11755.0,10367.0,0.75,1.28,2372.0,2012-12
1458.0,1045.0,373.0,219.0,219.0,2386.0,2499.0,2325.0,11042.0,3535.0,2533.0,87.0,15163.0,1063.0,3339.0,11824.0,15163.0,219.0,719.0,-327.0,606.0,-327.0,392.0,11824.0,10323.0,0.72,1.28,2411.0,2013-03
1813.0,1348.0,562.0,333.0,333.0,2407.0,2502.0,3001.0,11421.0,3591.0,2577.0,95.0,15724.0,1080.0,3375.0,12349.0,15724.0,333.0,1322.0,-268.0,792.0,-268.0,1054.0,12349.0,10718.0,0.74,1.27,2431.0,2013-06
2016.0,1509.0,736.0,425.0,425.0,2430.0,2528.0,3100.0,10549.0,3821.0,2685.0,90.0,14933.0,984.0,1885.0,13048.0,14933.0,425.0,950.0,-284.0,1010.0,-284.0,666.0,13048.0,11439.0,0.75,1.14,2453.0,2013-09
2586.0,2095.0,1132.0,523.0,523.0,2456.0,2556.0,3323.0,13070.0,4142.0,2882.0,221.0,17895.0,1100.0,2425.0,15470.0,17895.0,523.0,1231.0,-483.0,1406.0,-483.0,748.0,15470.0,13748.0,0.81,1.16,2547.0,2013-12
2502.0,2040.0,1075.0,642.0,642.0,2545.0,2609.0,2998.0,14060.0,4370.0,3074.0,212.0,19028.0,1037.0,2291.0,16737.0,19028.0,642.0,1285.0,-363.0,1339.0,-363.0,922.0,16737.0,15055.0,0.82,1.14,2564.0,2014-03
2910.0,2437.0,1390.0,791.0,791.0,2560.0,2615.0,4384.0,15557.0,4794.0,3334.0,206.0,20769.0,1214.0,2423.0,18346.0,20769.0,791.0,1341.0,-469.0,1647.0,-469.0,872.0,18346.0,16674.0,0.84,1.13,2575.0,2014-06
3203.0,2638.0,1397.0,806.0,806.0,2587.0,2644.0,8999.0,16115.0,5319.0,3703.0,441.0,24188.0,1234.0,2950.0,21238.0,24188.0,806.0,1248.0,-482.0,1686.0,-482.0,766.0,21238.0,17309.0,0.82,1.14,2608.0,2014-09
3851.0,3199.0,1133.0,701.0,701.0,2761.0,2808.0,4315.0,13390.0,5784.0,3967.0,699.0,39966.0,1424.0,3870.0,36096.0,39966.0,701.0,3452.0,-517.0,1566.0,-517.0,2935.0,36096.0,14186.0,0.83,1.11,2778.0,2014-12
3543.0,2889.0,933.0,512.0,512.0,2784.0,2836.0,3419.0,15004.0,6574.0,4619.0,605.0,42007.0,1746.0,4506.0,37501.0,42007.0,512.0,1700.0,-502.0,1390.0,-502.0,1198.0,37501.0,15722.0,0.82,1.12,2806.0,2015-03
4042.0,3374.0,1273.0,719.0,719.0,2796.0,2850.0,5123.0,16951.0,6916.0,4955.0,594.0,44130.0,1881.0,4678.0,39452.0,44130.0,719.0,1880.0,-549.0,1732.0,-549.0,1331.0,39452.0,17822.0,0.83,1.12,2800.0,2015-06
4501.0,3781.0,1459.0,896.0,896.0,2808.0,2863.0,4308.0,19139.0,7370.0,5335.0,534.0,46469.0,1792.0,5049.0,41420.0,46469.0,896.0,2192.0,-780.0,1945.0,-780.0,1412.0,41420.0,19959.0,0.84,1.12,2814.0,2015-09
5841.0,5017.0,2560.0,1561.0,1561.0,2824.0,2868.0,4907.0,21652.0,7819.0,5687.0,796.0,49407.0,1925.0,5189.0,44218.0,49407.0,1561.0,4548.0,-692.0,3103.0,-692.0,3856.0,44218.0,22946.0,0.86,1.12,2834.0,2015-12
5382.0,4544.0,2010.0,1738.0,1738.0,2843.0,2905.0,6456.0,23812.0,8813.0,6467.0,700.0,52075.0,1809.0,4925.0,47150.0,52075.0,1738.0,3477.0,-1132.0,2562.0,-1132.0,2345.0,47150.0,26054.0,0.84,1.1,2850.0,2016-03
6436.0,5519.0,2734.0,2283.0,2283.0,2856.0,2921.0,5108.0,27010.0,9756.0,7104.0,703.0,55739.0,2211.0,5356.0,50383.0,55739.0,2283.0,3665.0,-995.0,3319.0,-995.0,2670.0,50383.0,29461.0,0.86,1.11,2862.0,2016-06
7011.0,6024.0,3117.0,2627.0,2627.0,2871.0,2931.0,6038.0,30328.0,10778.0,7899.0,660.0,59674.0,2595.0,5559.0,54115.0,59674.0,2627.0,4036.0,-1095.0,3708.0,-1095.0,2941.0,54115.0,33328.0,0.86,1.1,2877.0,2016-09
8809.0,7762.0,4567.0,3569.0,3569.0,2881.0,2946.0,8903.0,34401.0,11803.0,8591.0,1312.0,64961.0,2875.0,5767.0,59194.0,64961.0,3569.0,4930.0,-1269.0,5181.0,-1269.0,3661.0,59194.0,38537.0,0.88,1.1,2892.0,2016-12
8032.0,6873.0,3327.0,3064.0,3064.0,2891.0,2944.0,7104.0,36930.0,13032.0,9462.0,1836.0,68714.0,2928.0,6526.0,62188.0,68714.0,3064.0,5058.0,-1271.0,3998.0,-1271.0,3787.0,62188.0,41702.0,0.86,1.1,2893.0,2017-03
9321.0,8084.0,4401.0,3894.0,3894.0,2900.0,2951.0,6252.0,40804.0,14668.0,10628.0,2096.0,73843.0,3315.0,7362.0,66481.0,73843.0,3895.0,5360.0,-1444.0,5130.0,-1444.0,3916.0,66481.0,46166.0,0.87,1.11,2900.0,2017-06
10328.0,8880.0,5122.0,4707.0,4707.0,2904.0,2956.0,7201.0,44203.0,16446.0,12158.0,2374.0,78998.0,3305.0,7790.0,71208.0,78998.0,4706.0,6127.0,-1755.0,5894.0,-1755.0,4372.0,71208.0,50945.0,0.86,1.11,2906.0,2017-09
12972.0,11361.0,7352.0,4269.0,4269.0,2910.0,2962.0,8079.0,48563.0,18337.0,13721.0,2135.0,84524.0,3760.0,10177.0,74347.0,84524.0,4269.0,7671.0,-2263.0,8205.0,-2263.0,5408.0,74347.0,54242.0,0.88,1.14,2906.0,2017-12
11966.0,10039.0,5449.0,4988.0,4988.0,2906.0,2945.0,12082.0,50412.0,21292.0,16211.0,2319.0,88945.0,5086.0,11325.0,77620.0,88945.0,4988.0,7860.0,-2812.0,6398.0,-2812.0,5048.0,77620.0,57617.0,0.84,1.15,2902.0,2018-03
13231.0,11017.0,5863.0,5106.0,5106.0,2895.0,2930.0,11552.0,49833.0,23918.0,18357.0,2265.0,90291.0,4670.0,10909.0,79382.0,90291.0,5105.0,6298.0,-3460.0,6897.0,-3460.0,2838.0,79382.0,59546.0,0.83,1.14,2891.0,2018-06
13727.0,11309.0,5781.0,5137.0,5137.0,2885.0,2913.0,9637.0,49147.0,27196.0,21112.0,2438.0,92452.0,5462.0,12110.0,80342.0,92452.0,5137.0,7498.0,-3342.0,6888.0,-3342.0,4156.0,80342.0,60587.0,0.82,1.15,2873.0,2018-09
16914.0,14118.0,7820.0,6882.0,6882.0,2875.0,2891.0,10019.0,50480.0,31573.0,24683.0,2576.0,97334.0,7017.0,13207.0,84127.0,97334.0,6882.0,7618.0,-4301.0,9045.0,-4301.0,3317.0,84127.0,64532.0,0.83,1.16,2854.0,2018-12
15077.0,12261.0,3317.0,2429.0,2429.0,2856.0,2869.0,11076.0,53300.0,41749.0,34092.0,2602.0,109477.0,9908.0,22961.0,86516.0,109477.0,2429.0,9308.0,-3837.0,4672.0,-3837.0,5471.0,86516.0,67033.0,0.81,1.27,2856.0,2019-03
16886.0,13579.0,4626.0,2616.0,2616.0,2855.0,2875.0,13877.0,57961.0,46023.0,37271.0,2446.0,117006.0,12979.0,28244.0,88762.0,117006.0,2616.0,8616.0,-3633.0,6128.0,-3633.0,4983.0,88762.0,69434.0,0.8,1.32,2854.0,2019-06
17652.0,14497.0,7185.0,6091.0,6091.0,2854.0,2874.0,15979.0,62079.0,50333.0,40687.0,2461.0,124418.0,13328.0,30419.0,93999.0,124418.0,6091.0,9307.0,-3532.0,8601.0,-3532.0,5775.0,93999.0,74808.0,0.82,1.32,2854.0,2019-09
21082.0,17591.0,8858.0,7349.0,7349.0,2851.0,2879.0,19079.0,66225.0,55446.0,44783.0,2673.0,133376.0,15053.0,32322.0,101054.0,133376.0,7349.0,9083.0,-4100.0,10326.0,-4100.0,4983.0,101054.0,81445.0,0.83,1.32,2852.0,2019-12
17737.0,14278.0,5893.0,4902.0,4902.0,2851.0,2868.0,23618.0,69349.0,58098.0,46486.0,2887.0,138371.0,15069.0,33067.0,105304.0,138371.0,4902.0,11001.0,-3558.0,7490.0,-3558.0,7443.0,105304.0,85655.0,0.8,1.31,2851.0,2020-03
18687.0,14858.0,5963.0,5178.0,5178.0,2850.0,2879.0,21045.0,68130.0,61517.0,48435.0,3238.0,139691.0,11308.0,29244.0,110447.0,139691.0,5179.0,3877.0,-3255.0,7667.0,-3255.0,622.0,110447.0,90559.0,0.8,1.26,2850.0,2020-06
