revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
32.816,32.816,-153.031,-141.426,-144.099,328.799,328.799,658.364,1563.006,276.433,211.977,14.176,1962.149,222.803,431.908,1530.241,1962.149,-141.426,-91.02,-13.637,-145.681,-13.637,-104.657,1530.241,1530.241,1.0,1.28,328.799,2018-12
14.115,14.115,-141.641,-132.576,-132.576,328.81,328.81,502.934,1140.827,285.195,213.46,14.261,1806.207,159.159,360.174,1446.033,1806.207,-132.576,-144.268,-7.595,-134.325,-7.595,-151.863,1446.033,1446.033,1.0,1.25,328.853,2019-03
10.03,10.03,-143.709,-134.94,-134.94,329.176,329.176,151.624,1097.418,287.736,208.509,14.32,1685.279,161.987,346.725,1338.554,1685.279,-134.94,-108.585,-10.586,-136.232,-10.586,-119.171,1338.554,1338.554,1.0,1.26,329.958,2019-06
13.338,13.338,-130.764,-123.215,-123.215,330.769,330.769,173.711,1094.466,290.089,203.688,12.885,1590.899,147.842,339.092,1251.807,1590.899,-123.215,-107.093,-6.711,-123.511,-6.711,-113.804,1251.807,1251.807,1.0,1.27,332.495,2019-09
10.517,10.517,-129.886,-123.269,-123.269,335.223,335.223,235.876,1128.804,382.493,287.909,12.722,1589.422,143.115,414.612,1174.81,1589.422,-123.269,-99.054,-7.108,-120.932,-7.108,-106.162,1174.81,1174.81,1.0,1.35,336.537,2019-12
4.0,4.0,-131.0,-124.0,-124.0,353.0,353.0,391.72,1249.936,404.387,302.599,12.527,2067.541,134.582,426.667,1640.874,2067.541,-124.0,-106.0,-6.0,-124.0,-6.0,-112.0,1640.837,1640.837,1.0,1.26,370.103,2020-03
29.0,29.0,-122.0,-117.0,-117.0,381.0,381.0,1761.629,2796.744,425.845,321.985,12.360999999999,3486.006,161.647,539.121,2946.885,3486.006,-117.0,-24.0,-19.0,-114.0,-19.0,-43.0,2946.885,2946.885,1.0,1.18,393.277,2020-06
12.0,12.0,-235.0,-233.0,-233.0,395.0,395.0,1505.581,3577.211,480.583,368.593,13.099999999999,4650.873,1473.561,1891.075,2759.798,4650.873,-233.0,893.0,-19.0,-226.0,-19.0,874.0,2759.798,2759.798,1.0,1.69,395.391,2020-09
229.0,221.0,-275.0,-273.0,-273.0,396.0,396.0,2624.0,6298.0,507.0,387.0,13.0,7337.0,4389.0,4776.0,2561.0,7337.0,-273.0,1264.0,-24.0,-268.0,-24.0,1240.0,2561.0,2561.0,0.97,2.86,398.788,2020-12
1743.0,1550.0,1266.0,1221.0,1221.0,400.0,430.0,5442.0,11703.0,596.0,461.0,62.0,12694.0,8441.0,8856.0,3838.0,12694.0,1221.0,2971.0,-35.0,1281.0,-35.0,2936.0,3838.0,3838.0,0.89,3.31,401.0,2021-03
4215.0,3465.0,3062.0,2780.0,2780.0,402.0,431.0,5603.0,10969.0,1102.0,898.0,79.0,16153.0,8840.0,9449.0,6704.0,16153.0,2780.0,4063.0,-30.0,3131.0,-30.0,4033.0,6704.0,6704.0,0.82,2.41,403.0,2021-06
4829.0,4107.0,3558.0,3333.0,3333.0,404.0,434.0,5550.0,13425.0,1234.0,960.0,96.0,20923.0,9957.0,10799.0,10124.0,20923.0,3333.0,3276.0,-99.0,3628.0,-99.0,3177.0,10124.0,10124.0,0.85,2.07,405.0,2021-09
6949.0,5997.0,5410.0,4868.0,4868.0,406.0,431.0,6848.0,16071.0,1735.0,1383.0,372.0,24669.0,9128.0,10524.0,14145.0,24669.0,4868.0,3310.0,-120.0,5488.0,-120.0,3190.0,14145.0,14145.0,0.86,1.74,403.0,2021-12
5940.0,4923.0,4227.0,3657.0,3657.0,402.0,426.0,5048.0,16350.0,1904.0,1473.0,615.0,27609.0,9238.0,10534.0,17075.0,27609.0,3657.0,2763.0,-132.0,4306.0,-132.0,2631.0,17075.0,17075.0,0.83,1.62,400.0,2022-03
4566.0,3185.0,2447.0,2197.0,2197.0,396.0,419.0,2873.0,13563.0,1912.0,1446.0,872.0,26043.0,6812.0,8058.0,17985.0,26043.0,2197.0,304.0,-87.0,2523.0,-87.0,217.0,17985.0,17985.0,0.7,1.45,392.0,2022-06
3220.0,2120.0,1166.0,1043.0,1043.0,390.0,412.0,3027.0,14297.0,2712.0,2132.0,972.0,26056.0,6807.0,8064.0,17992.0,26056.0,1043.0,252.0,-89.0,1279.0,-89.0,163.0,17992.0,17992.0,0.66,1.45,387.0,2022-09
