revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
8215.0,6735.0,3148.0,2614.0,2614.0,10811.0,10885.0,5768.0,60910.0,6048.0,2193.0,17672.0,84281.0,15098.0,17601.0,66680.0,84281.0,2614.0,3424.0,-167.0,-350.0,3476.0,-167.0,3257.0,66680.0,63174.0,0.82,1.26,10805.0,2003-09
10153.0,7809.0,1475.0,1549.0,1549.0,10810.0,10899.0,6149.0,62400.0,6033.0,2178.0,17904.0,85937.0,13927.0,16594.0,69343.0,85937.0,1549.0,4574.0,-172.0,-2270.0,1775.0,-172.0,4402.0,69343.0,65888.0,0.77,1.24,10789.0,2003-12
9175.0,7764.0,1278.0,1315.0,1315.0,10785.0,10856.0,9348.0,65270.0,6113.0,2258.0,18530.0,89767.0,15984.0,19187.0,70580.0,89767.0,1315.0,4970.0,-213.0,-1040.0,1527.0,-213.0,4757.0,70580.0,66871.0,0.85,1.27,10777.0,2004-03
9292.0,7811.0,3133.0,2690.0,2690.0,10824.0,10879.0,14304.0,70566.0,6489.0,2326.0,17792.0,94368.0,14969.0,19543.0,74825.0,94368.0,2690.0,1658.0,-557.0,1296.0,3442.0,-557.0,1101.0,74825.0,71141.0,0.84,1.26,10862.0,2004-06
9189.0,7784.0,3494.0,2528.0,2528.0,10873.0,10920.0,11141.0,72896.0,6480.0,2317.0,15406.0,94268.0,15811.0,18322.0,75946.0,94268.0,2528.0,4007.0,-173.0,-738.0,3677.0,-173.0,3834.0,75946.0,72297.0,0.85,1.24,10865.0,2004-09
10818.0,8896.0,4749.0,3463.0,3463.0,10877.0,10956.0,4556.0,44399.0,6499.0,2336.0,14607.0,64941.0,15045.0,17709.0,47232.0,64941.0,3463.0,3619.0,-176.0,-33672.0,4857.0,-176.0,3443.0,47232.0,43633.0,0.82,1.37,10880.2,2004-12
9620.0,8257.0,3329.0,2563.0,2563.0,10856.0,10931.0,3782.0,46593.0,6484.0,2321.0,13782.0,66275.0,16139.0,18902.0,47373.0,66275.0,2563.0,5003.0,-203.0,-2958.0,3611.0,-203.0,4800.0,47373.0,43794.0,0.86,1.4,10804.4,2005-03
10161.0,8773.0,2989.0,3700.0,3700.0,10749.0,10822.0,4851.0,48737.0,6375.0,2346.0,15924.0,70815.0,16877.0,22700.0,48115.0,70815.0,3700.0,3976.0,-260.0,-3710.0,3271.0,-260.0,3716.0,48115.0,44307.0,0.86,1.47,10710.0,2005-06
9741.0,8488.0,4046.0,3141.0,3141.0,10696.0,10772.0,2974.0,49831.0,6380.0,2351.0,15274.0,71462.0,17022.0,23135.0,48327.0,71462.0,3141.0,4329.0,-213.0,-2941.0,4280.0,-213.0,4116.0,48327.0,44321.0,0.87,1.48,10644.7,2005-09
11837.0,9598.0,4657.0,3653.0,3653.0,10560.0,10638.0,4083.0,46694.0,6481.0,2452.0,14092.0,67257.0,16747.0,23049.0,44208.0,67257.0,3653.0,2231.0,-318.0,-7802.0,4888.0,-318.0,1913.0,44208.0,40189.0,0.81,1.52,10384.0,2005-12
10900.0,8872.0,3888.0,2977.0,2977.0,10303.0,10415.0,4351.0,46628.0,6572.0,2543.0,13613.0,66854.0,18367.0,24816.0,42038.0,66854.0,2977.0,4563.0,-302.0,-5135.0,4065.0,-302.0,4261.0,42038.0,37968.0,0.81,1.59,10225.0,2006-03
11804.0,9674.0,3881.0,2828.0,2828.0,10189.0,10243.0,6714.0,49010.0,7223.0,3044.0,13138.0,69597.0,22442.0,29493.0,40104.0,69597.0,2828.0,3281.0,-745.0,-4684.0,4142.0,-745.0,2536.0,40104.0,35699.0,0.82,1.74,10062.0,2006-06
10811.0,9115.0,4474.0,3478.0,3478.0,9929.0,10010.0,9076.0,45358.0,7372.0,3193.0,11930.0,65354.0,21972.0,29253.0,36101.0,65354.0,3478.0,4061.0,-411.0,-8175.0,4723.0,-411.0,3650.0,36101.0,31228.0,0.84,1.81,9820.0,2006-09
12542.0,8922.0,3472.0,2626.0,2626.0,9806.0,9942.0,6859.0,45180.0,7865.0,3686.0,12571.0,66371.0,22215.0,29737.0,36634.0,66371.0,2626.0,2042.0,-572.0,-2323.0,3837.0,-572.0,1470.0,36634.0,31700.0,0.71,1.81,9777.0,2006-12
14398.0,12258.0,6589.0,4926.0,4926.0,9725.0,9862.0,7611.0,42783.0,8102.0,3923.0,12269.0,63891.0,21627.0,28918.0,34973.0,63891.0,4926.0,7291.0,-461.0,-7063.0,7034.0,-461.0,6830.0,34973.0,30057.0,0.85,1.83,9566.81,2007-03
13371.0,10134.0,3903.0,3035.0,3035.0,9505.0,9679.0,6111.0,40168.0,9366.0,4350.0,2898.0,63171.0,23754.0,32074.0,31097.0,63171.0,3035.0,4402.0,-820.0,-6983.0,4284.0,-820.0,3582.0,31097.0,25459.0,0.76,2.03,9375.49,2007-06
13762.0,11087.0,5918.0,4289.0,4289.0,9380.0,9513.0,6637.0,35853.0,9631.0,4615.0,13308.0,65645.0,22744.0,33510.0,32135.0,65645.0,4289.0,5878.0,-510.0,-3153.0,6353.0,-510.0,5368.0,32135.0,20266.0,0.81,2.04,9355.44,2007-09
16367.0,12824.0,6481.0,4707.0,4707.0,9361.0,9503.0,7460.0,37775.0,9981.0,4965.0,12573.0,67339.0,22058.0,32908.0,34431.0,67339.0,4707.0,4567.0,-695.0,-2723.0,6962.0,-695.0,3872.0,34431.0,22405.0,0.78,1.96,9329.0,2007-12
14454.0,11940.0,4409.0,4388.0,4388.0,9307.0,9428.0,11820.0,41489.0,10532.0,5516.0,11757.0,70747.0,27028.0,33193.0,37554.0,70747.0,4388.0,7082.0,-759.0,-1986.0,4941.0,-759.0,6323.0,37554.0,25569.0,0.83,1.88,9313.29,2008-03
