revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
55.669,25.662,-4.911,-4.521,-4.521,318.318,318.318,66.028,113.194,85.935,14.588,2.562,135.629,43.91,44.565,91.064,135.629,-4.521,12.827,-6.582,1.142,3.851,-6.582,6.245,91.064,85.779,0.46,1.49,321.685,2003-03
63.187,27.946,2.848,3.313,3.313,331.072,431.368,71.229,119.585,104.2,23.461,2.542,150.065,51.532,52.059,98.006,150.065,5.459,23.62,-19.311,1.235,14.188,-19.311,4.309,98.006,93.529,0.44,1.53,335.422,2003-06
72.202,33.554,2.856,3.303,3.303,337.204,440.44,79.17,127.602,118.089,25.027,2.531,158.864,53.555,54.003,104.861,158.864,3.303,21.986,-14.139,0.437,17.07,-14.139,7.847,104.861,101.157,0.46,1.51,339.186,2003-09
81.185,36.721,1.533,2.271,2.271,355.946,355.946,89.894,138.946,29.325,9.772,24.346,176.012,63.019,63.304,112.708,176.012,2.271,31.359,-22.627,2.151,18.208,-22.627,8.732,112.708,109.76,0.45,1.56,355.946,2003-12
100.37,43.743,-6.35,-5.79,-5.79,358.974,358.974,100.188,148.958,29.881,10.328,29.625,191.233,77.5,77.708,113.525,191.233,-5.79,33.8,-1.261,1.708,13.655,-1.261,32.539,113.525,111.203,0.44,1.68,360.823,2004-03
120.321,50.533,2.617,2.891,2.891,363.286,454.825,153.444,158.721,30.606,11.053,32.551,204.193,81.908,82.287,121.906,204.193,2.891,31.966,-1.437,2.187,25.535,-1.437,30.529,121.906,120.038,0.42,1.68,364.849,2004-06
141.644,70.043,18.398,18.925,18.925,365.477,451.143,167.814,176.569,33.202,13.649,44.004,235.637,90.33,90.817,144.82,235.637,18.925,49.268,-2.935,0.273,40.87,-2.935,46.333,144.82,143.405,0.49,1.63,366.124,2004-09
138.276,4.58,4.689,5.569,5.569,367.906,451.227,174.461,187.346,42.205,18.728,44.758,251.793,94.91,95.51,156.283,251.793,5.569,30.235,-104.557,1.607,27.498,-104.557,-74.322,156.283,155.322,0.03,1.61,369.124,2004-12
152.446,41.325,-9.783,-8.814,-8.814,369.712,369.712,165.822,174.036,47.112,23.635,55.404,253.582,100.776,101.469,152.113,253.582,-8.814,29.443,-5.151,0.286,14.615,-5.151,24.292,152.113,151.606,0.27,1.67,370.752,2005-03
164.027,46.178,4.454,5.684,5.684,372.33,452.144,170.972,182.405,50.887,27.41,58.786,268.728,103.41,104.195,164.533,268.728,5.684,36.494,-67.719,3.313,32.542,-67.719,-31.225,164.533,164.406,0.28,1.63,373.984,2005-06
172.74,57.091,5.52,6.946,6.946,375.851,462.084,181.886,191.918,53.892,30.415,55.5,278.302,98.755,99.63,178.672,278.302,6.946,32.503,-25.479,3.9,32.56,-25.479,7.024,178.672,178.203,0.33,1.56,377.734,2005-09
193.0,71.844,2.798,38.211,38.211,380.807,471.016,212.256,243.691,72.623,40.213,23.288,364.681,137.587,138.429,226.252,364.681,38.211,59.067,-35.45,5.815,30.274,-35.45,23.617,226.252,168.763,0.37,1.61,383.29,2005-12
