revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
3024.9,1301.5,431.9,261.2,261.2,2110.707,2132.245,997.8,5048.2,2957.0,1563.9,222.9,7018.6,2034.7,2801.5,4217.1,7018.6,261.2,350.0,-40.4,503.7,-40.4,309.6,4217.1,4033.5,0.43,1.66,2099.35,2003-08
2837.1,1199.6,297.1,179.1,179.1,2107.059,2170.909,968.9,5020.8,3082.1,1606.0,248.9,7376.5,1996.0,3009.2,4367.3,7376.5,179.1,419.1,-44.4,383.7,-44.4,374.7,4367.3,3866.5,0.42,1.69,2104.99,2003-11
2904.0,1221.9,329.9,200.3,200.3,2108.421,2165.405,914.7,5199.6,3162.8,1611.4,292.6,7604.3,1944.6,3041.1,4563.2,7604.3,200.3,206.3,-55.4,410.3,-55.4,150.9,4563.2,4062.5,0.42,1.67,2111.94,2004-02
3487.1,1528.7,490.8,305.0,305.0,2101.833,2161.023,828.0,5528.6,3183.4,1611.8,266.6,7908.7,2030.5,3127.0,4781.7,7908.7,305.0,543.1,-63.0,565.5,-63.0,480.1,4781.7,4280.0,0.44,1.65,2104.8,2004-05
3561.8,1585.8,512.2,326.8,326.8,2108.387,2160.661,932.1,5621.1,3177.0,1578.8,307.9,8052.9,1907.9,3030.8,5022.1,8052.9,326.8,368.4,-52.4,573.8,-52.4,316.0,5022.1,4477.0,0.45,1.6,2099.82,2004-08
3148.3,1388.1,414.9,261.9,261.9,2116.364,2160.0,1181.8,6050.7,3294.5,1623.5,340.9,8558.3,2003.2,3216.0,5342.3,8558.3,261.9,387.1,-66.1,490.7,-66.1,321.0,5342.3,4799.1,0.44,1.6,2112.51,2004-11
3308.2,1458.8,423.1,273.4,273.4,2103.077,2165.545,1222.5,6198.7,3305.5,1625.5,289.3,8652.1,2066.0,3225.0,5427.1,8652.1,273.4,325.6,-55.7,505.1,-55.7,269.9,5427.1,4888.5,0.44,1.59,2100.23,2005-02
3721.4,1682.7,543.5,349.5,349.5,2102.19,2147.871,1388.1,6351.1,3179.2,1605.8,295.2,8793.6,1999.2,3149.4,5644.2,8793.6,349.5,489.6,-75.7,611.8,-75.7,413.9,5644.2,5102.7,0.45,1.56,2088.8,2005-05
3862.0,1748.1,643.7,432.3,432.3,2083.373,2148.075,1588.9,6666.3,3186.5,1581.2,328.1,9115.7,2233.5,3151.9,5963.8,9115.7,432.3,261.7,-58.1,713.3,-58.1,203.6,5963.8,5423.7,0.45,1.53,2083.26,2005-08
3474.7,1511.4,456.7,301.1,301.1,2076.552,2112.982,1134.5,6696.5,3216.6,1585.8,322.5,9144.1,2161.1,3062.6,6081.5,9144.1,301.1,476.5,-106.0,530.2,-106.0,370.5,6081.5,5542.2,0.43,1.5,2074.14,2005-11
