revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
8525.0,7460.0,3494.0,4665.0,4665.0,6101.4,6161.7,2068.0,31103.0,16835.0,11038.0,9557.0,52928.0,18754.0,28085.0,24843.0,52928.0,4665.0,2337.0,796.0,3763.0,796.0,3133.0,24843.0,23613.0,0.88,2.13,7894.47,2003-03
9900.0,7920.0,1866.0,-3591.0,-3593.0,7453.4,7453.4,2190.0,34744.0,24522.0,18279.0,11698.0,124258.0,22157.0,53976.0,70282.0,124258.0,-3592.0,2133.0,3587.0,2802.0,3587.0,5720.0,70043.0,10506.0,0.8,1.77,7786.22,2003-06
12348.0,9063.0,2587.0,2235.0,2234.0,7710.7,7791.2,1610.0,33067.0,24338.0,17961.0,11879.0,120058.0,21660.0,51527.0,68531.0,120058.0,2235.0,2873.0,-645.0,3685.0,-645.0,2228.0,68302.0,11151.0,0.73,1.75,7631.52,2003-09
13982.0,10716.0,2682.0,602.0,600.0,7586.5,7661.9,1520.0,30677.0,25072.0,18156.0,10086.0,116775.0,23909.0,51398.0,65377.0,116775.0,602.0,4384.0,-765.0,4404.0,-765.0,3619.0,65158.0,7302.0,0.77,1.79,7629.0,2003-12
12487.0,10693.0,4288.0,2331.0,2330.0,7586.0,7679.0,965.0,35389.0,25069.0,17703.0,9743.0,122289.0,24637.0,53241.0,69048.0,122289.0,2331.0,1583.0,-363.0,5549.0,-363.0,1220.0,68837.0,9383.0,0.86,1.77,7625.06,2004-03
12274.0,10522.0,3615.0,2863.0,2862.0,7574.1,7664.0,652.0,36685.0,24601.0,17299.0,8688.0,119961.0,25158.0,53256.0,66705.0,119961.0,2864.0,3591.0,-23.0,4871.0,-23.0,3568.0,66500.0,9211.0,0.86,1.8,7550.78,2004-06
12831.0,11191.0,4424.0,3341.0,3340.0,7501.0,7569.0,1864.0,39057.0,25489.0,17477.0,9019.0,122229.0,25239.0,53846.0,68383.0,122229.0,3341.0,5176.0,52.0,5689.0,52.0,5228.0,68183.0,11507.0,0.87,1.79,7531.0,2004-09
11395.0,10189.0,4099.0,2825.0,2824.0,7462.0,7530.0,1808.0,39088.0,26919.0,18385.0,8598.0,123078.0,26458.0,54800.0,68278.0,123078.0,2825.0,5990.0,-991.0,5410.0,-991.0,4999.0,68085.0,11078.0,0.89,1.8,7473.0,2004-12
13091.0,10900.0,4169.0,301.0,301.0,7416.0,7474.0,1476.0,42353.0,26446.0,17912.0,7998.0,122935.0,28948.0,55403.0,67532.0,122935.0,301.0,3193.0,-465.0,5535.0,-465.0,2728.0,67345.0,12673.0,0.83,1.82,7435.34,2005-03
11452.0,9690.0,3238.0,3463.0,3461.0,7366.0,7418.0,1276.0,33573.0,26207.0,17673.0,7672.0,112327.0,22566.0,46999.0,65328.0,112327.0,3462.0,3790.0,-532.0,4648.0,-532.0,3258.0,65148.0,11739.0,0.85,1.72,7370.5,2005-06
