revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
1281.191,346.661,174.661,110.135,110.135,1580.228,1630.58,448.312,1224.719,2505.486,1381.296,382.399,3077.058,790.044,830.621,2246.437,3077.058,110.135,384.451,-64.83,248.768,-64.83,319.621,2246.437,2157.793,0.27,1.37,1582.81,2003-12
1241.068,266.022,123.759,78.885,78.885,3180.456,3292.472,370.081,1221.288,2569.601,1372.003,413.36,3095.655,694.272,742.296,2353.359,3095.655,78.885,88.71,-72.896,206.576,-72.896,15.814,2353.359,2264.355,0.21,1.32,1590.41,2004-03
1318.691,286.228,153.807,97.58,97.58,1591.768,1649.156,383.373,1371.691,2648.713,1383.058,380.284,3224.292,718.987,774.807,2449.485,3224.292,99.383,127.502,-83.385,231.857,-83.385,44.117,2449.485,2360.226,0.22,1.32,1593.03,2004-06
1453.297,285.778,155.019,102.28,102.28,1587.412,1642.348,145.053,1350.895,2877.682,1551.416,388.48,3386.541,746.259,916.33,2470.211,3386.541,100.477,262.255,-195.806,245.695,-195.806,66.449,2470.211,2374.461,0.2,1.37,1589.62,2004-09
1589.544,420.783,227.234,144.753,144.753,3204.188,3322.62,643.548,1652.72,3069.259,1655.121,411.805,3819.834,846.397,1018.7,2801.134,3819.834,144.71,413.66,-162.132,315.826,-162.132,251.528,2801.134,2700.946,0.26,1.36,1611.22,2004-12
1518.716,310.685,157.278,100.461,100.461,3207.704,3312.248,177.142,1412.457,3202.047,1698.803,390.875,3603.417,832.657,999.133,2604.284,3603.417,100.425,163.884,-149.322,255.655,-149.322,14.562,2604.284,2503.002,0.2,1.38,1591.6,2005-03
1601.799,357.496,199.632,125.575,125.575,3134.528,3232.148,130.112,1140.375,3296.915,1738.83,341.335,3327.981,881.295,1052.124,2275.857,3327.981,125.513,181.78,-158.462,293.706,-158.462,23.318,2275.857,2168.416,0.22,1.46,1558.16,2005-06
1659.241,356.47,196.396,123.506,123.506,3086.784,3179.732,173.809,1209.334,3467.583,1842.019,334.457,3513.693,1226.996,1423.431,2090.262,3513.693,123.722,163.591,-173.38,292.657,-173.38,-9.789,2090.262,1962.379,0.21,1.68,1534.88,2005-09
1934.092,474.74,279.847,174.156,174.156,1534.042,1585.898,251.435,1351.929,3576.913,1870.793,360.504,3711.505,1270.708,1478.713,2232.792,3711.505,174.156,608.862,-147.323,378.136,-147.323,461.539,2232.792,2104.513,0.25,1.66,1534.21,2005-12
1885.822,396.028,201.894,127.316,127.316,1534.89,1589.226,202.671,1267.414,3755.529,1963.701,377.59,3817.699,1187.123,1399.79,2417.909,3817.699,127.316,153.13,-163.008,303.447,-163.008,-9.878,2417.909,2208.915,0.21,1.58,1538.55,2006-03
1963.673,402.704,214.573,145.498,145.498,1539.65,1596.518,215.739,1369.672,3980.982,2090.903,388.999,4052.442,1322.78,1547.347,2505.095,4052.442,145.498,173.782,-212.017,319.584,-212.017,-38.235,2505.095,2302.227,0.21,1.62,1536.75,2006-06
2003.355,386.777,197.638,117.289,117.289,1520.264,1568.738,312.606,1529.788,4257.703,2287.899,411.821,4428.941,1935.62,2200.435,2228.506,4428.941,117.289,195.859,-248.882,307.423,-248.882,-53.023,2228.506,2029.073,0.19,1.99,1513.2,2006-09
2355.7,1370.9,319.7,205.0,205.0,1516.2,1565.6,270.873,1429.536,4473.347,2396.801,453.922,4527.634,1804.237,2075.294,2452.34,4527.634,204.952,678.409,-270.547,436.035,-270.547,407.862,2452.34,2204.965,0.58,1.85,1514.74,2006-12
2255.6,455.9,241.0,150.8,150.8,1504.994,1548.11,200.179,1384.862,4715.929,2523.87,479.716,4636.875,2119.832,2409.564,2227.311,4636.875,150.84,59.41,-236.655,360.578,-236.655,-177.245,2227.311,1978.884,0.2,2.08,1492.11,2007-03
2359.245,459.645,245.214,158.343,158.343,1488.946,1527.118,172.789,1467.796,5001.04,2686.969,493.547,4903.923,2223.418,2532.108,2371.815,4903.923,158.343,302.021,-264.931,370.786,-264.931,37.09,2371.815,2116.204,0.19,2.07,1490.61,2007-06
2440.935,756.242,248.033,158.503,158.503,1488.236,1519.764,281.3,1696.5,5306.542,2890.4,499.3,5343.9,2155.6,3042.5,2301.4,5343.9,158.503,291.381,-308.215,378.439,-308.215,-16.834,2301.4,2043.7,0.31,2.32,1476.57,2007-09
2767.6,1581.6,333.1,208.1,208.1,1463.2,1489.8,349.3,1737.6,5538.4,2993.0,517.3,5506.4,2253.2,3234.6,2271.8,5506.4,208.1,807.6,-263.6,472.9,-263.6,544.0,2271.8,2013.3,0.57,2.42,1455.2,2007-12
2526.0,409.4,178.2,108.7,108.7,1457.4,1478.6,303.4,1579.2,5706.5,3052.3,621.1,5534.1,2079.4,3075.3,2458.8,5534.1,108.7,-42.5,-241.5,324.5,-241.5,-284.0,2458.8,2177.3,0.16,2.25,1461.4,2008-03
2574.0,1410.9,146.1,-6.7,-6.7,1463.4,1463.4,297.0,1657.3,5725.0,2947.4,647.0,5552.3,2061.9,3057.5,2494.8,5552.3,-6.7,313.6,-228.8,291.4,-228.8,84.8,2494.8,2194.2,0.55,2.23,1466.6,2008-06
2515.4,1325.9,-0.2,5.4,5.4,1467.8,1483.4,269.8,1748.0,5717.3,2956.4,261.1,5672.6,2189.7,3181.7,2490.9,5672.6,5.4,180.0,-250.6,172.9,-250.6,-70.6,2490.9,2157.8,0.53,2.28,1471.0,2008-09
2615.2,1418.4,169.7,64.3,64.3,1472.6,1478.2,356.8,1693.9,5634.9,2822.5,685.3,5530.4,1953.0,2927.5,2602.9,5530.4,64.7,693.5,-172.6,310.7,-172.6,520.9,2602.9,2274.2,0.54,2.12,1469.2,2008-12
2333.3,1289.8,167.8,25.0,25.0,1476.0,1479.8,253.2,1604.1,5590.2,2658.0,303.4,5281.3,1685.9,2650.9,2630.4,5281.3,25.1,21.9,-64.3,309.0,-64.3,-42.4,2630.4,2302.0,0.55,2.01,1471.8,2009-03
2403.9,1360.5,225.9,151.5,151.5,1478.8,1493.4,292.0,1717.7,5662.9,2594.2,287.9,5333.1,1557.9,2515.1,2818.0,5333.1,148.2,301.3,-107.3,366.9,-107.3,194.0,2818.0,2493.1,0.57,1.89,1480.2,2009-06
2422.2,1381.0,209.1,150.0,150.0,1482.2,1515.8,599.8,2035.8,5700.9,2536.4,253.8,5576.8,1581.0,2519.9,3056.9,5576.8,153.5,372.3,-101.4,349.2,-101.4,270.9,3056.9,2729.6,0.57,1.82,1485.8,2009-09
2722.7,1577.0,341.5,241.5,241.5,1488.4,1525.8,1306.3,2583.9,5696.0,2482.7,310.5,6101.6,1779.2,2737.5,3364.1,6101.6,243.5,768.7,-99.7,479.7,-99.7,669.0,3364.1,3033.0,0.58,1.81,1493.0,2009-12
2534.7,1470.6,313.3,217.3,217.3,1494.2,1533.8,1086.0,2490.4,5705.6,2414.6,319.0,6144.7,1646.6,2590.0,3554.7,6144.7,217.8,189.1,-84.8,447.6,-84.8,104.3,3554.7,3222.8,0.58,1.73,1489.6,2010-03
2612.0,1535.8,389.0,207.9,207.9,1492.2,1533.4,1125.2,2610.9,5746.4,2361.5,311.1,6206.9,1726.6,2672.3,3534.6,6206.9,208.5,417.6,-96.6,521.0,-96.6,321.0,3534.6,3204.0,0.59,1.76,1480.6,2010-06
2838.0,1707.5,146.8,278.9,278.9,1480.4,1520.6,1164.0,2756.4,5888.7,2416.5,346.5,6385.9,1779.1,2703.6,3682.3,6385.9,278.5,329.5,-164.7,283.1,-164.7,164.8,3682.3,3349.1,0.6,1.73,1485.2,2010-09
2950.8,1758.5,467.4,346.6,346.6,1491.4,1533.4,1792.0,3400.4,5956.8,2393.6,317.9,6931.1,1956.4,2870.8,4060.3,6931.1,347.6,673.6,-128.9,602.7,-128.9,544.7,4060.3,3724.6,0.6,1.71,1497.6,2010-12
2785.7,1614.5,337.8,261.6,261.6,1500.6,1543.6,1645.2,3540.3,6041.5,2378.5,323.4,7027.6,1794.2,2700.4,4327.2,7027.6,262.3,-4.1,-110.2,474.1,-110.2,-114.3,4327.2,3989.3,0.58,1.62,1497.6,2011-03
2932.2,1694.7,457.9,279.1,279.1,1501.0,1543.8,1720.8,3587.0,6160.0,2384.8,312.1,7097.8,1859.4,2756.3,4341.5,7097.8,280.0,457.2,-133.3,594.5,-133.3,323.9,4341.5,4001.3,0.58,1.63,1485.2,2011-06
3031.7,-1877.7,72.2,358.3,358.3,1493.6,1537.0,1148.1,3794.9,6163.1,2355.0,297.7,7360.4,2075.8,2973.1,4387.3,7360.4,358.1,485.7,-159.5,214.0,-159.5,326.2,4387.3,3953.8,-0.62,1.68,1482.8,2011-09
