revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
10322.0,3558.0,705.0,349.0,349.0,910.3,915.1,452.0,11992.0,21346.0,15663.0,1517.0,29172.0,6801.0,19412.0,9760.0,29172.0,349.0,-245.0,-655.0,594.0,1022.0,-655.0,-900.0,9760.0,9760.0,0.34,2.99,910.756,2003-04
9594.0,3144.0,685.0,358.0,358.0,910.8,918.1,429.0,11973.0,22095.0,16205.0,1456.0,29634.0,6961.0,19590.0,10044.0,29634.0,358.0,694.0,-750.0,33.0,903.0,-750.0,-56.0,10044.0,10044.0,0.33,2.95,910.938,2003-07
9827.0,3184.0,563.0,302.0,302.0,911.3,918.0,495.0,13284.0,22697.0,16628.0,1512.0,31424.0,8596.0,21159.0,10265.0,31424.0,302.0,397.0,-890.0,559.0,1004.0,-890.0,-493.0,10265.0,10265.0,0.32,3.06,911.462,2003-10
13676.0,4337.0,1253.0,800.0,800.0,1332.769,1360.064,708.0,12952.0,19880.0,15153.0,3311.0,31416.0,8314.0,20284.0,11132.0,31416.0,610.0,2659.0,-376.0,-1524.0,1375.0,-376.0,2283.0,11132.0,11132.0,0.32,2.82,911.808,2004-01
10180.0,3411.0,773.0,432.0,432.0,912.6,921.4,622.0,12375.0,23394.0,17301.0,1447.0,31123.0,8235.0,19660.0,11463.0,31123.0,392.0,587.0,-631.0,-139.0,1065.0,-631.0,-44.0,11463.0,11463.0,0.34,2.72,913.4,2004-04
10556.0,3374.0,786.0,1410.0,1410.0,911.5,919.2,1735.0,13038.0,20894.0,15980.0,2277.0,31295.0,7952.0,18929.0,12366.0,31295.0,360.0,547.0,-756.0,-1786.0,1085.0,-756.0,-209.0,12366.0,12366.0,0.32,2.53,903.335,2004-07
10909.0,3590.0,633.0,531.0,531.0,896.0,905.0,1587.0,13777.0,21626.0,16473.0,1536.0,31786.0,8485.0,19388.0,12398.0,31786.0,324.0,-139.0,-804.0,-633.0,957.0,-804.0,-943.0,12398.0,12398.0,0.33,2.56,895.426,2004-10
15194.0,4846.0,1409.0,825.0,825.0,895.1,902.8,2245.0,13922.0,22272.0,16860.0,1511.0,32293.0,8220.0,19264.0,13029.0,32293.0,809.0,2200.0,-821.0,-279.0,1753.0,-821.0,1379.0,13029.0,13029.0,0.32,2.48,885.553,2005-01
11477.0,3921.0,907.0,494.0,494.0,887.0,893.5,1152.0,12455.0,22696.0,17328.0,1512.0,31295.0,7173.0,18248.0,13047.0,31295.0,494.0,600.0,-713.0,-996.0,1247.0,-713.0,-113.0,13047.0,13047.0,0.34,2.4,883.371,2005-04
11990.0,3975.0,979.0,540.0,540.0,883.3,891.2,696.0,12337.0,23652.0,18023.0,1559.0,31919.0,8037.0,18397.0,13522.0,31919.0,540.0,858.0,-1048.0,-73.0,1325.0,-1048.0,-190.0,13522.0,13522.0,0.33,2.36,884.664,2005-07
12206.0,3971.0,831.0,435.0,435.0,881.2,887.0,503.0,14411.0,24452.0,18573.0,1514.0,34498.0,9641.0,20942.0,13556.0,34498.0,435.0,362.0,-874.0,511.0,1185.0,-874.0,-512.0,13556.0,13556.0,0.33,2.54,879.184,2005-10
16947.0,5229.0,1606.0,939.0,939.0,876.6,885.0,1648.0,14405.0,25214.0,19038.0,1369.0,34995.0,9588.0,20790.0,14205.0,34995.0,939.0,2631.0,-695.0,-341.0,1975.0,-695.0,1936.0,14205.0,14022.0,0.31,2.46,874.075,2006-01
12863.0,4230.0,1017.0,554.0,554.0,870.7,877.6,989.0,13556.0,26035.0,19614.0,1579.0,34749.0,9708.0,20379.0,14370.0,34749.0,554.0,527.0,-879.0,-407.0,1351.0,-879.0,-352.0,14370.0,14370.0,0.33,2.42,868.3,2006-04
13347.0,4491.0,1134.0,609.0,609.0,860.8,867.2,477.0,13589.0,26647.0,20257.0,1577.0,35423.0,9660.0,21050.0,14373.0,35423.0,608.0,642.0,-1005.0,135.0,1504.0,-1005.0,-363.0,14373.0,14373.0,0.34,2.46,857.8,2006-07
13570.0,4497.0,957.0,506.0,506.0,857.8,864.4,451.0,15348.0,27563.0,20926.0,1593.0,37867.0,11921.0,23067.0,14800.0,37867.0,506.0,543.0,-1100.0,669.0,1347.0,-1100.0,-557.0,14800.0,14800.0,0.33,2.56,858.9,2006-10
19710.0,6166.0,1961.0,1119.0,1119.0,858.3,865.3,813.0,14706.0,28381.0,21431.0,1000.0,37349.0,11117.0,21716.0,15633.0,37349.0,1119.0,3150.0,-882.0,-1401.0,2363.0,-882.0,2268.0,15633.0,15421.0,0.31,2.39,859.771,2007-01
14041.0,4685.0,1200.0,651.0,651.0,855.9,862.8,969.0,14709.0,29233.0,22260.0,1315.0,38284.0,10097.0,22573.0,15711.0,38284.0,651.0,462.0,-1179.0,825.0,1592.0,-1179.0,-717.0,15711.0,15711.0,0.33,2.44,851.489,2007-04
14620.0,4924.0,1267.0,686.0,686.0,850.8,857.4,555.0,15132.0,30295.0,23027.0,1307.0,39466.0,11022.0,23512.0,15954.0,39466.0,686.0,741.0,-1168.0,451.0,1671.0,-1168.0,-427.0,15954.0,15954.0,0.34,2.47,847.8,2007-07
14835.0,4842.0,958.0,483.0,483.0,845.6,851.0,627.0,18334.0,31142.0,23606.0,1349.0,43289.0,13563.0,27129.0,16160.0,43289.0,484.0,383.0,-1018.0,1484.0,1387.0,-1018.0,-635.0,16160.0,16160.0,0.33,2.68,845.0,2007-10
19871.0,6109.0,1846.0,1028.0,1028.0,829.2,834.3,2450.0,18906.0,31982.0,24095.0,1351.0,44560.0,11782.0,29253.0,15307.0,44560.0,1028.0,2539.0,-909.0,947.0,2280.0,-909.0,1630.0,15307.0,15099.0,0.31,2.91,818.738,2008-01
14802.0,4904.0,1158.0,602.0,602.0,805.5,809.6,620.0,16759.0,32743.0,24666.0,1405.0,42830.0,10959.0,28473.0,14357.0,42830.0,602.0,740.0,-948.0,-1604.0,1593.0,-948.0,-208.0,14357.0,14357.0,0.33,2.98,788.6,2008-04
15472.0,5168.0,1220.0,634.0,634.0,770.3,773.9,1527.0,18620.0,33578.0,25152.0,1368.0,45140.0,11359.0,31683.0,13457.0,45140.0,635.0,1014.0,-991.0,1132.0,1669.0,-991.0,23.0,13457.0,13457.0,0.33,3.35,755.0,2008-07
15114.0,4984.0,867.0,369.0,369.0,753.5,756.6,918.0,20239.0,34323.0,25525.0,1277.0,47041.0,13496.0,33461.0,13580.0,47041.0,368.0,26.0,-862.0,523.0,1335.0,-862.0,-836.0,13580.0,13580.0,0.33,3.46,752.78,2008-10
19560.0,4126.0,1157.0,609.0,609.0,752.4,754.1,562.0,17488.0,34816.0,25756.0,862.0,44106.0,10512.0,30394.0,13712.0,44106.0,609.0,2650.0,-707.0,-1694.0,1631.0,-707.0,1943.0,13712.0,13712.0,0.21,3.22,752.673,2009-01
14833.0,4513.0,1026.0,522.0,522.0,752.2,753.0,1371.0,17551.0,34995.0,25800.0,861.0,44212.0,10249.0,30093.0,14119.0,44212.0,522.0,999.0,-534.0,-120.0,1498.0,-534.0,465.0,14119.0,14119.0,0.3,3.13,752.28,2009-04
15067.0,4765.0,1151.0,594.0,594.0,752.0,754.4,957.0,17683.0,35255.0,25712.0,838.0,44233.0,9810.0,29631.0,14602.0,44233.0,594.0,1052.0,-484.0,-866.0,1629.0,-484.0,568.0,14602.0,14602.0,0.32,3.03,751.9,2009-07
15276.0,4666.0,874.0,436.0,436.0,751.8,755.7,864.0,19583.0,35626.0,25591.0,805.0,45979.0,12398.0,31008.0,14971.0,45979.0,436.0,976.0,-397.0,-607.0,1411.0,-397.0,579.0,14971.0,14971.0,0.31,3.07,752.2,2009-10
20181.0,5831.0,1622.0,936.0,936.0,752.0,756.3,583.0,18424.0,35765.0,25280.0,829.0,44533.0,11327.0,29186.0,15347.0,44533.0,936.0,2854.0,-281.0,-1249.0,2158.0,-281.0,2573.0,15347.0,15347.0,0.29,2.9,744.6,2010-01
15593.0,4901.0,1242.0,671.0,671.0,739.9,745.7,563.0,17222.0,35657.0,25212.0,889.0,43323.0,10197.0,27726.0,15597.0,43323.0,671.0,1158.0,-395.0,-1605.0,1758.0,-395.0,763.0,15597.0,15597.0,0.31,2.78,738.9,2010-04
15532.0,5025.0,1266.0,679.0,679.0,731.1,736.6,568.0,17245.0,36219.0,25401.0,1009.0,43655.0,10100.0,28387.0,15268.0,43655.0,679.0,670.0,-564.0,-158.0,1762.0,-564.0,106.0,15268.0,15268.0,0.32,2.86,722.6,2010-07
20661.0,6036.0,1777.0,1035.0,1035.0,708.0,714.4,583.0,17213.0,37048.0,25493.0,999.0,43705.0,10070.0,28218.0,15487.0,43705.0,1035.0,2419.0,-489.0,-1215.0,2316.0,-489.0,1930.0,15487.0,15487.0,0.29,2.82,704.0,2011-01
15935.0,5009.0,1264.0,689.0,689.0,693.0,697.0,552.0,16368.0,36984.0,25648.0,980.0,42996.0,10838.0,27766.0,15230.0,42996.0,689.0,1052.0,-631.0,-970.0,1776.0,-631.0,421.0,15230.0,15230.0,0.31,2.82,689.0,2011-04
16240.0,5282.0,1300.0,704.0,704.0,680.8,685.1,890.0,16059.0,39960.0,28373.0,1067.0,45499.0,11620.0,30393.0,15106.0,45499.0,704.0,1284.0,-1746.0,-53.0,1810.0,-1746.0,-462.0,15106.0,15106.0,0.33,3.01,675.2,2011-07
