revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
18.585,1.781,-22.925,-24.242,-24.242,2099.745,2099.745,69.627,100.559,36.265,23.535,6.33,130.424,57.489,383.947,-253.523,130.424,-24.242,-29.007,-6.199,-20.99,-6.199,-35.206,-253.523,-253.523,0.1,-0.51,1396.64,2009-12
28.405,6.261,-31.362,-38.517,-38.517,114.652,114.652,47.304,90.034,50.367,33.156,24.784,147.974,68.634,457.749,-309.775,147.974,-38.517,-20.247,-9.815,-28.879,-9.815,-30.062,-309.775,-309.775,0.22,-0.48,1396.64,2010-06
31.241,9.296,-37.834,-34.935,-34.935,1384.061,1384.061,96.563,241.133,62.185,42.896,77.592,361.621,69.328,141.698,219.923,361.621,-34.934,-45.957,-7.768,-34.725,-7.768,-53.725,219.923,219.923,0.3,1.64,1398.8,2010-09
36.286,11.321,-51.645,-51.358,-51.358,1423.626,1423.626,99.558,235.886,144.592,122.599,27.597,386.082,85.565,179.034,207.048,386.082,-51.358,-34.284,-82.358,-48.755,-82.358,-116.642,207.048,207.048,0.31,1.86,1423.63,2010-12
49.03,18.028,-47.346,-48.941,-48.941,1427.81,1427.81,100.655,226.906,177.331,152.513,27.87,407.289,112.976,239.551,167.738,407.289,-48.941,-43.297,-20.476,-43.829,-20.476,-63.773,167.738,167.738,0.37,2.43,1433.32,2011-03
58.171,18.508,-58.739,-58.903,-58.903,1466.359,1466.359,319.38,417.758,224.799,200.18,28.217,646.155,138.736,297.703,348.452,646.155,-58.903,-22.488,-54.314,-54.421,-54.314,-76.802,348.452,348.452,0.32,1.85,1559.71,2011-06
57.666,17.224,-64.477,-65.078,-65.078,1561.152,1561.152,213.328,412.121,288.173,259.794,28.335,700.25,154.181,406.132,294.118,700.25,-65.078,-21.491,-68.844,-60.197,-68.844,-90.335,294.118,294.118,0.3,2.38,1562.83,2011-09
39.375,7.835,-80.927,-81.489,-81.489,1566.542,1566.542,255.266,372.838,342.393,310.171,15.931,713.448,191.339,489.403,224.045,713.448,-81.489,-40.758,-40.592,-76.123,-40.592,-81.35,224.045,209.537,0.2,3.18,1567.95,2011-12
30.167,10.21,-88.763,-89.873,-89.873,1571.765,1571.765,218.57,358.897,411.232,376.174,26.029,761.1,235.722,607.226,153.874,761.1,-89.873,-63.3,-54.774,-84.6,-54.774,-118.074,153.874,153.874,0.34,4.95,1577.47,2012-03
26.653,4.762,-106.175,-105.603,-105.603,1578.637,1578.637,210.554,317.126,472.023,433.642,26.101,776.869,286.526,714.654,62.215,776.869,-105.603,-64.264,-58.003,-101.827,-58.003,-122.267,62.215,62.215,0.18,12.49,1579.85,2012-06
50.104,-8.761,-108.46,-110.804,-110.804,1583.342,1583.342,85.693,284.541,543.387,498.037,26.599,809.177,385.806,837.052,-27.875,809.177,-110.806,-101.026,-62.398,-100.938,-62.398,-163.424,-27.875,-27.875,-0.17,-29.03,1586.59,2012-09
306.332,23.857,-90.883,-89.931,-89.931,1707.147,1707.147,201.89,524.768,619.843,562.3,12.855,1114.19,539.108,989.49,124.7,1114.19,-89.931,-35.225,-64.053,-78.091,-64.053,-99.278,124.7,110.433,0.08,8.93,1713.21,2012-12
561.792,96.32,-5.584,11.248,11.248,1720.678,1863.979,214.417,525.993,665.99,591.057,12.578,1143.778,535.623,975.195,168.583,1143.778,11.248,64.079,-57.727,12.266,-57.727,6.352,168.583,154.433,0.17,6.78,1727.42,2013-03
405.139,100.483,-11.792,-30.502,-30.502,1772.904,1772.904,746.057,1129.542,822.012,727.047,17.226,1887.844,486.545,1258.418,629.426,1887.844,-30.502,-35.298,-40.515,10.406,-40.515,-75.813,629.426,615.397,0.25,3.0,1821.44,2013-06
431.346,102.868,-30.554,-38.496,-38.496,1827.937,1827.937,795.116,1218.766,1039.688,923.306,10.3,2166.209,1169.459,1602.044,564.165,2166.209,-38.496,102.036,-76.548,-2.104,-76.548,25.488,564.165,550.328,0.24,3.84,1838.49,2013-09
615.219,156.589,-13.353,-16.264,-16.264,1842.561,1842.561,845.889,1265.939,1261.061,1120.919,30.072,2416.93,675.16,1749.81,667.12,2416.93,-16.264,133.987,-89.434,24.232,-89.434,44.553,667.12,667.12,0.25,3.62,1846.36,2013-12
620.542,155.128,-43.967,-49.8,-49.8,1852.092,1852.092,2393.908,3156.047,1470.453,1301.118,29.583,4500.41,1413.47,3588.354,912.056,4500.41,-49.8,58.723,-141.364,0.301,-141.364,-82.641,912.056,898.394,0.25,4.93,1860.61,2014-03
769.349,212.995,-28.753,-61.9,-61.9,1863.756,1863.756,2674.91,3441.694,1771.738,1567.048,32.179999999999,5054.463,1575.85,4102.13,952.333,5054.463,-61.902,-1.662,-175.685,25.962,-175.685,-177.347,952.333,938.792,0.28,5.31,1868.82,2014-06
851.804,251.851,-39.129,-74.708,-74.708,1873.665,1873.665,2370.735,3362.914,2265.516,2022.069,39.13,5437.533,1839.777,4479.439,958.094,5437.533,-74.709,-27.996,-284.175,25.843,-284.175,-312.171,958.094,944.674,0.3,5.68,1880.49,2014-09
956.661,261.697,-74.838,-107.629,-107.629,1882.575,1882.575,1905.713,3180.073,2888.601,2596.011,54.583000000001,5830.667,2107.166,4918.957,911.71,5830.667,-107.629,-86.402,-368.661,-6.862,-368.661,-455.063,911.71,911.71,0.27,6.4,1885.31,2014-12
939.88,260.073,-102.446,-154.181,-154.181,1889.205,1889.205,1510.076,2921.417,3478.638,3136.252,62.361,6120.03,2192.381,5294.033,825.997,6120.03,-154.181,-131.794,-426.06,-25.334,-426.06,-557.854,825.997,825.997,0.28,7.41,1895.43,2015-03
