revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
242.675,130.024,-509.676,-511.471,-511.471,569.922,569.922,841.01,2574.679,499.727,332.662,17.795,3366.24,225.43,416.234,2950.006,3366.24,-511.471,-2.868,-29.116,1985.606,-476.452,-29.116,-31.984,2950.006,2508.902,0.54,1.14,569.922,2013-12
250.492,164.989,-129.371,-132.362,-132.362,570.205,570.205,960.755,2505.38,583.265,383.272,32.629,3356.209,261.251,419.363,2936.846,3356.209,-132.362,42.683,-49.62,-36.473,-89.42,-49.62,-6.937,2936.846,2501.918,0.66,1.14,589.298,2014-03
312.166,212.139,-149.911,-144.642,-144.642,595.607,595.607,844.976,2463.886,704.941,467.634,33.199,3584.817,370.375,538.224,3046.593,3584.817,-144.642,81.697,-44.457,13.388,-104.28,-44.457,37.24,3046.593,2426.495,0.68,1.18,612.682,2014-06
361.266,237.1,-161.431,-175.464,-175.464,614.395,614.395,2252.795,4173.885,788.34,503.958,32.827,5448.654,442.476,1923.616,3525.038,5448.654,-175.464,-85.902,-38.762,1635.635,-101.276,-38.762,-124.664,3525.038,2787.054,0.66,1.55,632.158,2014-09
479.078,342.465,-98.153,-125.352,-125.352,629.794,629.794,1510.724,4255.853,888.27,557.019,42.629000000001,5583.082,393.794,1956.679,3626.403,5583.082,-125.352,43.318,-68.791,79.172,-35.725,-68.791,-25.473,3626.403,2898.822,0.71,1.54,642.385,2014-12
435.939,292.464,-146.616,-162.442,-162.442,640.464,640.464,1607.405,4194.091,987.108,599.751,47.559,5643.417,394.295,1956.32,3687.097,5643.417,-162.442,92.181,-67.735,-35.971,-78.752,-67.735,24.446,3687.097,2885.081,0.67,1.53,653.141,2015-03
502.383,334.76,-131.004,-136.663,-136.663,655.721,655.721,883.307,4270.427,1096.53,651.017,50.345,6230.334,424.841,1999.15,4231.184,6230.334,-136.663,89.979,-92.605,-4.881,-54.955,-92.605,-2.626,4231.184,2972.639,0.67,1.47,674.379,2015-06
569.237,369.042,-105.237,-131.69,-131.69,670.604,670.604,876.432,4263.559,1209.832,699.502,55.596,6289.064,427.778,2014.901,4274.163,6289.064,-131.69,101.668,-106.476,-27.358,-23.773,-106.476,-4.808,4274.163,3003.756,0.65,1.47,681.409,2015-09
710.473,492.51,-67.179,-90.236,-90.236,682.533,682.533,911.471,4381.792,1314.009,735.299,61.605,6442.439,506.039,2074.392,4368.047,6442.439,-90.236,99.238,-80.464,5.212,20.267,-80.464,18.774,4368.047,3104.304,0.69,1.47,694.132,2015-12
594.521,396.116,-59.116,-79.731,-79.731,691.564,691.564,1027.661,4388.909,1395.854,746.713,89.739,6476.168,422.765,1998.682,4477.486,6476.168,-79.731,162.764,-59.148,-24.079,29.505,-59.148,103.616,4477.486,3226.679,0.67,1.45,700.203,2016-03
