revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
57224.0,13306.0,3090.0,1861.0,1861.0,4386.0,4395.0,2468.0,31348.0,67757.0,52266.0,3542.0,96473.0,32222.0,56273.0,40200.0,96473.0,1830.0,2653.0,-1996.0,3978.0,-1996.0,657.0,40200.0,30883.0,0.23,2.4,4378.92,2003-04
63232.0,14934.0,3792.0,2444.0,2444.0,4378.0,4388.0,4472.0,32153.0,71001.0,54516.0,2544.0,98786.0,32833.0,56192.0,42594.0,98786.0,2282.0,3665.0,-2650.0,4746.0,-2650.0,1015.0,42594.0,33021.0,0.24,2.32,4369.2,2003-07
63035.0,14743.0,3399.0,2028.0,2028.0,4362.0,4372.0,3312.0,36790.0,73447.0,56202.0,2383.0,104821.0,39225.0,62649.0,42172.0,104821.0,2028.0,1492.0,-2757.0,4370.0,-2757.0,-1265.0,42172.0,32726.0,0.23,2.49,4328.0,2003-10
75190.0,16951.0,4746.0,2721.0,2721.0,4327.0,4337.0,5199.0,34421.0,76380.0,59023.0,2079.0,105405.0,37840.0,61782.0,43623.0,105405.0,2721.0,8186.0,-2905.0,5785.0,-2905.0,5281.0,43623.0,33741.0,0.23,2.42,4311.0,2004-01
65443.0,15474.0,3605.0,2166.0,2166.0,4294.0,4302.0,3828.0,34753.0,78791.0,60467.0,2226.0,107580.0,41066.0,65196.0,42384.0,107580.0,2166.0,867.0,-2645.0,4642.0,-2645.0,-1778.0,42384.0,32250.0,0.24,2.54,4269.0,2004-04
70459.0,16926.0,4404.0,2651.0,2651.0,4264.0,4272.0,4709.0,35616.0,81322.0,62087.0,2232.0,110059.0,43007.0,66915.0,43144.0,110059.0,2651.0,4006.0,-3049.0,5435.0,-3049.0,957.0,43144.0,33020.0,0.24,2.55,4243.0,2004-07
69282.0,16715.0,3784.0,2286.0,2286.0,4242.0,4249.0,4639.0,40977.0,84886.0,64543.0,2378.0,118089.0,47016.0,73203.0,44886.0,118089.0,2286.0,2575.0,-3566.0,4877.0,-3566.0,-991.0,44886.0,34695.0,0.24,2.63,4235.0,2004-10
79078.0,18316.0,5507.0,3164.0,3164.0,4238.0,4242.0,5488.0,38854.0,88593.0,68118.0,2379.0,120154.0,43182.0,70758.0,49396.0,120154.0,3379.0,7596.0,-3543.0,6531.0,-3543.0,4053.0,49396.0,38593.0,0.23,2.43,4234.0,2005-01
71680.0,17109.0,3941.0,2461.0,2461.0,4228.0,4234.0,4955.0,39641.0,88882.0,69303.0,2485.0,122215.0,49168.0,75024.0,47191.0,122215.0,2461.0,2513.0,-2772.0,5073.0,-2772.0,-259.0,47191.0,36405.0,0.24,2.59,4182.0,2005-04
76697.0,18608.0,4730.0,2805.0,2805.0,4175.0,4180.0,5673.0,40393.0,92008.0,71639.0,2320.0,124765.0,49165.0,77044.0,47721.0,124765.0,2904.0,3955.0,-3683.0,5883.0,-3683.0,272.0,47721.0,37308.0,0.24,2.61,4163.0,2005-07
75397.0,18072.0,4098.0,2374.0,2374.0,4165.0,4169.0,4535.0,44924.0,94867.0,73984.0,2424.0,131799.0,50315.0,81881.0,49918.0,131799.0,2422.0,1646.0,-3925.0,5272.0,-3925.0,-2279.0,49918.0,39451.0,0.24,2.64,4163.0,2005-10
89252.0,20870.0,5893.0,3591.0,3591.0,4165.0,4170.0,6193.0,43825.0,100929.0,77865.0,4400.0,138187.0,48825.0,85016.0,53171.0,138187.0,3621.0,10127.0,-4150.0,7079.0,-4150.0,5977.0,53171.0,41074.0,0.23,2.6,4165.0,2006-01
79676.0,19439.0,4495.0,2615.0,2615.0,4167.0,4170.0,5858.0,43532.0,103963.0,81458.0,2593.0,140485.0,51865.0,87171.0,53314.0,140485.0,2660.0,3740.0,-2953.0,5789.0,-2953.0,787.0,53314.0,40412.0,0.24,2.64,4167.78,2006-04
85430.0,20845.0,5104.0,2083.0,2083.0,4168.0,4172.0,6386.0,46172.0,106380.0,83182.0,2165.0,144788.0,54139.0,88416.0,56372.0,144788.0,2985.0,3520.0,-3765.0,6452.0,-3765.0,-245.0,56372.0,43103.0,0.24,2.57,4169.03,2006-07
84467.0,20702.0,4465.0,2647.0,2647.0,4169.0,4173.0,5908.0,49623.0,112494.0,86022.0,2217.0,151119.0,58163.0,92356.0,58763.0,151119.0,2594.0,2805.0,-4437.0,5836.0,-4437.0,-1632.0,58763.0,45506.0,0.25,2.57,4168.03,2006-10
98796.0,23404.0,6432.0,3939.0,3939.0,4152.0,4156.0,7767.0,46982.0,115190.0,88440.0,2406.0,151587.0,52148.0,90014.0,61573.0,151587.0,3950.0,10170.0,-4117.0,7878.0,-4117.0,6053.0,61573.0,47814.0,0.24,2.46,4131.0,2007-01
86410.0,21099.0,4850.0,2826.0,2826.0,4122.0,4128.0,6563.0,47579.0,118417.0,90284.0,2974.0,155422.0,54700.0,95511.0,59911.0,155422.0,2826.0,1847.0,-2987.0,6338.0,-2987.0,-1140.0,59911.0,45326.0,0.24,2.59,4108.78,2007-04
92999.0,22410.0,5283.0,2952.0,2952.0,4102.0,4108.0,6094.0,46387.0,122169.0,92948.0,2959.0,156949.0,55250.0,94663.0,62286.0,156949.0,3072.0,4351.0,-3665.0,6855.0,-3665.0,686.0,62286.0,47631.0,0.24,2.52,4068.23,2007-07
91865.0,22614.0,4961.0,2857.0,2857.0,4051.0,4056.0,4950.0,50912.0,126465.0,96131.0,3123.0,165064.0,60349.0,101985.0,63079.0,165064.0,2855.0,3425.0,-3766.0,6557.0,-3766.0,-341.0,63079.0,48181.0,0.25,2.62,4004.81,2007-10
105890.0,26826.0,6876.0,4096.0,4096.0,3988.0,3997.0,5492.0,48020.0,127992.0,96867.0,2748.0,163514.0,58478.0,98906.0,64608.0,163514.0,4516.0,11019.0,-3562.0,8537.0,-3562.0,7457.0,64608.0,48729.0,0.25,2.53,3973.0,2008-01
