"period_end_date","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"revenue","2006","1909","2014","2350","3490","3243","3520","3678","5749","4359","4370","4837","7115","5264","5410","6789","9608","7512","7464","12907","11880","9084","9734","12207","15683","13499","15700","20343","26741","24667","28571","28270","46333","39186","35023","35966","54512","43603","35323","37472","57594","45646","37432","42123","74599","58010","49605","51501","75872","50557","42358","46852","78351","52896","45408","52579","88293","61137","53265","62900","84310","58015","53809","64040","91819","58313","59685","64698","111439","89584","81434","83360","123945","97278","82959","90146"
"cogs","1470","1379","1455","1718","2494","2275","2476","2643","4185","3062","3045","3425","4895","3415","3415","4701","6276","5038","4864","8116","7373","5457","5751","7102","9272","7874","9564","12831","16443","14449","16649","16890","25630","20622","20029","21565","33452","27254","22299","23601","35748","27699","22697","26114","44858","34354","29924","30953","45449","30636","26252","29039","48175","32305","27920","32648","54381","37715","32844","38816","52279","36194","33582","39727","56602","35943","37005","40009","67111","51505","46179","48186","69702","54719","47074","52051"
"gross_profit","536","530","559","632","996","968","1044","1035","1564","1297","1325","1412","2220","1849","1995","2088","3332","2474","2600","4791","4507","3627","3983","5105","6411","5625","6136","7512","10298","10218","11922","11380","20703","18564","14994","14401","21060","16349","13024","13871","21846","17947","14735","16009","29741","23656","19681","20548","30423","19921","16106","17813","30176","20591","17488","19931","33912","23422","20421","24084","32031","21821","20227","24313","35217","22370","22680","24689","44328","38079","35255","35174","54243","42559","35885","38095"
"sga","343","345","354","388","470","447","473","471","632","592","584","625","714","680","746","823","960","886","916","999","1091","985","1010","1063","1288","1220","1438","1571","1896","1763","1915","2025","2605","2339","2545","2551","2840","2672","2645","2673","3053","2932","2850","3158","3600","3460","3564","3705","3848","3423","3441","3482","3946","3718","3783","3814","4231","4150","4108","4216","4783","4458","4426","4578","5197","4952","4831","4936","5631","5314","5412","5616","6449","6193","6012","6440"
"rnd","119","123","125","124","123","119","145","147","182","176","175","179","184","183","208","207","246","273","292","298","315","319","341","358","398","426","464","494","575","581","628","645","758","841","876","906","1010","1119","1178","1168","1330","1422","1603","1686","1895","1918","2034","2220","2404","2511","2560","2570","2871","2776","2937","2997","3407","3378","3701","3750","3902","3948","4257","4110","4451","4565","4758","4978","5163","5262","5717","5772","6306","6387","6797","6761"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","462","468","479","512","593","566","618","618","814","768","759","804","898","863","954","1030","1206","1159","1208","1297","1406","1304","1351","1421","1686","1646","1902","2065","2471","2344","2543","2670","3363","3180","3421","3457","3850","3791","3823","3841","4383","4354","4453","4844","5495","5378","5598","5925","6252","5934","6001","6052","6817","6494","6720","6811","7638","7528","7809","7966","8685","8406","8683","8688","9648","9517","9589","9914","10794","10576","11129","11388","12755","12580","12809","13201"
"operating_income","74","62","80","120","403","402","426","417","750","529","566","608","1322","986","1041","1058","2126","1315","1392","3494","3101","2323","2632","3684","4725","3979","4234","5447","7827","7874","9379","8710","17340","15384","11573","10944","17210","12558","9201","10030","17463","13593","10282","11165","24246","18278","14083","14623","24171","13987","10105","11761","23359","14097","10768","13120","26274","15894","12612","16118","23346","13415","11544","15625","25569","12853","13091","14775","33534","27503","24126","23786","41488","29979","23076","24894"
"net_interest_income_normal","12","12","13","27","28","39","51","65","88","87","99","120","","","","","","","","","","","","","","","","","","","","","228","254","292","314","421","420","332","307","343","325","339","404","523","512","565","588","665","665","627","586","699","752","725","702","718","713","572","443","417","348","324","296","260","292","204","134","109","48","54","-13","-44","9","3","-74"
