"period_end_date","2003-11","2004-02","2004-05","2004-08","2004-11","2005-02","2005-05","2005-08","2005-11","2006-02","2006-05","2006-08","2006-11","2007-02","2007-05","2007-08","2007-11","2008-02","2008-05","2008-08","2008-11","2009-02","2009-05","2009-08","2009-11","2010-02","2010-05","2010-08","2010-11","2011-02","2011-05","2011-08","2011-11","2012-02","2012-05","2012-08","2012-11","2013-02","2013-05","2013-08","2013-11","2014-02","2014-05","2014-08","2014-11","2015-02","2015-05","2015-08","2015-11","2016-02","2016-05","2016-08","2016-11","2017-02","2017-05","2017-08","2017-11","2018-02","2018-05","2018-08","2018-11","2019-02","2019-05","2019-08","2019-11","2020-02","2020-05","2020-08","2020-11","2021-02","2021-05","2021-08","2021-11","2022-02","2022-05","2022-08"
"revenue","10521.478","11548.974","10897.239","15142.216","11578.003","12658.077","11996.9","16719.246","12933.346","14059.012","13283.648","19875.221","14151.624","15112.016","14659.255","20477.26","15810","16959.886","16614","23100","16395","16843","15806","22378","17299","18742","17780","24125","19239","20875","20623","28178","21628","22967","22324","32218","23715","24871","24083","32487","25017","26306","25794","35523","26866","27454","26101","35778","27220","28170","26769","36560","28099","29766","28860","42300","31809","32995","32361","44411","35069","35396","34740","47498","37040","39072","37266","53383","43208","44769","45277","62675","50363","51904","52596","72091"
"cogs","9220.121999999999","10101.977","9540.312","13229.605","10132.487","11056.064","10503.661","14654.749","11330.171","12303.85","11635.052","17476.424","12388.958","13251.752","12877.587","17931.405","13824","14833.189","14548","20298","14276","14771","13776","19512","15081","16396","15494","21024","16757","18235","18067","24680","18931","20139","19543","28210","20726","21766","21038","28418","21824","23043","22554","31037","23385","23897","22687","31096","23621","24469","23162","31649","24288","25927","24970","36697","27617","28733","28131","38671","30623","30720","30233","41310","32233","34056","32249","46401","37458","39078","39415","54733","43952","45517","46355","63558"
"gross_profit","1301.356","1446.997","1356.927","1912.611","1445.516","1602.013","1493.239","2064.497","1603.175","1755.162","1648.596","2398.797","1762.666","1860.264","1781.668","2545.855","1986","2126.697","2066","2802","2119","2072","2030","2866","2218","2346","2286","3101","2482","2640","2556","3498","2697","2828","2781","4008","2989","3105","3045","4069","3193","3263","3240","4486","3481","3557","3414","4682","3599","3701","3607","4911","3811","3839","3890","5603","4192","4262","4230","5740","4446","4676","4507","6188","4807","5016","5017","6982","5750","5691","5862","7942","6411","6387","6241","8533"
"sga","1046.538","1088.821","1055.28","1444.604","1144.871","1208.118","1174.1","1590.28","1276.469","1322.418","1292.707","1883.051","1405.194","1495.477","1441.672","1985.916","1591","1625.23","1591","2147","1677","1666","1655","2254","1777","1873","1789","2409","1941","2038","1991","2721","2144","2178","2152","3044","2332","2361","2313","3098","2501","2531","2487","3380","2696","2671","2579","3499","2806","2835","2731","3696","2940","2980","2907","4123","3224","3234","3155","4263","3475","3464","3371","4684","3732","3743","3830","5082","4320","4351","4199","5667","4718","4575","4450","6036"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","3","-8.5","2.5","","4","3","-9.800000000000001","1.211","","","","","","","13.608","","-2.865","","57","20","8","16","14","13","3","6","4","16","6","9","15","10","6","6","15","18","6","10","17","24","8","16","15","15","9","14","27","26","10","18","24","22","15","15","30","17","12","8","31","22","9","14","41","14","7","8","-29","","","","","","","",""
"total_opex","1046.538","1091.821","1046.78","1447.104","1144.871","1212.118","1177.1","1580.48","1277.68","1322.418","1292.707","1883.051","1405.194","1495.477","1441.672","1999.524","1591","1622.365","1591","2204","1697","1674","1671","2268","1790","1876","1795","2413","1957","2044","2000","2736","2154","2184","2158","3059","2350","2367","2323","3115","2525","2539","2503","3395","2711","2680","2593","3526","2832","2845","2749","3720","2962","2995","2922","4153","3241","3246","3163","4294","3497","3473","3385","4725","3746","3750","3838","5053","4320","4351","4199","5667","4718","4575","4450","6036"
"operating_income","254.818","355.176","310.147","465.507","300.645","389.895","316.139","484.017","325.495","432.744","355.889","515.746","357.472","364.787","339.996","546.331","395","504.332","475","598","422","398","359","598","428","470","491","688","525","596","556","762","543","644","623","949","639","738","722","954","668","724","737","1091","770","877","821","1156","767","856","858","1191","849","844","968","1450","951","1016","1067","1446","949","1203","1122","1463","1061","1266","1179","1929","1430","1340","1663","2275","1693","1812","1791","2497"
"net_interest_income_normal","","","","","","","","","","","","","","","","","","","-6","-7","-19","-17","-22","-23","-17","-22","-23","-26","-19","-18","-17","-21","-16","-16","-8","-6","-3","-15","-16","-21","-15","-14","-14","-18","-13","-12","-21","-28","-24","-24","-20","-24","-21","-20","-9","-34","-24","-21","-21","-18","-15","-1","-8","","-6","-4","-27","-34","-18","-29","-32","-40","-23","-30","-29","-8"
