"period_end_date","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"revenue","8549","7189","7471","7543","8666","7829","7715","7164","8854","8027","8474","8652","9581","7954","9045","8930","10452","8710","9236","9445","9599","8087","8596","9867","9739","8580","10002","9742","10716","9077","10675","10425","10779","9629","11088","10782","11341","10554","11578","11568","12309","11649","12466","12389","13391","12461","13101","13512","15244","12969","14277","13142","14784","13336","14238","12779","15351","14548","15229","14306","15303","14922","20262","19118","20877","18025","11779","14707","16249","15613","17022","18534","21819","19249","21504","20150"
"cogs","7384","6153","6375","6792","7550","6720","6433","6740","7693","6841","6734","7337","7907","6441","7022","7359","8419","6812","7215","7954","8382","6800","6998","8272","8325","7068","7723","8221","8776","7549","8229","8558","8587","7942","8128","-1189","9249","8359","8574","-1148","7065","5972","6364","7019","7656","6690","6663","7355","8623","6864","7201","7305","8406","6969","7717","7214","8729","7541","8348","8108","9001","8376","12837","11844","13034","11937","7896","11013","11775","9782","11233","12341","14567","12594","13682","19608"
"gross_profit","1165","1036","1096","751","1116","1109","1282","424","1161","1186","1740","1315","1674","1513","2023","1571","2033","1898","2021","1491","1217","1287","1598","1595","1414","1512","2279","1521","1940","1528","2446","1867","2192","1687","2960","11971","2092","2195","3004","12716","5244","5677","6102","5370","5735","5771","6438","6157","6621","6105","7076","5837","6378","6367","6521","5565","6622","7007","6881","6198","6302","6546","7425","7274","7843","6088","3883","3694","4474","5831","5789","6193","7252","6655","7822","542"
"sga","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018","2116","2047","2384","1935","2081","2101","2406","2025","2137","2305","2287","1985","1941","2022","2228","2087","2239","2213","2321","2152","2330","3368","3699","3709","3393","2455","2812","2917","3113","3168","4319","3787","3768","4100",""
"rnd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9947","","","","10557","561","580","557","590","592","584","575","603","607","605","626","689","687","676","711","708","742","731","744","794","732","828","1306","1301","1299","1334","1377","1335","1298","1272","1266","1275","1269","1287","1290",""
"total_opex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9947","","","","10557","2579","2696","2604","2974","2527","2665","2676","3009","2632","2742","2931","2976","2672","2617","2733","2936","2829","2970","2957","3115","2884","3158","4674","5000","5008","4727","3832","4147","4215","4385","4434","5594","5056","5055","5390",""
"operating_income","1165","1036","1096","751","1116","1109","1282","424","1161","1186","1740","1315","1674","1513","2023","1571","2033","1898","2021","1491","1217","1287","1598","1595","1414","1512","2279","1521","1940","1528","2446","1867","2192","1687","2960","2024","2092","2195","3004","2159","2665","2981","3498","2396","3208","3106","3762","3148","3989","3363","4145","2861","3706","3750","3788","2629","3793","4037","3924","3083","3418","3388","2751","2274","2835","1361","51","-453","259","1446","1355","599","2196","1600","2432","542"
"net_interest_income_normal","","","","","","","","","","","","","","","","","","-147","-141","-113","-139","-128","-75","-124","-103","-130","-89","-87","-95","-83","-88","-77","-90","-95","-93","-115","-72","-54","-83","-26","49","62","-50","-38","-58","8","-12","-55","-24","-67","-70","-99","-99","-84","-117","-85","-129","-143","-143","-159","-88","-168","-438","-284","-286","-302","-415","-488","-291","-284","-413","-417","-327","-371","-373","-371"
