"period_end_date","2003-03","2003-06","2003-09","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"revenue","40815","40670","36742","46290","44723","42873","39121","45599","45136","44548","40510","46264","40789","41878","37095","40303","43005","44242","41078","44116","43292","41102","31746","28974","24390","26810","30272","34811","31566","35067","29893","32428","33114","35527","33047","33917","32445","33211","32172","35731","35649","37923","35775","37570","35876","37411","34920","35870","33900","37263","38144","40251","37718","39485","35943","38654","39146","39853","36451","41326","41959","38920","37666","41793","40342","38853","36990","39715","34320","19371","37501","35952","36228","26752","35683","37678","34476","40190","39392"
"cogs","31055","31684","28381","38626","34054","33624","30956","37121","37120","36713","33471","39134","36701","36181","37552","38528","34774","36303","33238","38452","35456","39994","25001","26651","21413","23346","24817","29290","25139","27828","24233","31596","26776","29253","27617","33579","27760","28668","27414","32312","30711","33229","30792","28318","31699","31930","30870","30526","29119","30326","31213","34435","30517","32522","30668","32488","32700","35545","32534","28324","35753","33194","31568","35754","33942","33657","32282","34812","30522","17932","31223","33075","29297","22904","30057","32393","29036","33191","34354"
"gross_profit","9760","8986","8361","7664","10669","9249","8165","8478","8016","7835","7039","7130","4088","5697","-457","1775","8231","7939","7840","5664","7836","1108","6745","2323","2977","3464","5455","5521","6427","7239","5660","832","6338","6274","5430","338","4685","4543","4758","3419","4938","4694","4983","9252","4177","5481","4050","5344","4781","6937","6931","5816","7201","6963","5275","6166","6446","4308","3917","13002","6206","5726","6098","6039","6400","5196","4708","4903","3798","1439","6278","2877","6931","3848","5626","5285","5440","6999","5038"
"sga","4079","6647","6430","7004","6172","6094","6020","5726","6275","6110","6165","6057","4594","4623","4489","5442","5964","4952","4904","5341","5094","7305","4575","4456","3692","3110","3005","3222","3089","3137","2654","3029","2734","2907","2861","2382","2878","2983","2919","2749","3124","3203","3235","1288","3372","3476","3484","1510","3465","2544","2386","3361","2690","2784","2657","2841","2764","2756","2919","3088","2747","2778","2882","2996","2843","2725","2601","2992","2432","1965","2266","3530","2843","2877","2947","3248","2740","2759","2847"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","4875","","","","","","","","","","","","","","","","","","","","344","598","","","402","419","","","","-131","-36","-8","","21","","-36","-16","-23","55","61","40","53","46","69","39","104","74","-217","73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","8954","6647","6430","7004","6172","6094","6020","5726","6275","6110","6165","6057","4594","4623","4489","5442","5964","4952","4904","5341","5438","7903","4575","4456","4094","3529","3005","3222","3089","3006","2618","3021","2734","2928","2861","2346","2862","2960","2974","2810","3164","3256","3281","1357","3411","3580","3558","1293","3538","2544","2386","3361","2690","2784","2657","2841","2764","2756","2919","3088","2747","2778","2882","2996","2843","2725","2601","2992","2432","1965","2266","3530","2843","2877","2947","3248","2740","2759","2847"
"operating_income","806","2339","1931","660","4497","3155","2145","2752","1741","1725","874","1073","-506","1074","-4946","-3667","2267","2987","2936","323","2398","-6795","2170","-2133","-1117","-65","2450","2299","3338","4233","3042","-2189","3604","3346","2569","-2008","1823","1583","1784","609","1774","1438","1702","7895","766","1901","492","4051","1243","4393","4545","2455","4511","4179","2618","3325","3682","1552","998","9914","3459","2948","3216","3043","3557","2471","2107","1911","1366","-526","4012","-653","4088","971","2679","2037","2700","4240","2191"
"net_interest_income_normal","","","","","","","","","","","","","","","-1382","-2055","","","-2949","-2228","-2346","-2036","-2512","-1546","-1746","-1441","-1607","-750","-1597","-1509","-1290","2868","-1065","-969","-966","2694","-82","-102","-113","-74","-148","-150","-154","-164","-140","-147","-127","-6921","-113","-1852","-2035","-2116","-2184","-2382","-2363","-2575","-2418","-182","-176","-9218","-2480","-2464","-2531","-2516","-2417","-2419","-2447","-2429","-3012","-2549","-2073","-2172","-2028","-1382","-1713","-1671","-1599","-1593","-1826"
"other_nonoperating_income","534","-1621","-1504","-1829","-1634","-1670","-1427","-3709","-192","-999","-1717","-1356","-1842","-1742","-36","28","-2313","-2061","-143","-2567","234","-228","-231","-1473","1201","3747","269","-641","394","123","135","-399","237","229","243","767","297","114","575","1224","497","531","543","607","633","364","656","-294","649","745","781","1557","1324","1078","1132","-1879","987","896","948","1176","940","865","409","-544","470","153","321","-1918","500","4159","817","-985","1882","1146","919","10852","-4949","-1856","-1490"
"pretax_income","1340","718","427","-1169","2863","1485","718","-957","1549","726","-843","-283","-2348","-668","-6364","-5694","-46","926","-156","-4472","286","-9059","-573","-5152","-1662","2241","1112","908","2135","2847","1887","280","2776","2606","1846","1453","2038","1595","2246","1759","2123","1819","2091","8338","1259","2118","1021","-3164","1779","3286","3291","1896","3651","2875","1387","-1129","2251","2266","1770","1872","1919","1349","1094","-17","1610","205","-19","-2436","-1146","1084","2756","-3810","3942","735","1885","11218","-3848","791","-1125"
