"period_end_date","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"revenue","","22431","23047","26784","32327","31476","33174","34060","36882","36194","39373","36719","37990","37759","37614","37576","39307","36884","39075","38983","40485","37408","39649","39255","39617","35712","38180","38843","22990","37265","37383","38889","39896","37266","36984","33623","37715","36099","36760","35791","38399","34878","36060","35473","30826","32709","16778","35480","37518","32474","34167","26779","33584","35979","35759","41888"
"cogs","","24611","29384","25373","32827","27553","28609","29587","33170","31850","33979","31946","33396","33158","32946","33046","42293","32973","34399","33791","36210","35002","36777","35107","35235","31842","33915","33564","18978","32475","31903","33341","36454","32327","32210","29744","33076","33198","33067","31597","35092","31535","31471","31161","29098","30082","16682","29428","32621","27394","29160","22986","29586","31279","31350","36020"
"gross_profit","","-2180","-6337","1411","-500","3923","4565","4473","3712","4344","5394","4773","4594","4601","4668","4530","-2986","3911","4676","5192","4275","2406","2872","4148","4382","3870","4265","5279","4012","4790","5480","5548","3442","4939","4774","3879","4639","2901","3693","4194","3307","3343","4589","4312","1728","2627","96","6052","4897","5080","5007","3793","3998","4700","4409","5868"
"sga","","2497","2936","3364","4620","2730","2662","2740","3314","3000","2943","2967","3253","2973","2847","2849","5347","2952","2925","2876","3629","2941","3343","2921","2953","3117","2977","4282","1512","2818","2508","2400","2967","2356","2477","2303","2434","2372","2216","2584","2478","2099","2102","2008","2282","1970","1310","1628","2130","","2125","2148","","","2293","2477"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","1154","41","-1195","","","","118","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1803","","","2478","2504","",""
"total_opex","","2497","4090","3405","3425","2730","2662","2740","3432","3000","2943","2967","3253","2988","2847","2849","5347","2952","2925","2876","3629","2941","3343","2921","2953","3117","2977","4282","1512","2818","2508","2400","2967","2356","2477","2303","2434","2372","2216","2584","2478","2099","2102","2008","2282","1970","1310","1628","2130","1803","2125","2148","2478","2504","2293","2477"
"operating_income","","-4677","-10427","-1994","-3925","1193","1903","1733","280","1344","2451","1806","1341","1613","1821","1681","-8333","959","1751","2316","646","-535","-471","1227","1429","753","1288","997","2500","1972","2972","3148","475","2583","2297","1576","2205","529","1477","1610","829","1244","2487","2304","-554","657","-1214","4424","2767","3277","2882","1645","1520","2196","2116","3391"
"net_interest_income_normal","","-805","-2967","-715","-343","110","-250","114","-517","455","153","51","-744","165","21","190","-522","80","190","-147","-211","-14","-19","143","-302","131","-95","7","148","-42","-11","-36","-263","335","140","354","-1138","399","771","490","-1980","624","169","-37","-1109","118","110","172","-1257","549","541","570","-2464","291","61","339"
"other_nonoperating_income","","-579","-286","129312","-101","-1","-91","","1263","-395","-10","-35","2760","-635","","-78","-24618","555","189","378","752","605","523","499","1161","553","524","502","1063","560","660","497","1986","555","530","500","1926","648","637","530","2609","414","271","315","1308","-132","212","309","1929","365","327","323","3181","292","-45","367"
"pretax_income","","-6061","-13680","126603","-4369","1302","1562","1847","1026","1404","2594","1822","3357","1143","1842","1793","-33473","1594","2130","2547","1187","56","33","1869","2288","1437","1717","1506","3711","2490","3621","3609","2198","3473","2967","2430","2993","1576","2885","2630","1458","2282","2927","2582","-355","643","-892","4905","3439","4191","3750","2538","2237","2779","2132","4097"
"income_tax","","114","445","746","861","-509","-361","25","173","-137","61","-107","293","-216","-241","-357","35645","-409","-742","-842","-134","224","254","-427","-279","-529","-577","-165","2490","-559","-877","-902","-303","-787","-534","-2316","-7896","-466","-519","-100","611","-137","-524","-271","163","-357","112","-887","-642","-1177","-971","-152","-471","28","-490","-845"
"net_income_continuing","","-5947","-13235","127349","-3508","793","1201","1872","1199","1267","2655","1715","3650","927","1601","1436","2172","1185","1388","1705","1053","280","287","1442","2009","908","1140","1341","6201","1931","2744","2707","1895","2686","2433","114","-4903","1110","2366","2530","2069","2145","2403","2311","-192","286","-780","4018","2797","3014","2779","2386","1766","2807","1642","3252"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","5","-120","-69","-770","-3096","-277","-70","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","-76","332","-428","-224","-128","-76","-61","-66","-45","-45","15","-22","-35","-55","-21","163","-10","26","12","-13","-67","-9","29","-22","37","-23","18","40","22","16","61","60","-9","-3","1","29","6","24","4","-25","12","15","40","-2","8","22","27","49","8","57","34","-25","131","50","53"
"other_income_statement_items","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","","-5975","-12905","127140","-3439","1068","1536","2162","1406","3366","2992","2107","725","1315","1846","1833","1194","1175","1414","1717","1040","213","278","1471","1987","945","1117","1359","6266","1953","2866","2773","1835","2608","1660","-2981","-5151","1046","2390","2534","2044","2157","2418","2351","-194","294","-758","4045","2846","3022","2836","2420","1741","2939","1692","3305"
"preferred_dividends","","","","","81","203","202","203","896","215","468","381","-493","311","214","215","215","215","214","1019","127","88","88","87","882","","","","","","","","","","","2","14","14","15","31","38","38","37","38","38","47","48","40","45","46","46","45","45","952","26","26"
"net_income_available_to_shareholders","","-5975","-12905","127140","-3520","865","1334","1959","510","3151","2524","1726","1218","1004","1632","1618","979","960","1200","698","913","125","190","1384","1105","945","1117","1359","6266","1953","2866","2773","1835","2608","1660","-2983","-5165","1032","2375","2503","2006","2119","2381","2313","-232","247","-806","4005","2801","2976","2790","2375","1696","1987","1666","3279"
"eps_basic","-53.42","-9.779999999999999","-21.12","208","-2.27","0.5600000000000001","2.67","1.31","0.34","2.09","1.68","1.1","0.27","0.64","0.95","0.9399999999999999","0.57","0.63","0.87","0.5","0.64","0.08","0.12","0.86","0.6899999999999999","0.58","0.7","0.86","3.97","1.26","1.85","1.79","1.22","1.73","1.11","-2.06","-3.52","0.73","1.68","1.77","1.42","1.5","1.68","1.62","-0.17","0.17","-0.5600000000000001","2.8","1.95","2.06","1.92","1.64","1.17","1.36","1.14","2.26"
"eps_diluted","-53.42","-9.779999999999999","-21.12","208","-2.27","0.55","2.56","1.31","0.34","1.77","1.54","1.03","0.27","0.6","0.9","0.89","0.54","0.58","0.75","0.45","0.5600000000000001","0.06","0.11","0.8100000000000001","0.66","0.5600000000000001","0.67","0.84","3.84","1.24","1.81","1.76","1.19","1.7","1.09","-2.06","-3.52","0.72","1.66","1.75","1.4","1.48","1.66","1.6","-0.17","0.17","-0.5600000000000001","2.78","1.93","2.03","1.9","1.62","1.15","1.35","1.14","2.25"
"shares_basic","579","611","611","611","1548","1548","500","1500","1500.137","1504","1505","1562","1572","1572","1569","1570","1554","1372","1376","1386","1438","1587","1608","1612","1611","1617","1596","1577","1553","1546","1548","1550","1516","1505","1497","1445","1411","1408","1410","1412","1414","1417","1420","1428","1430","1433","1432","1432","1436","1447","1451","1452","1454","1458","1458","1448"
"shares_diluted","579","611","611","611","1581","1581","522","1500","1500.137","1817","1654","1682","1668","1692","1671","1663","1675","1507","1677","1681","1688","1691","1688","1691","1678","1686","1660","1618","1595","1580","1581","1574","1546","1532","1519","1472","1447","1430","1431","1431","1431","1436","1438","1442","1439","1440","1432","1439","1451","1464","1468","1467","1471","1470","1465","1457"
"cash_and_equiv","14053","","","","22679","23310","26773","27466","21061","20975","20471","20297","16071","17378","22184","23320","18422","20643","19697","20355","20021","19426","19864","18060","18954","15776","17627","15433","15238","14894","18923","15932","12574","12864","16598","12792","15512","14256","15087","18435","20844","17176","17072","20051","19069","38506","28228","26939","19992","21609","22920","17365","20067","16349","16710","20745"
"st_investments","141","","","","134","153","4761","6010","5555","8618","12298","11680","16148","14686","11381","10411","8988","6560","6258","8215","8972","8716","9935","9570","9222","8409","7200","8029","8163","6537","4247","8172","11841","10260","9133","8454","8313","7110","6924","5916","5966","6021","7049","6725","4174","7620","9254","9962","9046","7771","6211","6575","8609","9907","10124","9566"
