"period_end_date","2019-12","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"revenue","","0.334","3.634","0.313","0.174","0.232","26.392","57.675","97.336","195.457"
"cogs","","0.609","2.52","0.08500000000000001","0.019","3.32","151.473","245.97","292.342","492.483"
"gross_profit","","-0.275","1.114","0.228","0.155","-3.088","-125.081","-188.295","-195.006","-297.026"
"sga","","27.935","31.304","131.652","72.27200000000001","251.554","196.997","223.159","163.812","176.736"
"rnd","","133.89","169.521","167.369","176.802","242.408","163.606","186.076","200.381","213.761"
"special_charges","","","","","","","","","",""
"other_opex","","","","","","","","","",""
"total_opex","","161.825","200.825","299.021","249.074","493.962","360.603","409.235","364.193","390.497"
"operating_income","","-162.1","-199.711","-298.793","-248.919","-497.05","-485.684","-597.53","-559.199","-687.523"
"net_interest_income_normal","","-0.01","-0.044","-0.005","-0.03","-2.793","-1.263","-7.705","-7.189","16.76"
"other_nonoperating_income","","0.728","-111.463","-449.15","-12.772","-24.538","-558.715","524.272","346.031","140.811"
"pretax_income","","-161.382","-311.218","-747.948","-261.721","-524.381","-1045.662","-80.96299999999999","-220.357","-529.952"
"income_tax","","0.145","-0.057","-0.004","-0.005","-0.022","-0.018","-0.323","-0.068","-0.149"
"net_income_continuing","","-161.237","-311.275","-747.952","-261.726","-524.403","-1045.68","-81.286","-220.425","-530.101"
"net_income_discontinued","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","",""
"other_income_statement_items","","","","","","","","","",""
"net_income","","-161.237","-311.275","-747.952","-261.726","-524.403","-1045.68","-81.286","-220.425","-530.101"
"preferred_dividends","","","","2167.333","-0.001","","","","",""
"net_income_available_to_shareholders","","-161.237","-311.275","-2915.285","-261.725","-524.403","-1045.68","-81.286","-220.425","-530.101"
"eps_basic","","-0.1","-0.18","-1.8","-0.16","-0.43","-0.64","-0.05","-0.13","-0.32"
"eps_diluted","","-0.1","-0.18","-1.8","-0.16","-0.43","-0.64","-0.05","-0.13","-0.4"
"shares_basic","1618.622","1618.622","1618.622","1618.622","1618.622","1217.032","1647.556","1654.322","1669.304","1676.049"
"shares_diluted","1618.622","1618.622","1618.622","1618.622","1618.622","1217.032","1647.556","1654.322","1669.304","1690.964"
"cash_and_equiv","","","614.412","","","4796.88","6262.905","5391.844","3157.449","1264.136"
"st_investments","","","0.505","","","0.505","","","1136.633","2078.045"
"receivables","","","0.26","","","27.695","3.148","0.867","1.294","2.659"
"inventories","","","1.043","","","61.155","127.25","333.906","553.045","685.321"
"other_current_assets","","","46.336","","","100.566","113.674","137.814","118.068","126.267"
"total_current_assets","","","662.556","","","4986.801","6506.977","5864.431","4966.489","4156.428"
"equity_and_other_investments","","","","","","","","","278.055","513.735"
"ppe_gross","","","738.045","","","1159.418","1430.14","1618.3","1980.145","2383.564"
"accumulated_depreciation","","","-24.771","","","-49.735","-86.01300000000001","-124.131","-166.503","-217.41"
"ppe_net","","","713.274","","","1109.683","1344.127","1494.169","1813.642","2166.154"
"intangible_assets","","","","","","","","","",""
"goodwill","","","","","","","","","",""
"other_lt_assets","","","26.851","","","42.7","30.609","43.240000000001","71.233","51.494000000001"
"total_assets","","","1402.681","","","6139.184","7881.713","7401.84","7129.419","6887.811"
"accounts_payable","","","17.333","","","8.914","41.342","66.44","129.07","79.78100000000001"
"tax_payable","","","","","","32.728","","","",""
"current_accrued_liabilities","","","57.715","","","52.503","63.69","157.407","213.791","246.035"
"st_debt","","","0.98","","","24.674","15.281","4.399","2.47","15.716"
"current_deferred_revenue","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","",""
"other_current_liabilities","","","109.255","","","132.71","260.549","266.761","292.387","465.997"
"total_current_liabilities","","","185.283","","","269.408","396.101","511.94","654.096","825.124"
"lt_debt","","","","","","","1986.791","1988.047","1989.2","1990.571"
"noncurrent_capital_leases","","","","","","174.12","191.406","195.555","227.834","318.544"
"pension_liabilities","","","","","","","","","",""
"noncurrent_deferred_revenue","","","28.881","","","13.398","","","",""
"other_lt_liabilities","","","13.218","","","837.1","1398.06","876.829","547.903","522.325"
"total_liabilities","","","227.382","","","1294.026","3972.358","3572.371","3419.033","3656.564"
"common_stock","","","","","","","","","",""
"preferred_stock","","","2494.076","","","","","","",""
