"period_end_date","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"revenue","","731","895","954","1131","1058","1184","1262","1585","1458","1813","2016","2586","2502","2910","3203","3851","3543","4042","4501","5841","5382","6436","7011","8809","8032","9321","10328","12972","11966","13231","13727","16914","15077","16886","17652","21082","17737","18687","21470","28072","26171","29077","29010","33671","27908","28822","27714"
"cogs","","167","210","236","247","277","367","322","397","413","465","507","491","462","473","565","652","654","668","720","824","838","917","987","1047","1159","1237","1448","1611","1927","2214","2418","2796","2816","3307","3155","3491","3459","3829","4194","5210","5131","5399","5771","6348","6005","5192","5716"
"gross_profit","","564","685","718","884","781","817","940","1188","1045","1348","1509","2095","2040","2437","2638","3199","2889","3374","3781","5017","4544","5519","6024","7762","6873","8084","8880","11361","10039","11017","11309","14118","12261","13579","14497","17591","14278","14858","17276","22862","21040","23678","23239","27323","21903","23630","21998"
"sga","","119","179","196","213","247","855","319","368","379","442","404","554","510","555","633","955","894","931","1051","1143","1191","1314","1365","1632","1712","1764","1706","2060","2352","2631","2871","3443","6084","5638","3764","4855","4370","4433","4473","4880","4465","5215","6500","7692","5672","6582","7164"
"rnd","","57","99","108","124","153","705","244","297","293","344","369","409","455","492","608","1111","1062","1170","1271","1314","1343","1471","1542","1563","1834","1919","2052","1949","2238","2523","2657","2855","2860","3315","3548","3878","4015","4462","4763","5207","5197","6096","6316","7046","7707","8690","9170"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","","176","278","304","337","400","1560","563","665","672","786","773","963","965","1047","1241","2066","1956","2101","2322","2457","2534","2785","2907","3195","3546","3683","3758","4009","4590","5154","5528","6298","8944","8953","7312","8733","8385","8895","9236","10087","9662","11311","12816","14738","13379","15272","16334"
"operating_income","","388","407","414","547","381","-743","377","523","373","562","736","1132","1075","1390","1397","1133","933","1273","1459","2560","2010","2734","3117","4567","3327","4401","5122","7352","5449","5863","5781","7820","3317","4626","7185","8858","5893","5963","8040","12775","11378","12367","10423","12585","8524","8358","5664"
"net_interest_income_normal","","-7","-9","-10","-12","-13","-10","-11","-2","-10","-9","-16","-2","","","4","","2","5","7","14","27","32","50","56","67","91","108","126","145","143","176","187","198","219","258","229","228","162","146","136","118","121","120","102","76","91","77"
"other_nonoperating_income","","17","1","-25","-16","14","-12","6","-16","-10","-8","6","","","-4","-65","-19","-3","-5","-34","-17","29","-12","-3","-90","14","-4","6","-16","16","-138","-45","-36","-33","-13","-114","82","-260","6","-53","144","7","25","22","16","308","-263","-165"
"pretax_income","","398","399","379","519","382","-765","372","505","353","545","726","1130","1075","1386","1336","1114","932","1273","1432","2557","2066","2754","3164","4533","3408","4488","5236","7462","5610","5868","5912","7971","3482","4832","7329","9169","5861","6131","8133","13055","11503","12513","10565","12703","8908","8186","5576"
"income_tax","","-165","-159","-152","-217","-177","608","-431","-441","-134","-212","-301","-607","-433","-595","-530","-413","-420","-554","-536","-996","-328","-471","-537","-964","-344","-594","-529","-3193","-622","-762","-775","-1089","-1053","-2216","-1238","-1820","-959","-953","-287","-1836","-2006","-2119","-1371","-2418","-1443","-1499","-1181"
"net_income_continuing","","233","240","227","302","205","-157","-59","64","219","333","425","523","642","791","806","701","512","719","896","1561","1738","2283","2627","3569","3064","3894","4707","4269","4988","5106","5137","6882","2429","2616","6091","7349","4902","5178","7846","11219","9497","10394","9194","10285","7465","6687","4395"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","","233","240","227","302","205","-157","-59","64","219","333","425","523","642","791","806","701","512","719","896","1561","1738","2283","2627","3569","3064","3894","4707","4269","4988","5106","5137","6882","2429","2616","6091","7349","4902","5178","7846","11219","9497","10394","9194","10285","7465","6687","4395"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","","233","240","227","302","205","-157","-59","64","219","333","425","523","642","791","806","701","512","719","896","1561","1738","2283","2627","3569","3064","3894","4707","4269","4988","5106","5137","6882","2429","2616","6091","7349","4902","5178","7846","11219","9497","10394","9194","10285","7465","6687","4395"
"eps_basic","","0.06","0.07000000000000001","0.06","0.15","0.06","-0.08","-0.02","0.03","0.09","0.14","0.17","0.21","0.25","0.31","0.31","0.25","0.18","0.26","0.32","0.55","0.61","0.8","0.91","1.24","1.06","1.34","1.62","1.47","1.72","1.76","1.78","2.4","0.85","0.92","2.13","2.58","1.72","1.82","2.75","3.94","3.34","3.67","3.27","3.72","2.74","2.47","1.64"
"eps_diluted","","0.06","0.06","0.06","0.14","0.06","-0.08","-0.02","0.03","0.09","0.13","0.17","0.2","0.25","0.3","0.3","0.25","0.18","0.25","0.31","0.54","0.6","0.78","0.9","1.21","1.04","1.32","1.59","1.44","1.69","1.74","1.76","2.38","0.85","0.91","2.12","2.56","1.71","1.8","2.71","3.88","3.3","3.61","3.22","3.67","2.72","2.46","1.64"
"shares_basic","2420","2456","2456","2456","2456","2138.085","1879","2420","2372","2386","2407","2430","2456","2545","2560","2587","2761","2784","2796","2808","2824","2843","2856","2871","2881","2891","2900","2904","2910","2906","2895","2885","2875","2856","2855","2854","2851","2851","2850","2850","2854","2847","2834","2814","2764","2725","2704","2682"
"shares_diluted","2517","2556","2556","2556","2556","2138.085","1879","2420","3012","2499","2502","2528","2556","2609","2615","2644","2808","2836","2850","2863","2868","2905","2921","2931","2946","2944","2951","2956","2962","2945","2930","2913","2891","2869","2875","2874","2879","2868","2879","2891","2903","2882","2877","2859","2808","2742","2713","2687"
"cash_and_equiv","1785","","","","1512","1282","2098","2478","2384","2325","3001","3100","3323","2998","4384","8999","4315","3419","5123","4308","4907","6456","5108","6038","8903","7104","6252","7201","8079","12082","11552","9637","10019","11076","13877","15979","19079","23618","21045","11617","17576","19513","16186","14496","16601","14886","12681","14308"
"st_investments","","","","","2396","2628","8090","7974","7242","7147","7251","6228","8126","9631","9572","5251","6884","8994","9002","11526","13527","14165","18185","20102","20546","25202","29200","31088","33632","31874","30757","31569","31095","34167","34719","36290","35776","36671","37195","44003","44378","44706","47894","43579","31397","29004","27808","27468"
"receivables","373","","","","547","482","1145","1202","1170","1085","782","879","1109","1006","1190","1363","1678","1508","1815","2010","2559","2348","2801","3070","3993","3415","3897","4424","5832","5115","5590","6058","7587","6475","7513","7673","9518","7289","7483","8024","11335","10276","11698","12088","14039","11390","11525","11227"
"inventories","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_assets","88","","","","149","627","634","631","471","485","387","342","512","425","411","502","513","1083","1011","1295","659","843","916","1118","959","1209","1455","1490","1020","1341","1934","1883","1779","1582","1852","2137","1852","1771","2407","2155","2381","2827","4919","5258","4629","3985","3973","5312"
"total_current_assets","2246","","","","4604","5019","11967","12285","11267","11042","11421","10549","13070","14060","15557","16115","13390","15004","16951","19139","21652","23812","27010","30328","34401","36930","40804","44203","48563","50412","49833","49147","50480","53300","57961","62079","66225","69349","68130","65799","75670","77322","80697","75421","66666","59265","55987","58315"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","","","6164","6234","6342","6393","6758","6775","6775","6536","6528"
"ppe_gross","820","","","","1925","2392","2734","3023","3273","3535","3591","3821","4142","4370","4794","5319","5784","6574","6916","7370","7819","8813","9756","10778","11803","13032","14668","16446","18337","21292","23918","27196","31573","41749","46023","50333","55446","58098","61517","65867","70399","74412","79169","83438","90044","95276","104152","110772"
"accumulated_depreciation","-246","","","","-450","-537","-629","-734","-882","-1002","-1014","-1136","-1260","-1296","-1460","-1616","-1817","-1955","-1961","-2035","-2132","-2346","-2652","-2879","-3212","-3570","-4040","-4288","-4616","-5081","-5561","-6084","-6890","-7657","-8752","-9646","-10663","-11612","-13082","-14137","-15418","-16490","-17735","-18649","-20080","-21453","-22434","-23393"
"ppe_net","574","","","","1475","1855","2105","2289","2391","2533","2577","2685","2882","3074","3334","3703","3967","4619","4955","5335","5687","6467","7104","7899","8591","9462","10628","12158","13721","16211","18357","21112","24683","34092","37271","40687","44783","46486","48435","51730","54981","57922","61434","64789","69964","73823","81718","87379"
"intangible_assets","59","","","","80","107","709","833","801","847","869","847","883","842","815","1317","3929","3774","3605","3437","3246","3067","2879","2702","2535","2360","2186","2050","1884","1735","1573","1451","1294","1150","994","853","894","838","859","744","623","505","514","365","634","910","965","875"
"goodwill","37","","","","82","82","100","590","587","654","762","762","839","840","857","2612","17981","18005","18025","18024","18026","18029","18043","18085","18122","18126","18129","18213","18221","18268","18263","18304","18301","18333","18334","18338","18715","18811","19029","19031","19050","19056","19219","19065","19197","19923","20229","20268"
"other_lt_assets","74","","","","90","121","47","41","57","87","95","90","221","212","206","441","699","605","594","534","796","700","703","660","1312","1836","2096","2374","2135","2319","2265","2438","2576","2602","2446","2461","2673","2887","3238","2969","2758","2376","2352","3187","2751","3522","4344","5529"
"total_assets","2990","","","","6331","7184","14928","16038","15103","15163","15724","14933","17895","19028","20769","24188","39966","42007","44130","46469","49407","52075","55739","59674","64961","68714","73843","78998","84524","88945","90291","92452","97334","109477","117006","124418","133376","138371","139691","146437","159316","163523","170609","169585","165987","164218","169779","178894"
"accounts_payable","29","","","","63","129","43","59","65","75","55","36","87","85","146","120","176","129","139","149","196","149","130","260","302","170","323","383","380","593","419","590","820","604","655","860","1363","829","920","1106","1331","878","973","2195","4083","3246","4008","3871"
"tax_payable","","","","","","","","","","","","","","","","","","","","","","","","","155","","","","340","","","","491","","","","624","","","","2038","","","","1256","","",""
"current_accrued_liabilities","137","","","","","337","441","409","46","430","505","453","87","525","666","709","164","1300","1472","1338","192","1389","1770","2018","331","2400","2626","2503","685","4003","3720","4255","1531","7980","10878","10877","7080","12446","8496","8684","3036","9411","11510","13158","4646","15226","15420","16036"
"st_debt","","","","","","","","","","","","","","","","","","","","","201","","","","","","","","","","","","500","","","","","","","","","","","","","","",""
"current_deferred_revenue","42","","","","90","93","85","85","30","30","32","36","38","38","53","48","66","55","49","47","56","55","79","78","90","80","88","105","98","94","91","115","147","142","198","225","269","247","264","379","382","382","391","464","561","520","532","514"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","75","","","","467","178","153","155","546","190","172","171","649","188","176","208","904","189","182","241","1273","216","232","239","1997","278","278","314","2257","396","440","502","3528","537","560","590","4917","712","729","800","7171","1006","949","909","9462","935","982","975"
"total_current_liabilities","389","","","","899","1039","1034","1080","1052","1063","1080","984","1100","1037","1214","1234","1424","1746","1881","1792","1925","1809","2211","2595","2875","2928","3315","3305","3760","5086","4670","5462","7017","9908","12979","13328","15053","15069","11308","11944","14981","12717","14874","17812","21135","21086","22217","22687"
"lt_debt","250","","","","","","","","1500","1500","1500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9922"
"noncurrent_capital_leases","117","","","","398","404","394","530","491","420","351","287","237","191","153","129","119","113","110","109","107","","","","","","","","","","","","","6565","7122","8356","9524","9509","9633","9641","9631","10574","10956","11554","12746","12894","14792","14687"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","","","","","","","47","","","","769","","","","","","","","","","","","50","","","","673","","","","","","","","","","","","","","",""
"other_lt_liabilities","72","","","","135","144","191","254","305","356","444","614","1041","1063","1056","1587","1558","2647","2687","3148","3157","3116","3145","2964","2892","3598","4047","4485","6367","6239","6239","6648","5517","6488","8143","8735","7745","8489","8303","7121","6414","6575","6552","6859","7227","7010","7003","7504"
"total_liabilities","828","","","","1432","1587","1619","1864","3348","3339","3375","1885","2425","2291","2423","2950","3870","4506","4678","5049","5189","4925","5356","5559","5767","6526","7362","7790","10177","11325","10909","12110","13207","22961","28244","30419","32322","33067","29244","28706","31026","29866","32382","36225","41108","40990","44012","54800"
"common_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preferred_stock","615","","","","615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","606","","","","1606","1171","1654","1595","1659","1878","2211","2636","3159","3801","4592","5398","6099","6611","7330","8226","9787","11297","13352","15731","21670","24175","27560","31209","33990","36780","38237","38767","41981","43764","44968","49789","55692","59160","62784","68513","77345","82343","85097","79233","69761","67712","69249","67056"
"aoci","-6","","","","-6","-7","-29","-6","2","-15","-29","13","14","15","-5","-109","-228","-447","-357","-380","-455","-276","-374","-372","-703","-626","-370","-200","-227","-294","-687","-777","-760","-781","-483","-849","-489","-544","-142","308","927","154","285","-207","-693","-1996","-3411","-5054"
"apic","947","","","","2684","4433","11684","12585","10094","9961","10167","10399","12297","12921","13759","15949","30225","31337","32479","33574","34886","36129","37405","38756","38227","38639","39291","40199","40584","41134","41832","42352","42906","43533","44277","45059","45851","46688","47805","48910","50018","51160","52845","54334","55811","57512","59929","62092"
"treasury_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
