"period_end_date","2016-12","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"revenue","","","88.416","27.46","25.831","36.662","32.816","14.115","10.03","13.338","10.517","4","29","12","229","1743","4215","4829","6949","5940","4566","3220"
"cogs","","","","","","","","","","","","","","","8","193","750","722","952","1017","1381","1100"
"gross_profit","","","88.416","27.46","25.831","36.662","32.816","14.115","10.03","13.338","10.517","4","29","12","221","1550","3465","4107","5997","4923","3185","2120"
"sga","","","15.905","16.317","21.387","18.525","38.023","27.253","28.487","28.173","26.087","24","37","48","79","77","121","168","201","268","211","278"
"rnd","","","117.827","90.124","104.479","109.05","150.429","130.413","128.305","119.637","117.645","115","152","344","759","401","421","521","648","554","710","820"
"special_charges","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","-3.488","-1.579","-3.02","-5.095","-2.605","-1.91","-3.053","-3.708","-3.329","-4","-38","-145","-342","-194","-139","-140","-262","-126","-183","-144"
"total_opex","","","130.244","104.862","122.846","122.48","185.847","155.756","153.739","144.102","140.403","135","151","247","496","284","403","549","587","696","738","954"
"operating_income","","","-41.828","-77.402","-97.015","-85.818","-153.031","-141.641","-143.709","-130.764","-129.886","-131","-122","-235","-275","1266","3062","3558","5410","4227","2447","1166"
"net_interest_income_normal","","","3.651","5.182","6.376","5","7.369","9.439","8.557","7.595","13.409","7","4","4","","1","-2","","1","9","35","50"
"other_nonoperating_income","","","0.062","-0.156","0.196","0.487","4.404","-0.398","-0.112","-0.224","-7.266","","1","-1","4","-7","3","-6","-1","-7","-8","1"
"pretax_income","","","-38.115","-72.376","-90.443","-80.331","-141.258","-132.6","-135.264","-123.393","-123.743","-124","-117","-232","-271","1260","3063","3552","5410","4229","2474","1217"
"income_tax","","","0.171","","-0.158","","-0.168","0.024","0.324","0.178","0.474","","","-1","-2","-39","-283","-219","-542","-572","-277","-174"
"net_income_continuing","","","-37.944","-72.376","-90.601","-80.331","-141.426","-132.576","-134.94","-123.215","-123.269","-124","-117","-233","-273","1221","2780","3333","4868","3657","2197","1043"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","","","","","","","","","","","","","","","","","","","","",""
"net_income","","","-37.944","-72.376","-90.601","-80.331","-141.426","-132.576","-134.94","-123.215","-123.269","-124","-117","-233","-273","1221","2780","3333","4868","3657","2197","1043"
"preferred_dividends","","","3.482","3.481","3.481","3.361","2.673","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","","","-41.426","-75.857","-94.08199999999999","-83.69199999999999","-144.099","-132.576","-134.94","-123.215","-123.269","-124","-117","-233","-273","1221","2780","3333","4868","3657","2197","1043"
"eps_basic","-0.85","","-0.14","-0.26","-0.32","-0.27","-0.43","-0.4","-0.41","-0.37","-0.37","-0.35","-0.31","-0.59","-0.6899999999999999","3.05","6.93","8.27","12.03","9.09","5.55","2.67"
"eps_diluted","-0.85","","-0.14","-0.26","-0.32","-0.27","-0.43","-0.4","-0.41","-0.37","-0.37","-0.35","-0.31","-0.59","-0.6899999999999999","2.84","6.46","7.7","11.29","8.58","5.24","2.53"
"shares_basic","296.681","296.681","296.681","296.681","296.681","324.411","328.799","328.81","329.176","330.769","335.223","353","381","395","396","400","402","404","406","402","396","390"
"shares_diluted","296.681","296.681","296.681","296.681","296.681","324.411","328.799","328.81","329.176","330.769","335.223","353","381","395","396","430","431","434","431","426","419","412"
"cash_and_equiv","50.08","","134.859","","","167.06","658.364","502.934","151.624","173.711","235.876","391.72","1761.629","1505.581","2624","5442","5603","5550","6848","5048","2873","3027"
"st_investments","1008.058","","621.17","","","905.143","863.063","605.99","918.722","884.829","867.124","825.981","955.384","1770.721","1984","2293","2387","3356","3879","5067","5024","5321"
"receivables","17.951","","18.404","","","11.557","30.583","24.008","17.872","25.164","16.297","18.793","57.85","213.453","1408","3228","2071","3199","3296","3364","2844","2821"
"inventories","","","","","","","","","","","","","","","47","494","643","965","1441","1942","1921","2077"
"other_current_assets","11.063","","8.789999999999999","","","34.187","10.996","7.895","9.1999999999998","10.762","9.507000000000101","13.442","21.881","87.456","235","246","265","355","607","929","901","1051"
"total_current_assets","1087.152","","783.223","","","1117.947","1563.006","1140.827","1097.418","1094.466","1128.804","1249.936","2796.744","3577.211","6298","11703","10969","13425","16071","16350","13563","14297"
"equity_and_other_investments","236.569","","145.851","","","150.355","172.99","437.659","365.032","279.86","159.987","502.479","354.916","691.9690000000001","639","468","4207","6442","6843","9171","10162","8655"
"ppe_gross","109.016","","187.062","","","206.457","276.433","285.195","287.736","290.089","382.493","404.387","425.845","480.583","507","596","1102","1234","1735","1904","1912","2712"
"accumulated_depreciation","-27.809","","-48.031","","","","-64.456","-71.735","-79.227","-86.401","-94.584","-101.788","-103.86","-111.99","-120","-135","-204","-274","-352","-431","-466","-580"
"ppe_net","81.20699999999999","","139.031","","","206.457","211.977","213.46","208.509","203.688","287.909","302.599","321.985","368.593","387","461","898","960","1383","1473","1446","2132"
"intangible_assets","","","","","","","","","","","","","","","","","","","","","",""
"goodwill","","","","","","","","","","","","","","","","","","","","","",""
