"period_end_date","2003-03","2003-06","2003-09","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"revenue","55.669","63.187","72.202","81.185","100.37","120.321","141.644","138.276","152.446","164.027","172.74","193","224.126","239.351","255.95","277.233","305.32","303.693","293.972","302.355","326.183","337.614","341.269","359.595","394.098","408.509","423.12","444.542","493.665","519.819","553.2190000000001","595.922","718.553","788.61","821.8390000000001","875.575","869.7910000000001","889.163","905.0890000000001","945.239","1023.961","1069.372","1105.999","1175.23","1270.089","1340.407","1409.432","1484.728","1573.129","1644.694","1738.355","1823.333","1957.736","2105.204","2290.188","2477.541","2636.635","2785.464","2984.859","3285.755","3700.856","3907.27","3999.374","4186.841","4520.992","4923.116","5244.905","5467.434","5767.691","6148.286","6435.637","6644.442","7163.282","7341.777","7483.467","7709.318","7867.767","7970.141","7925.589"
"cogs","30.007","35.241","38.648","44.464","56.627","69.788","71.601","133.696","111.121","117.849","115.649","121.156","148.265","150.579","158.793","169.348","194.972","196.693","194.453","200.05","222.805","230.087","224.496","232.846","259.268","269.243","275.274","275.486","307.162","314.934","344.469","390.79","438.151","489.978","536.617","575.155","623.933","643.428","662.638","722.059","736.952","760.674","798.9","820.677","869.186","914.848","954.394","1014.332","1046.401","1121.752","1173.958","1249.365","1369.54","1473.098","1532.844","1881.98","1657.024","1902.308","1992.98","2480.688","2300.579","2402.431","2531.128","2733.4","2870.614","3005.657","3097.919","3466.023","3599.701","3643.707","3867.751","4165.16","3868.511","4018.008","4206.589","5239.575","4284.705","4690.755","4788.665"
"gross_profit","25.662","27.946","33.554","36.721","43.743","50.533","70.04300000000001","4.58","41.325","46.178","57.091","71.84399999999999","75.861","88.77200000000001","97.157","107.885","110.348","107","99.51900000000001","102.305","103.378","107.527","116.773","126.749","134.83","139.266","147.846","169.056","186.503","204.885","208.75","205.132","280.402","298.632","285.222","300.42","245.858","245.735","242.451","223.18","287.009","308.698","307.099","354.553","400.903","425.559","455.038","470.396","526.728","522.942","564.397","573.968","588.196","632.106","757.3440000000001","595.561","979.611","883.1559999999999","991.879","805.067","1400.277","1504.839","1468.246","1453.441","1650.378","1917.459","2146.986","2001.411","2167.99","2504.579","2567.886","2479.282","3294.771","3323.769","3276.878","2469.743","3583.062","3279.386","3136.924"
"sga","26.39","20.975","25.96","30.348","45.054","42.264","43.648","-4.836","42.542","33.192","43.004","60.615","61.26","53.804","69.315","77.3","84.32599999999999","59.102","62.061","65.32299999999999","68.634","53.403","60.959","66.379","75.256","59.483","70.099","84.239","90.759","89.68000000000001","97.14100000000001","80.72","127.257","125.653","118.9","157.765","164.992","148.034","143.795","121.403","163.212","158.455","154.439","174.137","192.998","180.777","223.678","279.474","286.166","293.046","318.994","333.215","335.235","354.436","435.209","288.302","465.561","488.266","528.016","385.481","671.389","743.5309999999999","678.958","905.885","818.53","827.807","786.971","1133.523","755.917","711.606","799.221","1038.104","809.708","938.818","957.7380000000001","1190.503","953.9059999999999","984.2569999999999","941.167"
"rnd","4.183","4.123","4.738","4.84","5.039","5.652","7.997","7.287","8.566000000000001","8.648","8.955","9.218999999999999","11.206","12.043","11.929","13.201","15.715","18.907","18.216","18.557","20.267","22.186","23.368","24.052","24.2","27.119","30.014","33.209","37.399","37.863","42.108","45.959","50.905","57.865","69.48","80.783","82.801","81.547","82.521","82.139","91.97499999999999","93.126","95.54000000000001","98.128","110.31","115.182","120.953","125.876","143.106","155.061","171.762","180.859","203.508","207.3","216.099","153.325","257.108","267.083","255.236","174.283","282.31","299.095","308.62","331.789","372.764","383.233","379.776","409.376","453.817","435.045","453.802","486.936","525.207","537.321","563.8869999999999","647.47","657.53","716.846","662.739"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","-2.56","","-0.116","-0.388","-0.788","-1.387","-0.5629999999999999","-1.142","-1.304","-0.908","-9.282","-2.31","-1.696","","-2.263","-1.628","-1.603","","-0.118","-1.604","2.819","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","30.573","25.098","30.698","35.188","50.093","47.916","51.645","-0.109","51.108","41.724","51.571","69.04600000000001","71.07899999999999","65.28400000000001","80.102","89.197","99.133","68.727","77.967","82.184","88.901","73.32599999999999","82.699","88.828","99.456","86.48399999999999","98.509","120.267","128.158","127.543","139.249","126.679","178.162","183.518","188.38","238.548","247.793","229.581","226.316","203.542","255.187","251.581","249.979","272.265","303.308","295.959","344.631","405.35","429.272","448.107","490.756","514.074","538.7430000000001","561.736","651.308","441.627","722.669","755.349","783.252","559.764","953.699","1042.626","987.578","1237.674","1191.294","1211.04","1166.747","1542.899","1209.734","1146.651","1253.023","1525.04","1334.915","1476.139","1521.625","1837.973","1611.436","1701.103","1603.906"
"operating_income","-4.911","2.848","2.856","1.533","-6.35","2.617","18.398","4.689","-9.782999999999999","4.454","5.52","2.798","4.782","23.488","17.055","18.688","11.215","38.273","21.552","20.121","14.477","34.201","34.074","37.921","35.374","52.782","49.337","48.789","58.345","77.342","69.501","78.453","102.24","115.114","96.842","61.872","-1.935","16.154","16.135","19.638","31.822","57.117","57.12","82.288","97.595","129.6","110.407","65.04600000000001","97.456","74.83499999999999","73.64100000000001","59.894","49.453","70.37","106.036","153.934","256.942","127.807","208.627","245.303","446.578","462.213","480.668","215.767","459.084","706.419","980.239","458.512","958.256","1357.928","1314.863","954.242","1959.856","1847.63","1755.253","631.77","1971.626","1578.283","1533.018"
"net_interest_income_normal","","","","","","","","","","","","","","","","","","","","","7.237","","0.859","0.175","0.9399999999999999","0.192","1.134","-2.013","-3.987","-3.972","-4.092","-3.894","-4","-4.29","-3.219","-5.037","-5.09","-5.499","-4.189","-4.734","-5.763","-10.468","-7.629","-8.284000000000001","-8.651","-12.228","-12.87","-19.53","-59.03","-34.345","-31.403","-39.163","-9.574","-19.138","-26.909","-63.665","-33.15","-113.845","-92.39","-113.973","-146.962","-33.577","-101.858","-96.371","-59.425","-205.503","32.084","-309.179","-162.386","-322.326","-453.403","-447.825","74.646","-253.841","-94.294","-80.917","8.066000000000001","44.771","88.82899999999999"
