"period_end_date","2003-08","2003-11","2004-02","2004-05","2004-08","2004-11","2005-02","2005-05","2005-08","2005-11","2006-02","2006-05","2006-08","2006-11","2007-02","2007-05","2007-08","2007-11","2008-02","2008-05","2008-08","2008-11","2009-02","2009-05","2009-08","2009-11","2010-02","2010-05","2010-08","2010-11","2011-02","2011-05","2011-08","2011-11","2012-02","2012-05","2012-08","2012-11","2013-02","2013-05","2013-08","2013-11","2014-02","2014-05","2014-08","2014-11","2015-02","2015-05","2015-08","2015-11","2016-02","2016-05","2016-08","2016-11","2017-02","2017-05","2017-08","2017-11","2018-02","2018-05","2018-08","2018-11","2019-02","2019-05","2019-08","2019-11","2020-02","2020-05","2020-08","2020-11","2021-02","2021-05","2021-08","2021-11","2022-02","2022-05","2022-08"
"revenue","3024.9","2837.1","2904","3487.1","3561.8","3148.3","3308.2","3721.4","3862","3474.7","3612.8","4005.4","4194.1","3821.7","3926.9","4383.2","4655.1","4339.5","4544.4","5088","5432.2","4590.1","4440.8","4713","4799","4405","4733","5077","5175","4842","5079","5021","6081","5546","5656","6236","6474","5955","6187","6697","6971","6431","6972","7425","7982","7380","7460","7779","8414","7686","8032","8244","9061","8180","8432","8677","9070","8554","8984","9789","9948","9374","9611","10184","10660","10326","10104","6313","10594","11243","10357","12344","12248","11357","10871","12234","12687"
"cogs","1723.4","1637.5","1682.1","1958.4","1976","1760.2","1849.4","2038.7","2113.9","1963.3","2038.7","2252","2344.9","2164.6","2191.7","2464.2","2568.1","2418.4","2496.5","2756.6","2870.1","2540.1","2492.3","2669.2","2583","2445","2515","2671","2741","2649","2752","2773","3388","3170","3171","3567","3646","3425","3451","3757","3839","3605","3869","4040","4261","4053","4034","4186","4419","4185","4343","4458","4938","4564","4682","4854","5108","4876","5046","5411","5551","5269","5272","5551","5789","5782","5631","3960","5853","6396","5638","6689","6552","6144","5804","6731","7072"
"gross_profit","1301.5","1199.6","1221.9","1528.7","1585.8","1388.1","1458.8","1682.7","1748.1","1511.4","1574.1","1753.4","1849.2","1657.1","1735.2","1919","2087","1921.1","2047.9","2331.4","2562.1","2050","1948.5","2043.8","2216","1960","2218","2406","2434","2193","2327","2248","2693","2376","2485","2669","2828","2530","2736","2940","3132","2826","3103","3385","3721","3327","3426","3593","3995","3501","3689","3786","4123","3616","3750","3823","3962","3678","3938","4378","4397","4105","4339","4633","4871","4544","4473","2353","4741","4847","4719","5655","5696","5213","5067","5503","5615"
"sga","869.6","902.5","892","1037.9","1073.6","973.2","1035.7","1139.2","1104.4","1054.7","1086.6","1232.1","1289.7","1223.7","1243.3","1272","1434.7","1429.5","1403.2","1686.3","1856.4","1546.8","1352.1","1394.3","1546","1479","1563","1738","1673","1611","1637","1440","1823","1731","1708","1910","2059","1836","1863","2038","2058","2091","2169","2448","2480","2438","2379","2595","2577","2560","2566","2766","2897","2505","2496","2665","2856","2768","2767","3120","3063","3142","3091","3406","3328","3324","3283","3191","2975","3267","3041","3742","3572","3759","3438","4035","3920"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","869.6","902.5","892","1037.9","1073.6","973.2","1035.7","1139.2","1104.4","1054.7","1086.6","1232.1","1289.7","1223.7","1243.3","1272","1434.7","1429.5","1403.2","1686.3","1856.4","1546.8","1352.1","1394.3","1546","1479","1563","1738","1673","1611","1637","1440","1823","1731","1708","1910","2059","1836","1863","2038","2058","2091","2169","2448","2480","2438","2379","2595","2577","2560","2566","2766","2897","2505","2496","2665","2856","2768","2767","3120","3063","3142","3091","3406","3328","3324","3283","3191","2975","3267","3041","3742","3572","3759","3438","4035","3920"
"operating_income","431.9","297.1","329.9","490.8","512.2","414.9","423.1","543.5","643.7","456.7","487.5","521.3","559.5","433.4","491.9","647","652.3","491.6","644.7","645.1","705.7","503.2","596.4","649.5","670","481","655","668","761","582","690","808","870","645","777","759","769","694","873","902","1074","735","934","937","1241","889","1047","998","1418","941","1123","1020","1226","1111","1254","1158","1106","910","1171","1258","1334","963","1248","1227","1543","1220","1190","-838","1766","1580","1678","1913","2124","1454","1629","1468","1695"
"net_interest_income_normal","","","","","","","","","","","","","","","","","","","","","","5","-3","-2.6","-1","-2","-1","-2","1","-1","","-4","","-3","","-1","3","1","2","-3","-8","-8","-9","-8","-9","-9","-6","-4","-4","-5","-5","-5","-7","-15","-19","-18","-16","-13","-13","-12","-11","-14","-12","-12","-15","-12","-12","-50","-65","-70","-64","-63","-57","-55","-53","-40","-13"
