"period_end_date","2003-03","2003-06","2003-09","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"revenue","8525","9900","12348","13982","12487","12274","12831","11395","13091","11452","11263","12547","11747","11741","12280","12603","12474","11084","11990","12870","11848","12129","11973","12346","10867","10984","11621","16537","16576","17132","15995","15462","16502","16485","16609","11917","14885","13968","12953","13891","12410","12973","12643","13558","11353","12773","12361","13118","10864","11853","12087","14047","13005","13147","13045","13628","12779","12896","13168","13703","12906","13466","13298","1155","13118","13264","12680","1843","10083","9864","10277","11427","14516","18899","24035","23838","25661","27742","22638"
"cogs","1065","1980","3285","3266","1794","1752","1640","1206","2191","1762","1611","1982","1671","1790","1962","2217","1887","2109","4618","2625","1986","2289","2122","1715","1408","1756","1789","3935","4202","3684","3790","3112","3693","3571","3409","2051","2745","2376","2309","2753","2263","2242","2287","2794","2045","2462","2368","2702","1838","2180","2219","3410","2851","3174","3085","3211","2468","2660","2844","3256","2563","2916","2694","814","2433","2576","2602","443","1940","1826","2007","2711","4157","6996","9932","9736","9984","8648","6063"
"gross_profit","7460","7920","9063","10716","10693","10522","11191","10189","10900","9690","9652","10565","10076","9951","10318","10386","10587","8975","7372","10245","9862","9840","9851","10631","9459","9228","9832","12602","12374","13448","12205","12350","12809","12914","13200","9866","12140","11592","10644","11138","10147","10731","10356","10764","9308","10311","9993","10416","9026","9673","9868","10637","10154","9973","9960","10417","10311","10236","10324","10447","10343","10550","10604","341","10685","10688","10078","1400","8143","8038","8270","8716","10359","11903","14103","14102","15677","19094","16575"
"sga","2744","3744","3994","4629","3933","4258","4036","3077","4085","3766","3526","4355","3395","3881","3751","4562","3361","3844","3768","4653","3492","3863","3523","3659","2876","3350","3282","5367","4403","4774","4599","5197","4503","4800","4457","3946","3968","3665","3491","4337","3217","3591","3395","4152","3040","3520","3556","3981","3104","3386","3270","5048","3385","3471","3559","4430","3315","3430","3504","4555","3412","3542","3494","2164","3339","3511","3260","2616","2541","2659","2658","3739","2777","2923","2899","4104","2593","3048","3391"
"rnd","1218","1738","1869","2407","1649","1819","1888","2157","1764","1830","1739","1969","1543","1742","1902","2412","1665","2165","1999","2260","1791","2122","1885","2936","1705","1715","1632","2813","2221","2181","2188","2893","2091","2231","2176","2194","2062","1600","1887","2021","1710","1530","1627","1811","1623","1759","1802","3209","1885","1734","1722","2348","1731","1748","1881","2532","1716","1787","1865","2316","1743","1797","2008","2211","1703","1842","2283","2558","1672","2078","2300","3343","1994","2239","2681","6915","2301","2815","2696"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","4","572","613","998","823","830","843","856","882","856","833","830","825","823","798","815","815","783","774","756","779","663","621","3409","521","583","556","901","1411","1378","3178","-603","1376","1384","1389","1327","1420","1275","1211","1220","1219","1140","1117","1123","1117","1001","972","949","940","872","937","980","1006","961","968","1122","1186","1208","1177","1187","1196","1191","1253","1096","1183","1184","1212","851","849","869","862","769","858","917","968","957","835","822","822"
"total_opex","3966","6054","6476","8034","6405","6907","6767","6090","6731","6452","6098","7154","5763","6446","6451","7789","5841","6792","6541","7669","6062","6648","6029","10004","5102","5648","5470","9081","8035","8333","9965","7487","7970","8415","8022","7467","7450","6540","6589","7578","6146","6261","6139","7086","5780","6280","6330","8139","5929","5992","5929","8376","6122","6180","6408","8084","6217","6425","6546","8058","6351","6530","6755","5471","6225","6537","6755","6025","5062","5606","5820","7851","5629","6079","6548","11976","5729","6685","6909"
"operating_income","3494","1866","2587","2682","4288","3615","4424","4099","4169","3238","3554","3411","4313","3505","3867","2597","4746","2183","831","2576","3800","3192","3822","627","4357","3580","4362","3521","4339","5115","2240","4863","4839","4499","5178","2399","4690","5052","4055","3560","4001","4470","4217","3678","3528","4031","3663","2277","3097","3681","3939","2261","4032","3793","3552","2333","4094","3811","3778","2389","3992","4020","3849","-5130","4460","4151","3323","-4625","3081","2432","2450","865","4730","5824","7555","2126","9948","12409","9666"
"net_interest_income_normal","","","","","","","","","","","","","","","","","","","","","","","","","","","-198","-338","-410","-304","-327","-356","-353","-287","-314","-271","-309","-293","-272","-266","-276","-254","-246","-235","-229","-239","-235","-231","-216","-159","-157","-196","-193","-170","-168","-184","-228","-218","-221","-214","-233","-246","-228","-277","-295","-330","-349","-375","-356","-348","-330","-342","-336","-303","-315","-301","-308","-263","-241"
