"period_end_date","2018-12","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"revenue","","","147.612","161.57","200.392","251.914","310.009","386.976","454.1","509.336","568.769","537.134","591.207","517.707"
"cogs","","","37.221","41.793","53.669","65.818","78.61799999999999","97.937","116.93","130.015","151.988","135.632","143.157","126.437"
"gross_profit","","","110.391","119.777","146.723","186.096","231.391","289.039","337.17","379.321","416.781","401.502","448.05","391.27"
"sga","","","111.301","143.334","179.52","185.906","239.931","327.451","355.368","318.522","382.861","375.351","406.56","455.726"
"rnd","","","32.697","49.409","40.249","51.708","60.067","96.64400000000001","124.748","138.245","173.57","177.762","211.757","235.551"
"special_charges","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","",""
"total_opex","","","143.998","192.743","219.769","237.614","299.998","424.095","480.116","456.767","556.431","553.1130000000001","618.317","691.277"
"operating_income","","","-33.607","-72.96599999999999","-73.04600000000001","-51.518","-68.607","-135.056","-142.946","-77.446","-139.65","-151.611","-170.267","-300.007"
"net_interest_income_normal","","","1.461","1.247","0.294","0.217","0.064","0.005","0.026","0.028","-6.965","-9.754","-5.694","2.759"
"other_nonoperating_income","","","-0.717","-3.157","0.494","1.306","1.325","-1.05","0.01","-0.77","0.014","-0.379","-3.051","-4.302"
"pretax_income","","","-32.863","-74.876","-72.258","-49.995","-67.218","-136.101","-142.91","-78.188","-146.601","-161.744","-179.012","-301.55"
"income_tax","","","-0.001","-0.001","-0.005","-0.019","6.681","-0.002","-0.02","0.998","-0.656","-0.276","0.278","-0.352"
"net_income_continuing","","","-32.864","-74.877","-72.26300000000001","-50.014","-60.537","-136.103","-142.93","-77.19","-147.257","-162.02","-178.734","-301.902"
"net_income_discontinued","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","0.171","0.498","0.742","1.401","1.796","1.886","2.796","3.188","3.959","1.818","2.294","4.104"
"other_income_statement_items","","","","","","","","","","","","","",""
"net_income","","","-32.693","-74.379","-71.521","-48.613","-58.741","-134.217","-140.134","-74.002","-143.298","-160.202","-176.44","-297.798"
"preferred_dividends","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","","","-32.693","-74.379","-71.521","-48.613","-58.741","-134.217","-140.134","-74.002","-143.298","-160.202","-176.44","-297.798"
"eps_basic","","","-0.06","-0.14","-0.14","-0.09","-0.11","-0.46","-0.25","-0.13","-0.25","-0.27","-0.3","-0.5"
"eps_diluted","","","-0.06","-0.14","-0.14","-0.09","-0.11","-0.46","-0.25","-0.13","-0.25","-0.27","-0.3","-0.5"
"shares_basic","526.227","526.227","526.227","526.227","526.227","534.8200000000001","534.8200000000001","291.074","571.3","575.932","582.361","588.521","593.928","597.779"
"shares_diluted","526.227","526.227","526.227","526.227","526.227","534.8200000000001","534.8200000000001","291.074","571.3","575.932","582.361","588.521","593.928","597.779"
"cash_and_equiv","227.647","","301.493","","","801.646","893.943","1600.53","1780.262","1925.559","3004.3","3132.964","3075.475","3021.507"
"st_investments","56.67","","57.047","","","9.018000000000001","","","","","","","",""
"receivables","51.205","","91.255","","","157.168","246.986","233.781","217.01","168.762","307.349","179.732","186.825","185.831"
"inventories","","","","","","","","","","","","","",""
"other_current_assets","79.381","","122.468","","","229.614","283.202","338.523","397.005","417.278","438.116","441.317","463.486","460.742"
"total_current_assets","414.903","","572.263","","","1197.446","1424.131","2172.834","2394.277","2511.599","3749.765","3754.013","3725.786","3668.08"
"equity_and_other_investments","","","","","","","","","","","","","",""
"ppe_gross","113.826","","190.667","","","254.245","296.385","519.378","565.64","582.888","646.164","799.332","1049.173","1207.466"
"accumulated_depreciation","-19.711","","-47.262","","","-77.601","-89.97","-104.467","-118.827","-135.154","-153.527","-174.211","-198.807","-228.686"
"ppe_net","94.11499999999999","","143.405","","","176.644","206.415","414.911","446.813","447.734","492.637","625.121","850.366","978.78"
"intangible_assets","0.508","","2.349","","","2.905","42.324","40.2","38.077","63.479","59.667","55.855","56.32","53.658"
"goodwill","","","","","","","59.57","59.57","59.57","118.07","118.07","118.07","130.45","130.45"
"other_lt_assets","32.836","","42.191","","","93.036","115.36","128.564","135.054","131.398","140.457","162.772","156.498","207.356"
"total_assets","542.362","","760.208","","","1470.031","1847.8","2816.079","3073.791","3272.28","4560.596","4715.831","4919.42","5038.324"
"accounts_payable","18.064","","3.422","","","17.446","12.012","8.269","11.112","20.733","64.395","54.295","77.509","45.099"
"tax_payable","","","","","","","19.119","","","","43.286","40.008","43.485","45.671"
"current_accrued_liabilities","12.028","","24.448","","","33.712","41.699","51.165","94.73099999999999","74.631","62.915","117.283","110.283","146.911"
"st_debt","","","","","","","","","","","","","",""
"current_deferred_revenue","296.139","","425.261","","","843.455","1070.23","1295.464","1488.2","1621.186","1758.022","1747.294","1807.639","1750.86"
"current_deferred_tax_liability","","","","","","","","","","","","","",""
"other_current_liabilities","23.116","","43.01","","","69.249","85.486","111.505","132.628","153.621","187.171","162.525","168.943","185.022"
"total_current_liabilities","349.347","","496.141","","","963.862","1228.546","1510.355","1772.011","1917.591","2167.092","2174.728","2263.539","2238.158"
"lt_debt","","","","","","","","","","","987.723","988.034","988.345","988.663"
"noncurrent_capital_leases","","","","","","","","184.721","206.376","196.447","194.616","259.841","399.776","425.973"
"pension_liabilities","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","104.957","","163.749","","","376.428","484.699","528.904","551.665","550.1180000000001","616.8339999999999","724.359","716.154","960.924"
"other_lt_liabilities","201.247","","213.267","","","367.194","366.936","0.50500000000011","1.7000000000003","2.2930000000001","1.4079999999999","1.4079999999994","0.01299999999992","0.01299999999992"
"total_liabilities","655.551","","873.157","","","1707.484","2080.181","2224.485","2531.752","2666.449","3967.673","4148.37","4367.827","4613.731"
"common_stock","","","","","","","","","","","","","",""
"preferred_stock","","","","","","","","","","","","","",""
"retained_earnings","-168.068","","-239.036","","","-433.549","-492.29","-626.5069999999999","-766.641","-840.643","-983.941","-1144.143","-1320.583","-1618.381"
"aoci","-0.008","","0.039","","","0.045","0.09","0.09","0.114","0.112","0.062","-0.03","0.408","0.997"
"apic","54.871","","101.671","","","174.287","239.792","1199.833","1293.16","1434.19","1568.638","1705.201","1867.204","2041.042"
"treasury_stock","","","","","","","","","","","","","",""
"other_equity","0.01600000000002","","0.017000000000024","","","0.018999999999977","0.020000000000039","0.056999999999903","0.056999999999789","0.057999999999993","0.058000000000106","0.05899999999996899","0.059000000000196","0.05900000000014"
"minority_interest_liability","","","24.36","","","21.745","20.007","18.121","15.349","12.114","8.106","6.374","4.505","0.876"
"total_equity","-113.189","","-112.949","","","-237.453","-232.381","591.5940000000001","542.039","605.831","592.923","567.461","551.593","424.593"
"total_liabilities_and_equity","542.362","","760.208","","","1470.031","1847.8","2816.079","3073.791","3272.28","4560.596","4715.831","4919.42","5038.324"
"cfo_net_income","","","-32.864","-74.877","-72.26300000000001","-50.014","-60.537","-136.103","-142.93","-77.19","-147.257","-162.02","-178.734","-301.902"
"cfo_da","","","8.484999999999999","9.085000000000001","9.766999999999999","11.38","13.576","16.62","17.79","19.029","22.183","24.497","28.996","34.052"
"cfo_receivables","","","-37.505","1.183","-85.30200000000001","16.935","-89.681","13.256","16.704","47.126","-138.13","128.183","-9.865","1.63"
"cfo_inventory","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","","","0.673","-7.301","0.466","3.286","-1.277","-10.967","-16.297","7.763","5.908","-10.94","-15.983","-15.681"
"cfo_other_working_capital","","","90.75","70.98999999999999","255.1","190.778","300.859","220.927","223.757","82.60599999999999","247.682","50.68","37.033","170.068"
"cfo_change_in_working_capital","","","53.918","64.872","170.264","210.999","209.901","223.216","224.164","137.495","115.46","167.923","11.185","156.017"
"cfo_deferred_tax","","","","","","","","","","","","","",""
"cfo_stock_comp","","","5.94","42.26","7.41","13.3","16.2","50.74","81.66","89.31999999999999","120.22","112.3","146.39","161.36"
"cfo_other_noncash_items","","","1.069","2.189","1.418","-0.45399999999998","-0.136","9.996","10.567","12.512","11.617","13.736","18.66","17.617"
"cf_cfo","","","36.548","43.529","116.596","185.211","179.004","164.469","191.251","181.166","122.223","156.436","26.497","67.14400000000001"
"cfi_ppe_net","","","-26.588","-8.920999999999999","-17.328","-26.013","-51.891","-22.133","-23.235","-2.963","-44.942","-51.79","-83.812","-133.356"
"cfi_acquisitions_net","","","","","","","","","","","","","-6.165",""
"cfi_investment_net","","","-11.069","15.009","15","18","9","","","","","","",""
"cfi_intangibles_net","","","","","-0.579","0.128","-8.516","-0.256","","-7.6","","","",""
"cfi_other","","","-1.465","-8.8817841970013E-16","-8.8817841970013E-16","1.7763568394003E-15","-40.919","","","-45.692","","","","-1.5"
"cf_cfi","","","-39.122","6.088","-2.907","-7.885","-92.32599999999999","-22.389","-23.235","-56.255","-44.942","-51.79","-89.977","-134.856"
"cff_common_stock_net","","","0.47","1.282","4.714","3.658","5.502","30.221","11.668","20.389","13.899","24.328","5.548","12.83"
"cff_pfd_net","","","","149.816","","","","534.2859999999999","","","","","",""
"cff_debt_net","","","","","","","","","","","","","",""
"cff_dividend_paid","","","","","","","","","","","","","",""
"cff_other","","","","","","","","","","","987.6609999999999","-0.304","-0.42","-0.15"
"cf_cff","","","0.47","151.098","4.714","3.658","5.502","564.5069999999999","11.668","20.389","1001.56","24.024","5.128","12.68"
"ebitda","","","-25.122","-63.881","-63.279","-40.138","-55.031","-118.436","-125.156","-58.417","-117.467","-127.114","-141.271","-265.955"
"capex","","","-26.588","-8.920999999999999","-17.328","-26.013","-51.891","-22.133","-23.235","-2.963","-44.942","-51.79","-83.812","-133.356"
"fcf","","","9.960000000000001","34.608","99.268","159.198","127.113","142.336","168.016","178.203","77.28100000000001","104.646","-57.315","-66.212"
"book_value","-113.189","","-112.949","","","-237.453","-232.381","591.5940000000001","542.039","605.831","592.923","567.461","551.593","424.593"
"tangible_book_value","-113.697","","-115.298","","","-240.358","-334.275","491.824","444.392","424.282","415.186","393.536","364.823","240.485"
"roa","","","-0.34","-0.78","","-0.31","-0.15","-0.13","-0.13","-0.13","-0.13","-0.11","-0.11","-0.16"
"roe","","","2.32","5.27","","1.91","1.08","-1.74","-0.67","-0.71","-0.82","-0.89","-0.99","-1.59"
"roic","","","2.95","6.72","","2.11","1.18","-1.08","-0.49","-0.52","-0.38","-0.29","-0.29","-0.41"
"roce","","","-1.02","-2.21","","-0.91","-0.47","-0.34","-0.31","-0.32","-0.26","-0.21","-0.21","-0.28"
"rotce","","","-1.03","-2.23","","-0.92","-0.52","-0.38","-0.33","-0.36","-0.29","-0.22","-0.22","-0.3"
"gross_margin","","","0.75","0.74","0.73","0.74","0.75","0.75","0.74","0.74","0.73","0.75","0.76","0.76"
"ebitda_margin","","","-0.17","-0.4","-0.32","-0.16","-0.18","-0.31","-0.28","-0.11","-0.21","-0.24","-0.24","-0.51"
"operating_margin","","","-0.23","-0.45","-0.36","-0.2","-0.22","-0.35","-0.31","-0.15","-0.25","-0.28","-0.29","-0.58"
"pretax_margin","","","-0.22","-0.46","-0.36","-0.2","-0.22","-0.35","-0.31","-0.15","-0.26","-0.3","-0.3","-0.58"
"net_income_margin","","","-0.22","-0.46","-0.36","-0.19","-0.19","-0.35","-0.31","-0.15","-0.25","-0.3","-0.3","-0.58"
"fcf_margin","","","0.07000000000000001","0.21","0.5","0.63","0.41","0.37","0.37","0.35","0.14","0.19","-0.1","-0.13"
"assets_to_equity","-4.79","","-6.73","","","-6.19","-7.95","4.76","5.67","5.4","7.69","8.31","8.92","11.87"
"equity_to_assets","-0.21","","-0.15","","","-0.16","-0.13","0.21","0.18","0.19","0.13","0.12","0.11","0.08"
"debt_to_equity","","","","","","","","0.31","0.38","0.32","1.99","2.2","2.52","3.33"
"debt_to_assets","","","","","","","","0.07000000000000001","0.07000000000000001","0.06","0.26","0.26","0.28","0.28"
"revenue_per_share","","","0.28","0.31","0.38","0.47","0.58","1.33","0.79","0.88","0.98","0.91","1","0.87"
"ebitda_per_share","","","-0.05","-0.12","-0.12","-0.08","-0.1","-0.41","-0.22","-0.1","-0.2","-0.22","-0.24","-0.44"
"operating_income_per_share","","","-0.06","-0.14","-0.14","-0.1","-0.13","-0.46","-0.25","-0.13","-0.24","-0.26","-0.29","-0.5"
"pretax_income_per_share","","","-0.06","-0.14","-0.14","-0.09","-0.13","-0.47","-0.25","-0.14","-0.25","-0.27","-0.3","-0.5"
"fcf_per_share","","","0.02","0.07000000000000001","0.19","0.3","0.24","0.49","0.29","0.31","0.13","0.18","-0.1","-0.11"
"book_value_per_share","-0.22","","-0.21","","","-0.44","-0.43","2.03","0.95","1.05","1.02","0.96","0.93","0.71"
"tangible_book_per_share","-0.22","","-0.22","","","-0.45","-0.63","1.69","0.78","0.74","0.71","0.67","0.61","0.4"
"payout_ratio","","","","","","","","","","","","","",""
"revenue_growth","","","","0.09","","","1.1","1.4","1.27","1.02","0.83","0.39","0.3","0.02"
"gross_profit_growth","","","","0.09","","","1.1","1.41","1.3","1.04","0.8","0.39","0.33","0.03"
"ebitda_growth","","","","-1.54","","","-1.19","-0.85","-0.98","-0.46","-1.13","-0.07000000000000001","-0.13","-3.55"
"operating_income_growth","","","","-1.17","","","-1.04","-0.85","-0.96","-0.5","-1.04","-0.12","-0.19","-2.87"
"pretax_income_growth","","","","-1.28","","","-1.05","-0.82","-0.98","-0.5600000000000001","-1.18","-0.19","-0.25","-2.86"
"net_income_growth","","","","-1.28","","","-0.8","-0.8","-0.96","-0.52","-1.44","-0.19","-0.26","-3.02"
"eps_diluted_growth","","","","-1.27","","","-0.77","-2.26","-0.84","-0.43","-1.27","0.41","-0.2","-2.85"
"shares_diluted_growth","","","","","","0.02","0.02","-0.45","0.09","0.08","0.09","1.02","0.04","0.04"
"cash_and_equiv_growth","","-1","","-1","-1","","1.97","","","1.4","2.36","0.96","0.73","0.57"
"ppe_growth","","-1","","-1","-1","","0.44","","","1.53","1.39","0.51","0.9","1.19"
"total_assets_growth","","-1","","-1","-1","","1.43","","","1.23","1.47","0.67","0.6","0.54"
"total_equity_growth","","1","","1","1","","-1.06","","","3.55","3.55","-0.04","0.02","-0.3"
"cfo_growth","","","","0.19","","","3.9","2.78","0.64","-0.02","-0.32","-0.05","-0.86","-0.63"
"capex_growth","","","","0.66","","","-0.95","-1.48","-0.34","0.89","0.13","-1.34","-2.61","-44.01"
"fcf_growth","","","","2.47","","","11.76","3.11","0.6899999999999999","0.12","-0.39","-0.26","-1.34","-1.37"
"shares_eop","526.227","526.227","526.227","526.227","526.227","534.8200000000001","534.8200000000001","568.894","574.595","578.471","585.878","592.1950000000001","596.622","600.64"
"dividends","","","","","","","","","","","","","",""
