"period_end_date","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"revenue","1281.191","1241.068","1318.691","1453.297","1589.544","1518.716","1601.799","1659.241","1934.092","1885.822","1963.673","2003.355","2355.7","2255.6","2359.245","2440.935","2767.6","2526","2574","2515.4","2615.2","2333.3","2403.9","2422.2","2722.7","2534.7","2612","2838","2950.8","2785.7","2932.2","3031.7","3435.9","3195.9","3303.6","3341.4","3793.2","3549.6","3735.3","3788.7","4239.6","3873.8","4153.7","4180.7","4803.2","4563.5","4881.2","4914.8","5373.5","4993.2","5238","5711.2","5732.9","5294","5661.5","5698.3","6073.7","6031.8","6310.3","6303.6","6632.7","6305.9","6823","6747","7097.1","5995.7","4222.1","6203.1","6749.4","6668","7496.5","8146.7","8050.4","7635.6","8150.1","8414.200000000001"
"cogs","934.53","975.046","1032.463","1167.519","1168.761","1208.031","1244.303","1302.771","1459.352","1489.794","1560.969","1616.578","984.8","1799.7","1899.6","1684.693","1186","2116.6","1163.1","1189.5","1196.8","1043.5","1043.4","1041.2","1145.7","1064.1","1076.2","1130.5","1192.3","1171.2","1237.5","4909.4","2491.8","2368.4","2422.1","2449","2710.2","2568.8","2681.7","2707.6","2970.2","2763.7","2888","2875.2","3306.7","3184.4","3346.3","3361.2","3692.4","3476.7","3589.7","3814.4","3933.2","3727.6","3878","4013.4","4238.7","4304.3","4378.4","4481.5","4762.6","4566.1","4842.8","4848.9","5057.9","4719.1","4021.8","4660","4916.4","4815.7","5172.9","5764.5","5926.9","5780.5","5916.1","6255.7"
"gross_profit","346.661","266.022","286.228","285.778","420.783","310.685","357.496","356.47","474.74","396.028","402.704","386.777","1370.9","455.9","459.645","756.242","1581.6","409.4","1410.9","1325.9","1418.4","1289.8","1360.5","1381","1577","1470.6","1535.8","1707.5","1758.5","1614.5","1694.7","-1877.7","944.1","827.5","881.5","892.4","1083","980.8","1053.6","1081.1","1269.4","1110.1","1265.7","1305.5","1496.5","1379.1","1534.9","1553.6","1681.1","1516.5","1648.3","1896.8","1799.7","1566.4","1783.5","1684.9","1835","1727.5","1931.9","1822.1","1870.1","1739.8","1980.2","1898.1","2039.2","1276.6","200.3","1543.1","1833","1852.3","2323.6","2382.2","2123.5","1855.1","2234","2158.5"
"sga","114.115","79.982","73.357","80.53700000000001","127.88","81.929","90.637","100.949","123.325","119.611","115.258","114.829","959.7","127.8","119.525","422.528","1138.9","117.6","1154","780.7","1041.8","923.9","931.7","980.7","1033","967","1021.6","1154.9","1073.2","1048.8","1107.3","-2479.9","191.5","206.9","199","203.8","231.9","230.3","249.6","226.2","242.6","240.6","269.4","238.7","298.4","305.9","288.5","303.9","305.5","330.5","323.4","449.5","356.4","326.8","325","400.2","392.4","420.6","485.9","409.2","448","458.1","459.7","458.4","434.2","406.5","399.9","439","472.1","464.4","494.9","501.2","525.8","481.5","486.7","538"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","57.885","62.281","59.064","50.222","65.669","71.47799999999999","67.227","59.125","71.568","74.523","72.873","74.31","91.5","87.09999999999999","94.90600000000001","85.681","109.6","113.6","110.8","545.4","206.9","198.1","202.9","191.2","202.5","190.3","125.2","405.8","217.9","227.9","129.5","530","241.5","242.4","242.6","231","275","258.9","252.2","267.1","284.6","285.3","300.7","296.4","335.4","350.6","368.1","362.2","381.7","387.4","385.1","325.8","395.1","388.3","395.1","350.7","388.3","452.4","462.3","499","431","443.3","437.5","436.4","452.8","451.3","494.6","463","457.9","454.4","425.7","463.4","467.7","469.4","491.9","480.5"
"total_opex","172","142.263","132.421","130.759","193.549","153.407","157.864","160.074","194.893","194.134","188.131","189.139","1051.2","214.9","214.431","508.209","1248.5","231.2","1264.8","1326.1","1248.7","1122","1134.6","1171.9","1235.5","1157.3","1146.8","1560.7","1291.1","1276.7","1236.8","-1949.9","433","449.3","441.6","434.8","506.9","489.2","501.8","493.3","527.2","525.9","570.1","535.1","633.8","656.5","656.6","666.1","687.2","717.9","708.5","775.3","751.5","715.1","720.1","750.9","780.7","873","948.2","908.2","879","901.4","897.2","894.8","887","857.8","894.5","902","930","918.8","920.6","964.6","993.5","950.9","978.6","1018.5"
"operating_income","174.661","123.759","153.807","155.019","227.234","157.278","199.632","196.396","279.847","201.894","214.573","197.638","319.7","241","245.214","248.033","333.1","178.2","146.1","-0.2","169.7","167.8","225.9","209.1","341.5","313.3","389","146.8","467.4","337.8","457.9","72.2","511.1","378.2","439.9","457.6","576.1","491.6","551.8","587.8","742.2","584.2","695.6","770.4","862.7","722.6","878.3","887.5","993.9","798.6","939.8","1121.5","1048.2","851.3","1063.4","934","1054.3","854.5","983.7","913.9","991.1","838.4","1083","1003.3","1152.2","418.8","-694.2","641.1","903","933.5","1403","1417.6","1130","904.2","1255.4","1140"
"net_interest_income_normal","","","","","","","","","","","","","","","","","","","","","-7","-5.9","10","12.8","16.9","-8","-9.300000000000001","-37","6.5","-7.1","7.5","55.8","14.6","26.5","0.8","19.7","-9.5","44.7","-2.8","63.1","5.3","1.1","3","69.3","-6.6","-15.6","6.4","-11.8","-8.4","-3.8","51.1","-17.6","0.3","35.4","8.199999999999999","45.4","62.3","0.4","-13.9","-27.7","-50.2","-58.7","-46.2","-79.40000000000001","-76","-97.2","-108.1","-115.9","-105.2","-97.7","-77.40000000000001","-99.09999999999999","-115.4","-72.8","-103.3","-94.3"
"other_nonoperating_income","3.208","3.685","3.765","2.73","5.122","4.014","3.235","3.361","0.348","3.063","5.028","3.852","6.5","-0.7","-2.241","-1.187","-6.4","-11","-112.9","-1","-64","-126.9","-21.9","-9.699999999999999","11.1","31.2","-61.3","302.8","34.5","58.2","-55.7","376","44.9","52.2","51.7","61.9","54.5","52.5","63.4","-2703.1","71.3","59.9","72.90000000000001","84.40000000000001","443.4","54.9","60.3","20.8","64.09999999999999","65.59999999999999","82.5","111.3","84.40000000000001","93.7","-19.2","172.5","1889.3","-39.3","57","45.4","24.6","40.3","640.1","80","67.59999999999999","68.59999999999999","-9.699999999999999","-82.8","10.5","54.1","85.7","929.1","47.8","44.7","40.1","55.5"
"pretax_income","177.869","127.444","157.572","157.749","232.356","161.292","202.867","199.757","280.195","204.957","219.601","201.49","326.2","240.3","242.973","246.846","326.7","167.2","33.2","-1.2","98.7","35","214","212.2","369.5","336.5","318.4","412.6","508.4","388.9","409.7","504","570.6","456.9","492.4","539.2","621.1","588.8","612.4","-2052.2","818.8","645.2","771.5","924.1","1299.5","761.9","945","896.5","1049.6","860.4","1073.4","1215.2","1132.9","980.4","1052.4","1151.9","3005.9","815.6","1026.8","931.6","965.5","820","1676.9","1003.9","1143.8","390.2","-812","442.4","808.3","889.9","1411.3","2247.6","1062.4","876.1","1192.2","1101.2"
"income_tax","-67.73399999999999","-48.559","-59.992","-55.469","-87.60299999999999","-60.831","-77.292","-76.251","-106.039","-77.64100000000001","-74.10299999999999","-66.98699999999999","-121.2","-89.5","-84.63","-88.343","-118.6","-58.5","26.5","6.6","-34","-9.9","-65.8","-58.7","-126","-118.7","-109.9","-134.1","-160.8","-126.5","-129.9","-145.9","-188.4","-146.8","-159.1","-180.2","-188.7","-198.1","-194.6","820.1","-278.1","-218.3","-259","-336.6","-315","-266.3","-318.5","-244","-361.9","-285.4","-318.9","-413.5","-381.4","-327.6","-361.1","-362.5","-755.8","-155.8","-174.8","-175.5","-205.1","-161.2","-303.7","-201.5","-258.5","-65.40000000000001","133.9","-49.7","-186.1","-230.5","-257.1","-483","-246.3","-201.1","-278.5","-222.6"
"net_income_continuing","110.135","78.88500000000001","97.58","102.28","144.753","100.461","125.575","123.506","174.156","127.316","145.498","134.503","205","150.8","158.343","158.503","208.1","108.7","59.7","5.4","64.7","25.1","148.2","153.5","243.5","217.8","208.5","278.5","347.6","262.4","279.8","358.1","382.2","310.1","333.3","359","432.4","390.7","417.8","-1232.1","540.7","426.9","512.5","587.5","984.5","495.6","626.5","652.5","687.7","575","754.5","801.7","751.5","652.8","691.3","789.4","2250.1","659.8","852","756.1","760.4","658.8","1373.2","802.4","885.3","324.8","-678.1","392.7","622.2","659.4","1154.2","1764.6","816.1","675","913.7","878.6"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","-0.4","-0.1","3.3","-3.5","-2","-0.5","-0.6","0.4","-1","-0.8","-0.7","0.2","-0.1","-0.2","-0.2","-0.3","-0.2","-0.3","","0.1","","0.1","0.1","0.3","-1.4","-0.7","0.2","","-0.1","0.1","-0.4","-0.8","0.3","","0.3","-0.8","0.1","0.3","0.5","-0.6","0.2","4.4","-0.4","0.4","0.4","3.6","-0.3","-0.1","","","-0.8","-0.2","-0.2","-0.5","-0.8","-0.3"
"other_income_statement_items","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","110.135","78.88500000000001","97.58","102.28","144.753","100.461","125.575","123.506","174.156","127.316","145.498","117.289","205","150.8","158.343","158.503","208.1","108.7","-6.7","5.4","64.3","25","151.5","150","241.5","217.3","207.9","278.9","346.6","261.6","279.1","358.3","382.1","309.9","333.1","358.7","432.2","390.4","417.8","-1232","540.7","427","512.6","587.8","983.1","494.9","626.7","652.5","687.6","575.1","754.1","800.9","751.8","652.8","691.6","788.6","2250.2","660.1","852.5","755.5","760.6","663.2","1372.8","802.8","885.7","328.4","-678.4","392.6","622.2","659.4","1153.4","1764.4","815.9","674.5","912.9","878.3"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","110.135","78.88500000000001","97.58","102.28","144.753","100.461","125.575","123.506","174.156","127.316","145.498","117.289","205","150.8","158.343","158.503","208.1","108.7","-6.7","5.4","64.3","25","151.5","150","241.5","217.3","207.9","278.9","346.6","261.6","279.1","358.3","382.1","309.9","333.1","358.7","432.2","390.4","417.8","-1232","540.7","427","512.6","587.8","983.1","494.9","626.7","652.5","687.6","575.1","754.1","800.9","751.8","652.8","691.6","788.6","2250.2","660.1","852.5","755.5","760.6","663.2","1372.8","802.8","885.7","328.4","-678.4","392.6","622.2","659.4","1153.4","1764.4","815.9","674.5","912.9","878.3"
