"period_end_date","2007-12","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"revenue","","","14.162","20.886","26.945","45.527","18.585","20.812","28.405","31.241","36.286","49.03","58.171","57.666","39.375","30.167","26.653","50.104","306.332","561.792","405.139","431.346","615.2190000000001","620.542","769.349","851.804","956.6609999999999","939.88","954.976","936.789","1214.38","1147.048","1270.017","2298.436","2284.631","2696.27","2789.557","2984.675","3288.498","3408.751","4002.231","6824","7226","4541","6350","6303","7384","5985","6036","8771","10744","10389","11958","13757","17719","18756","16934","21454"
"cogs","","","15.864","22.932","24.844","37.828","16.804","16.96","22.144","21.945","24.965","31.002","39.663","40.442","31.54","19.957","21.891","58.865","282.475","465.472","304.656","328.478","458.63","465.414","556.354","599.953","694.9640000000001","679.807","741.606","705.293","995.816","894.58","995.241","1661.701","1849.353","2028.324","2122.942","2535.535","2849.199","2952.225","3383.301","5300","5783","3975","5429","5112","5993","4751","4769","6708","8678","8174","9074","10097","12872","13296","12700","16072"
"gross_profit","","","-1.702","-2.046","2.101","7.699","1.781","3.852","6.261","9.295999999999999","11.321","18.028","18.508","17.224","7.835","10.21","4.762","-8.760999999999999","23.857","96.31999999999999","100.483","102.868","156.589","155.128","212.995","251.851","261.697","260.073","213.37","231.496","218.564","252.468","274.776","636.735","435.278","667.946","666.615","449.14","439.299","456.526","618.9299999999999","1524","1443","566","921","1191","1391","1234","1267","2063","2066","2215","2884","3660","4847","5460","4234","5382"
"sga","","","9.696","6.607","8.247","10.733","16.563","16.585","22.207","20.432","25.349","24.212","24.716","27.618","27.557","30.582","36.083","37.798","45.908","47.045","59.963","77.071","101.489","117.551","134.031","155.107","196.97","195.365","201.846","236.367","288.654","318.21","321.152","336.811","456.016","603.455","537.7569999999999","652.998","682.79","686.404","750.759","730","668","704","647","596","699","627","661","888","969","1056","973","994","1494","992","961","961"
"rnd","","","11.826","7.941","1.941","1.257","8.143000000000001","13.265","15.416","26.698","37.617","41.162","52.531","54.083","61.205","68.39100000000001","74.854","61.901","68.83199999999999","54.859","52.312","56.351","68.453","81.544","107.717","135.873","139.565","167.154","181.712","178.791","190.243","182.482","191.664","214.302","245.96","322.04","369.774","331.622","354.564","367.096","386.129","351","356","340","324","334","345","324","279","366","522","666","576","611","740","865","667","733"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","","","21.522","14.548","10.188","11.99","24.706","29.85","37.623","47.13","62.966","65.374","77.247","81.70099999999999","88.762","98.973","110.937","99.699","114.74","101.904","112.275","133.422","169.942","199.095","241.748","290.98","336.535","362.519","383.558","415.158","478.897","500.692","512.816","551.1130000000001","701.976","925.495","907.5309999999999","984.62","1037.354","1053.5","1136.888","1081","1024","1044","971","930","1044","951","940","1254","1491","1722","1549","1605","2234","1857","1628","1694"
"operating_income","","","-23.224","-16.594","-8.087","-4.291","-22.925","-25.998","-31.362","-37.834","-51.645","-47.346","-58.739","-64.477","-80.92700000000001","-88.76300000000001","-106.175","-108.46","-90.883","-5.584","-11.792","-30.554","-13.353","-43.967","-28.753","-39.129","-74.83799999999999","-102.446","-170.188","-183.662","-260.333","-248.224","-238.04","85.622","-266.698","-257.549","-240.916","-535.48","-598.0549999999999","-596.974","-517.958","443","419","-478","-50","261","347","283","327","809","575","493","1335","2055","2613","3603","2606","3688"
"net_interest_income_normal","","","-1.056","-1.386","-1.057","0.034","0.037","-0.182","-0.417","-0.198","0.063","0.04","0.046","0.08","0.046","0.025","-0.01","-0.04","0.059","-0.108","-20.077","-6.424","-6.137","-11.742","-30.771","-28.762","-28.484","-26.39","-24.105","-28.981","-37.867","-39.374","-44.126","-43.855","-62.925","-96.256","-103.656","-111.578","-140.51","-144.332","-158.518","-168","-168","-149","-162","-170","-160","-159","-162","-157","-240","-89","-64","-116","-46","-33","-18","33"
