"period_end_date","2010-12","2011-12","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06"
"revenue","","","82.327","112.247","114.343","139.292","168.58","242.675","250.492","312.166","361.266","479.078","435.939","502.383","569.237","710.473","594.521","601.958","615.934","717.206","548.251","573.855","589.633","731.5599999999999","664.871","710.5410000000001","758.111","908.836","786.89","841.381","823.717","1007.341","807.6369999999999","683.438","936.2329999999999","1289.041","1036.018","1190.427","1283.817","1567.22","1200.984","1176.66"
"cogs","","","33.693","36.918","41.255","50.573","62.239","112.651","85.503","100.027","124.166","136.613","143.475","167.623","200.195","217.963","198.405","202.966","225.159","305.71","220.339","212.908","210.016","217.979","222.823","230.185","243.644","268.345","264.011","277.965","281.057","314.008","284.037","288.039","361.388","432.924","381.008","416.932","484.479","515.091","507.45","540.676"
"gross_profit","","","48.634","75.32899999999999","73.08799999999999","88.71899999999999","106.341","130.024","164.989","212.139","237.1","342.465","292.464","334.76","369.042","492.51","396.116","398.992","390.775","411.496","327.912","360.947","379.617","513.581","442.048","480.356","514.467","640.491","522.879","563.4160000000001","542.66","693.333","523.6","395.399","574.845","856.117","655.01","773.495","799.338","1052.129","693.534","635.984"
"sga","","","37.616","43.765","49.421","63.372","82.366","244.852","144.969","184.955","215.189","258.903","249.334","266.857","266.342","349.631","299.438","306.857","291.815","352.995","239.462","256.135","236.223","269.487","243.777","262.158","271.835","292.409","282.975","328.488","319.962","342.209","330.655","453.523","309.861","356.253","352.119","443.384","451.933","512.87","449.672","524.8869999999999"
"rnd","","","32.319","40.34","47.574","64.26300000000001","87.307","394.848","149.391","177.095","183.342","181.715","189.746","198.907","207.937","210.058","155.794","178.511","177.049","202.128","128.728","143.171","136.115","133.996","123.346","138.574","150.764","141.174","146.246","159.242","178.553","198.24","200.388","215.806","208.877","247.94","250.709","299.859","324.252","371.884","371.695","454.859"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","","","69.935","84.105","96.995","127.635","169.673","639.7","294.36","362.05","398.531","440.618","439.08","465.764","474.279","559.689","455.232","485.368","468.864","555.123","368.19","399.306","372.338","403.483","367.123","400.732","422.599","433.583","429.221","487.73","498.515","540.449","531.043","669.329","518.7380000000001","604.193","602.828","743.2430000000001","776.1849999999999","884.754","821.367","979.746"
"operating_income","","","-21.301","-8.776","-23.907","-38.916","-63.332","-509.676","-129.371","-149.911","-161.431","-98.15300000000001","-146.616","-131.004","-105.237","-67.179","-59.116","-86.376","-78.089","-143.627","-40.278","-38.359","7.279","110.098","74.925","79.624","91.86799999999999","206.908","93.658","75.68600000000001","44.145","152.884","-7.443","-273.93","56.107","251.924","52.182","30.252","23.153","167.375","-127.833","-343.762"
"net_interest_income_normal","","","-0.766","-0.83","-1.233","-1.513","-1.727","-3.103","-3.102","-2.654","-6.079","-24.083","-24.319","-24.437","-25.239","-24.183","-24.893","-24.934","-24.86","-1.004","-16.889","-15.91","-14.704","-13.351","-10.834","-8.022","-2.269","-0.26","3.281","4.57","4.122","7.55","-0.373","-14.815","-22.447","-27.065","-2.184","-4.691","-5.159","-3.469","-7.482","-9.747"
