"period_end_date","2003-04","2003-07","2003-10","2004-01","2004-04","2004-07","2004-10","2005-01","2005-04","2005-07","2005-10","2006-01","2006-04","2006-07","2006-10","2007-01","2007-04","2007-07","2007-10","2008-01","2008-04","2008-07","2008-10","2009-01","2009-04","2009-07","2009-10","2010-01","2010-04","2010-07","2010-10","2011-01","2011-04","2011-07","2011-10","2012-01","2012-04","2012-07","2012-10","2013-01","2013-04","2013-07","2013-10","2014-01","2014-04","2014-07","2014-10","2015-01","2015-04","2015-07","2015-10","2016-01","2016-04","2016-07","2016-10","2017-01","2017-04","2017-07","2017-10","2018-01","2018-04","2018-07","2018-10","2019-01","2019-04","2019-07","2019-10","2020-01","2020-04","2020-07","2020-10","2021-01","2021-04","2021-07","2021-10","2022-01","2022-04","2022-07","2022-10"
"revenue","57224","63232","63035","75190","65443","70459","69282","79078","71680","76697","75397","89252","79676","85430","84467","98796","86410","92999","91865","105890","94940","102342","98345","108627","94242","100876","99373","113622","99811","103726","101952","116360","104189","109366","110226","122728","113010","114282","113800","127776","114070","116830","115688","129706","114960","120125","119001","131565","114826","120229","117408","129667","115904","120854","118179","130936","117542","123355","123179","136267","122690","128028","124894","138793","123925","130377","127991","141671","134622","137742","134708","152079","138310","141048","140525","152871","141569","152859","152813"
"cogs","43918","48298","48292","58239","49969","53533","52567","60762","54571","58089","57325","68382","60237","64585","63765","75392","65311","70589","69251","79064","71372","77118","73621","81830","70388","75056","73915","84740","74618","77438","75819","87071","78177","81770","82591","92455","85178","85643","85470","96071","85991","87420","86687","97971","86714","90010","89247","99115","86483","90056","87446","96999","86544","89485","87484","97743","87688","91521","91547","102640","91707","95571","93116","104907","93034","97923","95900","107748","102026","102689","100339","115261","103272","105183","105023","115522","106847","115838","115613"
"gross_profit","13306","14934","14743","16951","15474","16926","16715","18316","17109","18608","18072","20870","19439","20845","20702","23404","21099","22410","22614","26826","23568","25224","24724","26797","23854","25820","25458","28882","25193","26288","26133","29289","26012","27596","27635","30273","27832","28639","28330","31705","28079","29410","29001","31735","28246","30115","29754","32450","28343","30173","29962","32668","29360","31369","30695","33193","29854","31834","31632","33627","30983","32457","31778","33886","30891","32454","32091","33923","32596","35053","34369","36818","35038","35865","35502","37349","34722","37021","37200"
"sga","10216","11142","11344","12205","11869","12522","12931","12809","13168","13878","13974","14977","14944","15741","16237","16972","16249","17127","17653","19950","18251","19411","19432","20451","18637","19891","20016","21424","19456","20098","20522","21285","20116","21213","21757","21939","21445","21941","22237","23125","21641","22633","22691","24388","22053","23375","23489","24501","22663","24104","24248","26026","24085","25204","25576","26988","24617","25865","26868","29160","25829","26707","26792","27819","25946","26871","27373","28601","27372","28994","28591","31331","28129","28511","29710","31462","29404","30167","34505"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","10216","11142","11344","12205","11869","12522","12931","12809","13168","13878","13974","14977","14944","15741","16237","16972","16249","17127","17653","19950","18251","19411","19432","20451","18637","19891","20016","21424","19456","20098","20522","21285","20116","21213","21757","21939","21445","21941","22237","23125","21641","22633","22691","24388","22053","23375","23489","24501","22663","24104","24248","26026","24085","25204","25576","26988","24617","25865","26868","29160","25829","26707","26792","27819","25946","26871","27373","28601","27372","28994","28591","31331","28129","28511","29710","31462","29404","30167","34505"
"operating_income","3090","3792","3399","4746","3605","4404","3784","5507","3941","4730","4098","5893","4495","5104","4465","6432","4850","5283","4961","6876","5317","5813","5292","6346","5217","5929","5442","7458","5737","6190","5611","8004","5896","6383","5878","8334","6387","6698","6093","8580","6438","6777","6310","7347","6193","6740","6265","7949","5680","6069","5714","6642","5275","6165","5119","6205","5237","5969","4764","4467","5154","5750","4986","6067","4945","5583","4718","5322","5224","6059","5778","5487","6909","7354","5792","5887","5318","6854","2695"
"net_interest_income_normal","-212","-215","-206","-201","-208","-239","-241","-291","-200","-306","-350","-323","-368","-393","-424","-345","-392","-404","-460","-540","-496","-456","-456","-492","-467","-473","-475","-469","-471","-485","-516","-532","-518","-578","-535","-528","-535","-505","-546","-477","-530","-552","-580","-554","-568","-538","-656","-586","-824","-543","-552","-548","-561","-566","-585","-555","-563","-575","-541","-499","-487","-503","-534","-605","-625","-585","-589","-611","-549","-635","-516","-494","-536","-478","-442","-380","-419","-448","-500"
