Symbol,Date,Open,High,Low,Close,Adj Close,Volume
F,2017-09-26,11.95,12.0,11.9,11.93,9.869457,30646700
F,2017-09-27,11.98,12.02,11.86,11.95,9.886002,28412200
F,2017-09-28,11.95,11.99,11.9,11.96,9.894276,23105700
F,2017-09-29,11.97,12.02,11.92,11.97,9.902551,31227500
F,2017-10-02,12.0,12.09,11.97,12.09,10.001822,36020000
F,2017-10-03,12.32,12.43,12.22,12.34,10.208642,65641700
F,2017-10-04,12.33,12.46,12.28,12.3,10.175551,52909800
F,2017-10-05,12.34,12.36,12.15,12.25,10.13419,48145800
F,2017-10-06,12.2,12.33,12.19,12.31,10.183825,35091800
F,2017-10-09,12.33,12.41,12.25,12.34,10.208642,28924800
F,2017-10-10,12.34,12.42,12.25,12.39,10.250008,40586200
F,2017-10-11,12.38,12.43,12.31,12.38,10.241734,34953400
F,2017-10-12,12.3,12.32,12.11,12.12,10.026642,45924400
F,2017-10-13,12.06,12.17,11.87,12.05,9.968731,44597300
F,2017-10-16,11.99,12.15,11.96,12.12,10.026642,32349700
F,2017-10-17,12.13,12.31,12.12,12.27,10.150732,55273200
F,2017-10-18,12.28,12.35,12.17,12.19,10.084549,30783700
F,2017-10-19,12.14,12.25,12.05,12.23,10.117641,29678200
F,2017-10-20,12.12,12.14,12.0,12.1,10.134393,28171700
F,2017-10-23,12.11,12.19,12.04,12.04,10.084138,21504800
F,2017-10-24,12.11,12.26,12.09,12.19,10.209771,34651200
F,2017-10-25,12.15,12.15,11.97,12.04,10.084138,47674800
F,2017-10-26,12.2,12.34,12.06,12.27,10.276777,49003100
F,2017-10-27,12.23,12.24,12.01,12.06,10.10089,33925400
F,2017-10-30,12.01,12.15,11.95,12.1,10.134393,36457400
F,2017-10-31,12.15,12.3,12.13,12.27,10.276777,42010200
F,2017-11-01,12.4,12.47,12.28,12.35,10.343782,43495800
F,2017-11-02,12.33,12.43,12.26,12.42,10.40241,40923400
F,2017-11-03,12.41,12.46,12.32,12.36,10.352157,33220300
F,2017-11-06,12.36,12.43,12.3,12.33,10.327031,20178500
F,2017-11-07,12.35,12.38,12.11,12.16,10.184647,41536300
F,2017-11-08,12.14,12.16,12.01,12.06,10.10089,34127500
F,2017-11-09,12.01,12.05,11.93,12.04,10.084138,26257300
F,2017-11-10,12.0,12.09,11.98,12.01,10.059013,35298400
F,2017-11-13,12.01,12.22,11.97,12.16,10.184647,30415900
F,2017-11-14,12.1,12.16,11.99,12.02,10.067389,25893400
F,2017-11-15,11.97,12.03,11.87,12.0,10.050638,28441300
F,2017-11-16,12.0,12.05,11.93,12.04,10.084138,28269000
F,2017-11-17,12.02,12.06,11.99,12.01,10.059013,31117700
F,2017-11-20,12.03,12.15,12.02,12.13,10.159521,32352000
F,2017-11-21,12.14,12.23,12.12,12.12,10.151145,28510300
F,2017-11-22,12.11,12.15,12.05,12.07,10.109267,36184000
F,2017-11-24,12.1,12.15,12.03,12.1,10.134393,9549600
F,2017-11-27,12.09,12.19,12.06,12.11,10.142767,28525200
F,2017-11-28,12.15,12.24,12.08,12.21,10.226523,33199300
F,2017-11-29,12.24,12.57,12.23,12.56,10.519669,64866000
F,2017-11-30,12.53,12.65,12.42,12.52,10.486165,49224200
F,2017-12-01,12.62,12.7,12.35,12.58,10.536417,52458700
F,2017-12-04,12.65,12.81,12.59,12.63,10.578297,39558900
F,2017-12-05,12.42,12.62,12.4,12.43,10.410787,45527200
F,2017-12-06,12.37,12.43,12.28,12.38,10.368908,28453800
F,2017-12-07,12.58,12.59,12.33,12.53,10.494539,25417100
F,2017-12-08,12.53,12.61,12.43,12.61,10.561546,21981900
F,2017-12-11,12.57,12.63,12.51,12.58,10.536417,44194600
F,2017-12-12,12.56,12.64,12.51,12.6,10.553167,54370600
F,2017-12-13,12.61,12.73,12.59,12.63,10.578297,31859000
F,2017-12-14,12.65,12.69,12.41,12.46,10.435912,37074000
F,2017-12-15,12.51,12.66,12.5,12.58,10.536417,48655500
F,2017-12-18,12.66,12.75,12.61,12.66,10.603421,25022700
F,2017-12-19,12.71,12.78,12.66,12.69,10.62855,23056900
F,2017-12-20,12.72,12.75,12.65,12.72,10.653676,18989400
F,2017-12-21,12.74,12.77,12.63,12.63,10.578297,21004700
F,2017-12-22,12.66,12.66,12.56,12.58,10.536417,17876200
F,2017-12-26,12.57,12.65,12.55,12.6,10.553167,11664600
F,2017-12-27,12.57,12.58,12.45,12.5,10.469414,17005600
F,2017-12-28,12.48,12.58,12.47,12.58,10.536417,14793500
F,2017-12-29,12.58,12.61,12.49,12.49,10.461038,18362500
F,2018-01-02,12.52,12.66,12.5,12.66,10.603421,20773300
F,2018-01-03,12.68,12.8,12.67,12.76,10.687178,29765600
F,2018-01-04,12.78,13.04,12.77,12.98,10.871439,37478200
F,2018-01-05,13.06,13.22,13.04,13.2,11.055701,46121900
F,2018-01-08,13.21,13.22,13.11,13.15,11.013823,33828300
F,2018-01-09,13.18,13.22,13.08,13.08,10.955195,27924100
F,2018-01-10,13.06,13.14,12.96,13.03,10.91332,56517100
F,2018-01-11,13.02,13.2,13.0,13.16,11.0222,28342300
F,2018-01-12,13.1,13.29,13.1,13.23,11.080828,56979200
F,2018-01-16,13.31,13.48,13.01,13.1,10.971947,53961400
F,2018-01-17,12.58,12.58,12.1,12.18,10.201398,132412500
F,2018-01-18,12.18,12.2,12.02,12.07,10.109267,66541700
F,2018-01-19,12.12,12.12,11.91,12.0,10.050638,51303700
F,2018-01-22,12.02,12.08,11.9,12.02,10.067389,52851900
F,2018-01-23,12.03,12.03,11.9,11.96,10.017135,51831000
F,2018-01-24,12.0,12.09,11.92,12.05,10.092516,63300500
F,2018-01-25,11.93,11.93,11.44,11.57,9.690488,114886800
F,2018-01-26,11.59,11.7,11.5,11.65,9.757494,52496000
F,2018-01-29,11.42,11.47,11.11,11.12,9.542949,55114000
F,2018-01-30,11.09,11.23,11.05,11.06,9.491459,52068200
F,2018-01-31,11.09,11.12,10.9,10.97,9.414222,57644600
F,2018-02-01,10.95,11.0,10.85,10.92,9.371314,41352200
F,2018-02-02,10.88,10.88,10.62,10.71,9.191095,72312900
F,2018-02-05,10.78,10.8,10.24,10.24,8.787748,96757000
F,2018-02-06,10.27,10.79,10.19,10.76,9.234004,139938100
F,2018-02-07,10.75,11.04,10.7,10.76,9.234004,68041800
F,2018-02-08,10.79,10.86,10.42,10.43,8.950807,73990700
F,2018-02-09,10.57,10.64,10.24,10.53,9.036623,72103600
F,2018-02-12,10.67,10.82,10.54,10.7,9.182514,49068900
F,2018-02-13,10.63,10.69,10.53,10.59,9.088115,36884500
F,2018-02-14,10.55,10.75,10.5,10.74,9.216843,27844300
F,2018-02-15,10.8,10.8,10.64,10.76,9.234004,28208300
F,2018-02-16,10.7,10.82,10.52,10.61,9.105279,41041800
F,2018-02-20,10.58,10.67,10.55,10.63,9.122441,27617900
F,2018-02-21,10.65,10.75,10.59,10.6,9.096696,36037700
F,2018-02-22,10.6,10.73,10.56,10.63,9.122441,25409600
F,2018-02-23,10.67,10.71,10.62,10.7,9.182514,21786800
F,2018-02-26,10.74,10.95,10.7,10.89,9.345569,27157800
F,2018-02-27,10.93,10.99,10.6,10.61,9.105279,43502000
F,2018-02-28,10.68,10.79,10.57,10.61,9.105279,41321400
F,2018-03-01,10.65,10.69,10.2,10.29,8.83066,75841400
F,2018-03-02,10.24,10.42,10.14,10.4,8.925059,60491900
F,2018-03-05,10.31,10.63,10.3,10.58,9.079532,44021300
F,2018-03-06,10.65,10.68,10.47,10.63,9.122441,30978900
F,2018-03-07,10.51,10.64,10.43,10.63,9.122441,30046600
F,2018-03-08,10.65,10.68,10.48,10.61,9.105279,26948000
F,2018-03-09,10.63,10.73,10.57,10.73,9.208259,26684400
F,2018-03-12,10.69,10.85,10.68,10.81,9.276915,33800900
F,2018-03-13,10.84,10.98,10.73,10.78,9.251167,44456800
F,2018-03-14,11.25,11.44,11.01,11.02,9.457131,91985300
F,2018-03-15,11.05,11.25,10.95,11.07,9.50004,47645300
F,2018-03-16,11.12,11.22,11.06,11.15,9.568694,80684200
F,2018-03-19,11.15,11.17,10.87,11.01,9.448548,63122500
F,2018-03-20,11.05,11.13,10.97,10.99,9.431385,45612800
F,2018-03-21,11.0,11.19,10.93,11.1,9.525787,38551000
F,2018-03-22,11.0,11.06,10.73,10.75,9.225424,51280900
F,2018-03-23,10.79,10.81,10.51,10.56,9.062369,39950900
F,2018-03-26,10.74,10.87,10.68,10.83,9.294076,52325500
F,2018-03-27,10.85,10.92,10.72,10.83,9.294076,40677300
F,2018-03-28,10.83,10.95,10.73,10.86,9.319822,42263700
F,2018-03-29,10.93,11.13,10.92,11.08,9.508624,39864000
F,2018-04-02,11.06,11.09,10.7,10.86,9.319822,43598100
